algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_enabled,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_output_points,pstmo_los_safety_rejections,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,125.5648674190683,4.440892098500626e-16,5.584491901795352e-17,,0.4665304849038798,0.16464466339406925,0.2146446641391273,0,587,22.23731861949807,raw,0.05,562,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,14.06990166378934,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,125.5648674190683,22.23731861949807,14.06990166378934,1,0.012160049000158324
0.024,4.4900292845645575,0.07268178585760636,0.021440052703445046,,0.455559200672864,0.18825146149581692,0.2146446641391273,0,453,3.7826180656641535,pstmo,0.05,419,fb2bf12b5f0d9d7088dc25f1f11213af5fbbee270d7f3e8e17edd30231731779,13.939603055308375,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,280,97,75,"[[-4.5, -2.4], [-3.55104, -3.15507], [-3.21443, -3.28151], [3.40149, -3.21752], [3.75018, -2.74962], [4.27882, 1.4094], [4.5, 2.4]]",562,0.075,0.0713415,0.15,0,7,0,6,"[{'index': 0, 'x': -3.55104, 'y': -3.15507, 'turn_angle': 0.312774, 'incoming_length': 1.21271, 'outgoing_length': 0.359572, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0157675, 'trim_max': 0.236512, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.465, 'selected_trim': 0.230993, 'selected_score': 0.244115}, {'index': 1, 'x': -3.21443, 'y': -3.28151, 'turn_angle': 0.368995, 'incoming_length': 0.359572, 'outgoing_length': 6.61623, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.018662, 'trim_max': 0.27993, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.415, 'selected_trim': 0.0774473, 'selected_score': 0.498312}, {'index': 2, 'x': 3.40149, 'y': -3.21752, 'turn_angle': 0.920681, 'incoming_length': 6.61623, 'outgoing_length': 0.583538, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.17679, 'trim_min': 0.0495873, 'trim_max': 0.583538, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.315358, 'selected_trim': 0.156377, 'selected_score': 0.76237}, {'index': 3, 'x': 3.75018, 'y': -2.74962, 'turn_angle': 0.514016, 'incoming_length': 0.583538, 'outgoing_length': 4.19248, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.026282, 'trim_max': 0.394231, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.43, 'selected_trim': 0.375833, 'selected_score': 0.371317}, {'index': 4, 'x': 4.27882, 'y': 1.4094, 'turn_angle': -0.0932515, 'incoming_length': 4.19248, 'outgoing_length': 1.015, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00466596, 'trim_max': 0.0699894, 'evaluations': 11, 'safe_feasible': 9, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.0699894, 'selected_score': 0.0703275}]",5,30,91,none,5,0,0,False,,False,0.15,562,0,252,0.389288,419,0,0,562,"{'angular acceleration iteration did not converge': 5, 'transition requires a reversing inner wheel': 7}",0.0247718,adaptive,0.05,,79,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,4.4900292845645575,3.7826180656641535,13.939603055308375,1,0.03703865199986467
0.0,30.538653349676423,4.440892098500626e-16,3.6213987092314623e-17,,0.4149689556968361,0.17677669793081488,0.2574601203080526,0,584,11.406812986899268,raw,0.05,562,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,14.033639667604042,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,30.538653349676423,11.406812986899268,14.033639667604042,1,0.011157517999890842
0.024,4.53258963831884,0.06425600375482234,0.02027986269330271,,0.3869734224562216,0.23390290478282266,0.2474873771031409,0,481,4.080639721568075,pstmo,0.05,466,18347d41074106682bb7f478426dd01ccf507f690fa03a7f014d06213e41eab0,13.949618873175146,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,281,110,96,"[[-4.5, -2.4], [-3.9008, -0.716392], [-3.85543, 2.60814], [-3.57201, 3.07523], [-3.16886, 3.18166], [3.19879, 3.18264], [3.53846, 3.11134], [4.5, 2.4]]",562,0.075,0.0651717,0.15,0,8,0,7,"[{'index': 0, 'x': -3.9008, 'y': -0.716392, 'turn_angle': 0.328272, 'incoming_length': 1.78706, 'outgoing_length': 3.32484, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0165626, 'trim_max': 0.248439, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.248439, 'selected_score': 0.210534}, {'index': 1, 'x': -3.85543, 'y': 2.60814, 'turn_angle': -0.531733, 'incoming_length': 3.32484, 'outgoing_length': 0.546346, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0272313, 'trim_max': 0.40847, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.395, 'selected_trim': 0.379877, 'selected_score': 0.345387}, {'index': 2, 'x': -3.57201, 'y': 3.07523, 'turn_angle': -0.767313, 'incoming_length': 0.546346, 'outgoing_length': 0.416968, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.03297, 'trim_min': 0.0403659, 'trim_max': 0.416968, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.286594, 'selected_trim': 0.115686, 'selected_score': 0.732735}, {'index': 3, 'x': -3.16886, 'y': 3.18166, 'turn_angle': -0.257947, 'incoming_length': 0.416968, 'outgoing_length': 6.36765, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0129694, 'trim_max': 0.19454, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.19454, 'selected_score': 0.249008}, {'index': 4, 'x': 3.19879, 'y': 3.18264, 'turn_angle': -0.207072, 'incoming_length': 6.36765, 'outgoing_length': 0.347073, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0103908, 'trim_max': 0.155862, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.155862, 'selected_score': 0.221798}, {'index': 5, 'x': 3.53846, 'y': 3.11134, 'turn_angle': -0.430017, 'incoming_length': 0.347073, 'outgoing_length': 1.19606, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0218384, 'trim_max': 0.327577, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.098273, 'selected_score': 0.539899}]",6,36,120,none,6,0,0,False,,False,0.15,562,0,252,0.383227,466,0,0,562,"{'angular acceleration iteration did not converge': 10, 'transition requires a reversing inner wheel': 7}",0.0239501,adaptive,0.05,,103,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,4.53258963831884,4.080639721568075,13.949618873175146,1,0.035992818000522675
0.009000000000000001,25.664991235682187,1.1102230246251565e-16,1.2523007787387207e-17,,0.4974294375926615,0.1449222268733815,0.2146446641391273,0,567,13.67248242051459,raw,0.05,274,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,13.919838025877462,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,25.664991235682187,13.67248242051459,13.919838025877462,1,0.013578093999967678
0.033,5.191375338770556,0.05318133704389752,0.016250951421202475,,0.5046142705671571,0.23390290478282266,0.2474873771031409,0,374,3.5378771681654686,pstmo,0.05,339,980bb3a82fe51a56705acb9b8e384c11d3975d85a94cdb2cc324283418b01305,13.885169101109836,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,279,88,76,"[[-4.5, -2.4], [-3.425, -3.125], [-3.125, -3.175], [3.475, -3.125], [3.725, -2.875], [4.275, -0.675], [4.5, 2.4]]",274,0.075,0.0535156,0.15,0,7,0,6,"[{'index': 0, 'x': -3.425, 'y': -3.125, 'turn_angle': 0.428201, 'incoming_length': 1.29663, 'outgoing_length': 0.304138, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.39877, 'trim_min': 0.0217433, 'trim_max': 0.304138, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.392222, 'selected_trim': 0.0852822, 'selected_score': 0.581557}, {'index': 1, 'x': -3.125, 'y': -3.175, 'turn_angle': 0.172724, 'incoming_length': 0.304138, 'outgoing_length': 6.60019, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00865775, 'trim_max': 0.129866, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.129866, 'selected_score': 0.213972}, {'index': 2, 'x': 3.475, 'y': -3.125, 'turn_angle': 0.777823, 'incoming_length': 6.60019, 'outgoing_length': 0.353553, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.862782, 'trim_min': 0.0409783, 'trim_max': 0.353553, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.328835, 'selected_trim': 0.134751, 'selected_score': 0.718025}, {'index': 3, 'x': 3.725, 'y': -2.875, 'turn_angle': 0.54042, 'incoming_length': 0.353553, 'outgoing_length': 2.26771, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.27644, 'trim_min': 0.0276984, 'trim_max': 0.353553, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.335288, 'selected_trim': 0.0928694, 'selected_score': 0.650341}, {'index': 4, 'x': 4.275, 'y': -0.675, 'turn_angle': 0.171938, 'incoming_length': 2.26771, 'outgoing_length': 3.08322, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00861815, 'trim_max': 0.129272, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.129272, 'selected_score': 0.110662}]",5,30,100,none,5,0,0,False,,False,0.15,274,0,252,0.454911,339,0,0,274,"{'angular acceleration iteration did not converge': 7, 'transition requires a reversing inner wheel': 7}",0.0324856,adaptive,0.05,,86,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,5.191375338770556,3.5378771681654686,13.885169101109836,1,0.04079018299944437
0.009000000000000001,4.535312068225989,4.440892098500626e-16,4.9569171808876124e-17,,0.35803324055731967,0.17677669793081488,0.2146446641391273,0,533,2.377645564495028,raw,0.05,271,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,13.977148192216665,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,4.535312068225989,2.377645564495028,13.977148192216665,1,0.015018559999589343
0.030000000000000002,4.4311087089308465,0.06650430621735612,0.017411545992271155,,0.33813254595903075,0.17079994476667312,0.1802191270003155,0,487,3.2675933462393814,pstmo,0.05,470,fc9a678aa5e59e29369a6da16a69773bc6f9c307ed7ef6f8b4bbc983efaa3ca7,13.912499503248869,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,280,148,104,"[[-4.5, -2.4], [-3.82081, -1.35], [-3.79351, 2.49996], [-3.69896, 2.84641], [-3.49641, 3.04896], [-2.99999, 3.14886], [3.1, 3.14351], [3.45, 3.04921], [4.5, 2.4]]",271,0.075,0.0665456,0.15,0,9,0,8,"[{'index': 0, 'x': -3.82081, 'y': -1.35, 'turn_angle': 0.56706, 'incoming_length': 1.25052, 'outgoing_length': 3.85006, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.029138, 'trim_max': 0.437071, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.437071, 'selected_score': 0.309881}, {'index': 1, 'x': -3.79351, 'y': 2.49996, 'turn_angle': -0.259334, 'incoming_length': 3.85006, 'outgoing_length': 0.359123, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0130399, 'trim_max': 0.195598, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.195598, 'selected_score': 0.251918}, {'index': 2, 'x': -3.69896, 'y': 2.84641, 'turn_angle': -0.518972, 'incoming_length': 0.359123, 'outgoing_length': 0.286442, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.07899, 'trim_min': 0.0265471, 'trim_max': 0.286442, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.344749, 'selected_trim': 0.0915208, 'selected_score': 0.666769}, {'index': 3, 'x': -3.49641, 'y': 3.04896, 'turn_angle': -0.586803, 'incoming_length': 0.286442, 'outgoing_length': 0.506371, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.948104, 'trim_min': 0.0302121, 'trim_max': 0.286442, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.354431, 'selected_trim': 0.107081, 'selected_score': 0.689152}, {'index': 4, 'x': -2.99999, 'y': 3.14886, 'turn_angle': -0.199472, 'incoming_length': 0.506371, 'outgoing_length': 6.1, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0100068, 'trim_max': 0.150102, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.36, 'selected_trim': 0.136093, 'selected_score': 0.2388}, {'index': 5, 'x': 3.1, 'y': 3.14351, 'turn_angle': -0.262296, 'incoming_length': 6.1, 'outgoing_length': 0.36248, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0131905, 'trim_max': 0.197858, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.52, 'selected_trim': 0.0685907, 'selected_score': 0.452923}, {'index': 6, 'x': 3.45, 'y': 3.04921, 'turn_angle': -0.290593, 'incoming_length': 0.36248, 'outgoing_length': 1.2345, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0146328, 'trim_max': 0.219492, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.219492, 'selected_score': 0.293996}]",7,42,140,none,7,0,0,False,,False,0.15,271,0,252,0.414777,470,0,0,271,"{'angular acceleration iteration did not converge': 8, 'transition requires a reversing inner wheel': 10}",0.0296724,adaptive,0.05,,122,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,4.4311087089308465,3.2675933462393814,13.912499503248869,1,0.04253801300001214
0.009000000000000001,9.499945297408113,4.440892098500626e-16,4.716307709341703e-17,,0.47836007011193754,0.21959563989254183,0.25619225950049973,0,334,3.503879151970223,raw,0.05,159,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,14.104165262679045,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,9.499945297408113,3.503879151970223,14.104165262679045,1,0.013448810999761918
0.045000000000000005,5.96764540070206,0.06752287657397772,0.018004849519711014,,0.4618849629777354,0.2146446641391273,0.2146446641391273,0,461,3.222656810147132,pstmo,0.05,455,62552ccf9b85d02bdd0c146123522d0006e89fe71f8dd055c365e8f40387321a,14.008313400526099,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,282,167,125,"[[-4.5, -2.4], [-4.1627, -0.0513996], [-4.15078, 2.23203], [-3.86033, 2.79827], [-3.58156, 3.03218], [-3.23405, 3.13762], [3.34446, 3.13762], [3.64539, 3.02131], [4.15067, 2.39961], [4.5, 2.4]]",159,0.075,0.0516423,0.15,0,10,0,9,"[{'index': 0, 'x': -4.1627, 'y': -0.0513996, 'turn_angle': 0.137419, 'incoming_length': 2.3727, 'outgoing_length': 2.28346, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00688178, 'trim_max': 0.103227, 'evaluations': 11, 'safe_feasible': 9, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.103227, 'selected_score': 0.094661}, {'index': 1, 'x': -4.15078, 'y': 2.23203, 'turn_angle': -0.468718, 'incoming_length': 2.28346, 'outgoing_length': 0.636381, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0238746, 'trim_max': 0.358119, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.22, 'selected_trim': 0.29127, 'selected_score': 0.255117}, {'index': 2, 'x': -3.86033, 'y': 2.79827, 'turn_angle': -0.398725, 'incoming_length': 0.636381, 'outgoing_length': 0.36391, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0202046, 'trim_max': 0.303069, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.0909208, 'selected_score': 0.52625}, {'index': 3, 'x': -3.58156, 'y': 3.03218, 'turn_angle': -0.403546, 'incoming_length': 0.36391, 'outgoing_length': 0.363151, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0204557, 'trim_max': 0.306835, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.0920505, 'selected_score': 0.545058}, {'index': 4, 'x': -3.23405, 'y': 3.13762, 'turn_angle': -0.294585, 'incoming_length': 0.363151, 'outgoing_length': 6.57852, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0148367, 'trim_max': 0.22255, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.465, 'selected_trim': 0.217357, 'selected_score': 0.283251}, {'index': 5, 'x': 3.34446, 'y': 3.13762, 'turn_angle': -0.368818, 'incoming_length': 6.57852, 'outgoing_length': 0.322622, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0186528, 'trim_max': 0.279792, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.415, 'selected_trim': 0.0774091, 'selected_score': 0.538679}, {'index': 6, 'x': 3.64539, 'y': 3.02131, 'turn_angle': -0.519518, 'incoming_length': 0.322622, 'outgoing_length': 0.801136, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.21394, 'trim_min': 0.0265763, 'trim_max': 0.322622, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.350638, 'selected_trim': 0.0931866, 'selected_score': 0.632305}, {'index': 7, 'x': 4.15067, 'y': 2.39961, 'turn_angle': 0.889441, 'incoming_length': 0.801136, 'outgoing_length': 0.349329, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.733023, 'trim_min': 0.047656, 'trim_max': 0.349329, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.717197, 'selected_trim': 0.341788, 'selected_score': 0.541803}]",8,48,151,none,8,0,0,False,,False,0.15,159,0,252,0.42714,455,0,0,159,"{'angular acceleration iteration did not converge': 11, 'transition requires a reversing inner wheel': 10}",0.0430105,adaptive,0.05,,130,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,5.96764540070206,3.222656810147132,14.008313400526099,1,0.053988227999980154
