algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_max_cost,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_oscillation_deviation,pivot_conditioning_oscillation_shortcuts,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pass_through_corners,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,297.3187574654252,4.440892098500626e-16,7.39594567450686e-17,,0.4923196288751151,0.16464466339406925,0.2146446641391273,0,529,,,,,,,,,,,,,34.432208086708954,raw,0.05,524,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,12.990832083117255,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,264,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,1,office_long_diagonal,True,297.3187574654252,34.432208086708954,12.990832083117255,1,0.008930146002967376
0.003,64.83580637038551,0.022100228616861835,0.004977160498710462,,0.4452638375678487,0.16464466339406925,0.2146446641391273,0,608,,,,,,,,,,,,,18.532338720274026,simple,0.05,524,25fe56899dd83ab41817c36d6c89fdcc1695292d9ec85baf4191009b18761846,12.836659325833462,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,259,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,1,office_long_diagonal,True,64.83580637038551,18.532338720274026,12.836659325833462,1,0.012671935997786932
0.0,152.26881244909086,0.007461545938241756,0.0018023141569461136,,0.4113989741188895,0.12275854577833645,0.16464466339406925,0,727,,,,,,,,,,,,,26.749686743077458,savitzky_golay,0.05,524,f79fedfa25e731d3bbd04be5ae96b2cfcbc92f597bae3a7a7a545b225b06efa7,12.929128214111596,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,261,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,1,office_long_diagonal,True,152.26881244909086,26.749686743077458,12.929128214111596,1,0.01193311399765662
0.033,172.12619981156607,0.011452433593835853,0.002125304301693949,,0.4217453128951416,0.16464466339406925,0.2146446641391273,0,711,,,,,,,,,,,,,20.853908257291657,constrained,0.05,524,261f9fc6199540377eba49ce27eba53f4b70b5ea67b336bdc6836529ea5bcab2,12.962192734300796,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,261,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,1,office_long_diagonal,True,172.12619981156607,20.853908257291657,12.962192734300796,1,0.0424911849986529
0.006,4.745389417414364,0.06162660870705877,0.027025342556724546,,0.39518459268509076,0.23390290478282266,0.25619225950049973,0,655,,,,,,,,,,,,,1.9201182216949975,pivot_g2_fixed,0.05,646,803a14704298975538d00b3091608c4ea497e5f6a3e7754732603cf0ec85f97c,12.738536859585254,0,65,"[[-5.2, -3], [-2.86697, -1.40748], [-2.07107, -1.18727], [-0.161587, 0.26586], [0.34257, 0.877447], [0.532393, 1.63193], [0.849059, 1.90987], [1.63685, 2.22386], [2.4206, 2.36965], [2.95309, 2.64476], [3.32821, 3.08411], [3.6449, 3.21891], [4.64356, 3.1832], [5.2, 3]]",524,0.075,0.0616699,0.15,0,14,0,13,"[{'index': 0, 'x': -2.86697, 'y': -1.40748, 'turn_angle': -0.329023, 'incoming_length': 2.82473, 'outgoing_length': 0.825804, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 8, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.249018, 'selected_score': 0.85}, {'index': 1, 'x': -2.07107, 'y': -1.18727, 'turn_angle': 0.380582, 'incoming_length': 0.825804, 'outgoing_length': 2.39952, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 9, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.288932, 'selected_score': 0.85}, {'index': 2, 'x': -0.161587, 'y': 0.26586, 'turn_angle': 0.230878, 'incoming_length': 2.39952, 'outgoing_length': 0.792599, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 8, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.173932, 'selected_score': 1}, {'index': 3, 'x': 0.34257, 'y': 0.877447, 'turn_angle': 0.442932, 'incoming_length': 0.792599, 'outgoing_length': 0.777997, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 9, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.337739, 'selected_score': 0.85}, {'index': 4, 'x': 0.532393, 'y': 1.63193, 'turn_angle': -0.60396, 'incoming_length': 0.777997, 'outgoing_length': 0.421341, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 5, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.186904, 'selected_score': 0.808189}, {'index': 5, 'x': 0.849059, 'y': 1.90987, 'turn_angle': -0.341082, 'incoming_length': 0.421341, 'outgoing_length': 0.848059, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 7, 'states': 0, 'selected_radius': 1, 'selected_trim': 0.172214, 'selected_score': 1}, {'index': 6, 'x': 1.63685, 'y': 2.22386, 'turn_angle': -0.195362, 'incoming_length': 0.848059, 'outgoing_length': 0.797194, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 8, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.146989, 'selected_score': 0.890909}, {'index': 7, 'x': 2.4206, 'y': 2.36965, 'turn_angle': 0.292964, 'incoming_length': 0.797194, 'outgoing_length': 0.599357, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 8, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.221308, 'selected_score': 0.85}, {'index': 8, 'x': 2.95309, 'y': 2.64476, 'turn_angle': 0.387206, 'incoming_length': 0.599357, 'outgoing_length': 0.577698, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 8, 'states': 0, 'selected_radius': 1.25, 'selected_trim': 0.245073, 'selected_score': 0.85}, {'index': 9, 'x': 3.32821, 'y': 3.08411, 'turn_angle': -0.461665, 'incoming_length': 0.577698, 'outgoing_length': 0.344193, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 5, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.141013, 'selected_score': 1}, {'index': 10, 'x': 3.6449, 'y': 3.21891, 'turn_angle': -0.438162, 'incoming_length': 0.344193, 'outgoing_length': 0.999294, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 5, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.133593, 'selected_score': 1}, {'index': 11, 'x': 4.64356, 'y': 3.1832, 'turn_angle': -0.282314, 'incoming_length': 0.999294, 'outgoing_length': 0.585823, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 8, 'states': 0, 'selected_radius': 1.25, 'selected_trim': 0.177628, 'selected_score': 0.903682}]",12,0,108,none,12,0,0.0,200,0.904398,646,0,0,"{'angular acceleration iteration did not converge': 5, 'transition would overlap an adjacent corner window': 15}",0.0084907,fixed,0.05,,0,88,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,256,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,1,office_long_diagonal,True,4.745389417414364,1.9201182216949975,12.738536859585254,1,0.019973369002400432
0.018000000000000002,6.114275428530708,0.06161827325166848,0.02696704563692465,,0.39419020571748276,0.23390290478282266,0.25619225950049973,0,667,,,,,,,,,,,,,3.9268551447407996,pivot_g2,0.05,658,238193a734fe06432368e6f26fdcf7aa9ead0bf4695f7620d6593bd47652ff8b,12.743297839377218,314,195,"[[-5.2, -3], [-2.86697, -1.40748], [-2.07107, -1.18727], [-0.161587, 0.26586], [0.34257, 0.877447], [0.532393, 1.63193], [0.849059, 1.90987], [1.63685, 2.22386], [2.4206, 2.36965], [2.95309, 2.64476], [3.32821, 3.08411], [3.6449, 3.21891], [4.64356, 3.1832], [5.2, 3]]",524,0.075,0.0616699,0.15,0,14,0,13,"[{'index': 0, 'x': -2.86697, 'y': -1.40748, 'turn_angle': -0.329023, 'incoming_length': 2.82473, 'outgoing_length': 0.825804, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0166012, 'trim_max': 0.249018, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.249018, 'selected_score': 0.267942}, {'index': 1, 'x': -2.07107, 'y': -1.18727, 'turn_angle': 0.380582, 'incoming_length': 0.825804, 'outgoing_length': 2.39952, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0192622, 'trim_max': 0.288932, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.288932, 'selected_score': 0.271911}, {'index': 2, 'x': -0.161587, 'y': 0.26586, 'turn_angle': 0.230878, 'incoming_length': 2.39952, 'outgoing_length': 0.792599, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0115954, 'trim_max': 0.173932, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.173932, 'selected_score': 0.135508}, {'index': 3, 'x': 0.34257, 'y': 0.877447, 'turn_angle': 0.442932, 'incoming_length': 0.792599, 'outgoing_length': 0.777997, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0225159, 'trim_max': 0.337739, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.337739, 'selected_score': 0.312816}, {'index': 4, 'x': 0.532393, 'y': 1.63193, 'turn_angle': -0.60396, 'incoming_length': 0.777997, 'outgoing_length': 0.421341, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.35259, 'trim_min': 0.0311507, 'trim_max': 0.421341, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.287888, 'selected_trim': 0.0896792, 'selected_score': 0.657637}, {'index': 5, 'x': 0.849059, 'y': 1.90987, 'turn_angle': -0.341082, 'incoming_length': 0.421341, 'outgoing_length': 0.848059, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0172214, 'trim_max': 0.258321, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.258321, 'selected_score': 0.272175}, {'index': 6, 'x': 1.63685, 'y': 2.22386, 'turn_angle': -0.195362, 'incoming_length': 0.848059, 'outgoing_length': 0.797194, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0097993, 'trim_max': 0.146989, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.146989, 'selected_score': 0.201526}, {'index': 7, 'x': 2.4206, 'y': 2.36965, 'turn_angle': 0.292964, 'incoming_length': 0.797194, 'outgoing_length': 0.599357, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0147539, 'trim_max': 0.221308, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.221308, 'selected_score': 0.23474}, {'index': 8, 'x': 2.95309, 'y': 2.64476, 'turn_angle': 0.387206, 'incoming_length': 0.599357, 'outgoing_length': 0.577698, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0196059, 'trim_max': 0.294088, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.294088, 'selected_score': 0.281257}, {'index': 9, 'x': 3.32821, 'y': 3.08411, 'turn_angle': -0.461665, 'incoming_length': 0.577698, 'outgoing_length': 0.344193, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.46452, 'trim_min': 0.0235022, 'trim_max': 0.344193, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.372904, 'selected_trim': 0.0876404, 'selected_score': 0.596023}, {'index': 10, 'x': 3.6449, 'y': 3.21891, 'turn_angle': -0.438162, 'incoming_length': 0.344193, 'outgoing_length': 0.999294, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0222655, 'trim_max': 0.333982, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.100195, 'selected_score': 0.544213}, {'index': 11, 'x': 4.64356, 'y': 3.1832, 'turn_angle': -0.282314, 'incoming_length': 0.999294, 'outgoing_length': 0.585823, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0142102, 'trim_max': 0.213153, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.213153, 'selected_score': 0.240934}]",12,72,240,none,12,0,0.0,200,0.334723,658,0,0,"{'angular acceleration iteration did not converge': 20, 'transition requires a reversing inner wheel': 14}",0.0160267,adaptive,0.05,,0,206,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,256,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,1,office_long_diagonal,True,6.114275428530708,3.9268551447407996,12.743297839377218,1,0.03129469600025914
0.012,4.745389417414364,0.06162660870705877,0.027025342556724546,,0.39518459268509076,0.23390290478282266,0.25619225950049973,0,655,4.74539,0,173,True,297.319,251,True,safety_gain_within_energy_budget,pivot_g2,64.8358,253,True,1.9201182216949975,adaptive_hybrid_fixed,0.05,646,803a14704298975538d00b3091608c4ea497e5f6a3e7754732603cf0ec85f97c,12.738536859585254,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,256,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,1,office_long_diagonal,True,4.745389417414364,1.9201182216949975,12.738536859585254,1,0.023144840000895783
0.018000000000000002,6.114275428530708,0.06161827325166848,0.02696704563692465,,0.39419020571748276,0.23390290478282266,0.25619225950049973,0,667,6.11428,0,173,True,297.319,251,True,safety_gain_within_energy_budget,pivot_g2,64.8358,253,True,3.9268551447407996,adaptive_hybrid,0.05,658,238193a734fe06432368e6f26fdcf7aa9ead0bf4695f7620d6593bd47652ff8b,12.743297839377218,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,256,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,1,office_long_diagonal,True,6.114275428530708,3.9268551447407996,12.743297839377218,1,0.030873355000949232
0.0,297.3187574654252,4.440892098500626e-16,7.39594567450686e-17,,0.4923196288751151,0.16464466339406925,0.2146446641391273,0,529,,,,,,,,,,,,,34.432208086708954,raw,0.05,524,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,12.990832083117255,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,264,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,2,office_long_diagonal,True,297.3187574654252,34.432208086708954,12.990832083117255,1,0.008450205001281574
0.003,64.83580637038551,0.022100228616861835,0.004977160498710462,,0.4452638375678487,0.16464466339406925,0.2146446641391273,0,608,,,,,,,,,,,,,18.532338720274026,simple,0.05,524,25fe56899dd83ab41817c36d6c89fdcc1695292d9ec85baf4191009b18761846,12.836659325833462,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,259,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,0,2,office_long_diagonal,True,64.83580637038551,18.532338720274026,12.836659325833462,1,0.011382017000869382
