algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_max_cost,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_oscillation_deviation,pivot_conditioning_oscillation_shortcuts,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pass_through_corners,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,110.30269921816684,2.1510571102112408e-16,3.6657910539751685e-17,,0.6435084442854118,0.23390290478282266,0.27482761130179756,0,411,,,,,,,,,,,,,24.058955459329123,raw,0.05,404,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,10.387657343819665,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,210,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,110.30269921816684,24.058955459329123,10.387657343819665,1,0.006528374000481563
0.003,4.553578482289984,0.026771755570674682,0.00425913879517325,,0.6341608468258592,0.2808724311428359,0.3146446656292434,0,414,,,,,,,,,,,,,3.7460389520280324,simple,0.05,404,542efcc396935370cfbb0d8866f07fb06653097b808b0a53b39954c611e20792,10.297797017113751,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,207,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,4.553578482289984,3.7460389520280324,10.297797017113751,1,0.009724900999572128
0.0,30.516867236947792,0.015434842582144646,0.002061748438277075,,0.6501828583311563,0.26878279146075923,0.3146446656292434,0,462,,,,,,,,,,,,,9.904828703517488,savitzky_golay,0.05,404,e10071c4d11a137a1003502314090d06353c8ab063706608136ceb38eb7da816,10.331827647414688,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,208,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,30.516867236947792,9.904828703517488,10.331827647414688,1,0.008182531997590559
0.021,72.9527038330848,0.009080738784886105,0.0016101332947112026,,0.6434455129853656,0.26464466488418537,0.30005486203680687,0,486,,,,,,,,,,,,,15.571825585984195,constrained,0.05,404,a51900394ff2971031dedb8bc15f78d8cdb119a81d8b0bf8c9138257236432ac,10.366127294095133,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,209,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,72.9527038330848,15.571825585984195,10.366127294095133,1,0.03058044900171808
0.003,1.2616753089972224,0.062123681279991766,0.028834753073023005,,0.5767613609220356,0.26464466488418537,0.26464466488418537,0,388,,,,,,,,,,,,,1.1679542499516062,pivot_g2_fixed,0.05,383,fcbccd6e133caa55c17084150fc8c685a4b95eb036b32cd7e877a3c7c341a83a,10.266502315720032,0,25,"[[-5, 5.96046e-08], [-0.823487, 0.535851], [0.469164, 0.432497], [1.97725, -0.327349], [4.45, -0.3], [5, 0]]",404,0.075,0.0624366,0.15,0,6,0,5,"[{'index': 0, 'x': -0.823487, 'y': 0.535851, 'turn_angle': -0.207389, 'incoming_length': 4.21075, 'outgoing_length': 1.29678, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 8, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.156102, 'selected_score': 1}, {'index': 1, 'x': 0.469164, 'y': 0.432497, 'turn_angle': -0.386936, 'incoming_length': 1.29678, 'outgoing_length': 1.68869, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 9, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.293878, 'selected_score': 0.85}, {'index': 2, 'x': 1.97725, 'y': -0.327349, 'turn_angle': 0.477781, 'incoming_length': 1.68869, 'outgoing_length': 2.4729, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 9, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.365312, 'selected_score': 0.85}, {'index': 3, 'x': 4.45, 'y': -0.3, 'turn_angle': 0.488287, 'incoming_length': 2.4729, 'outgoing_length': 0.626498, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 7, 'states': 0, 'selected_radius': 1, 'selected_trim': 0.249113, 'selected_score': 1}]",4,0,36,none,4,0,0.0,200,0.925,383,0,0,"{'angular acceleration iteration did not converge': 1, 'transition would overlap an adjacent corner window': 2}",0.00397155,fixed,0.05,,0,33,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,207,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,1.2616753089972224,1.1679542499516062,10.266502315720032,1,0.011677792001137277
0.006,1.094891542338216,0.062123681279991766,0.028888912810544842,,0.6066280185172707,0.26464466488418537,0.26464466488418537,0,409,,,,,,,,,,,,,0.7815854183279509,pivot_g2,0.05,404,fd80eaad529966dd01c6140417af3dba6e2971f95b5df4d195fda6366d9ce3db,10.262078463739176,108,66,"[[-5, 5.96046e-08], [-0.823487, 0.535851], [0.469164, 0.432497], [1.97725, -0.327349], [4.45, -0.3], [5, 0]]",404,0.075,0.0624366,0.15,0,6,0,5,"[{'index': 0, 'x': -0.823487, 'y': 0.535851, 'turn_angle': -0.207389, 'incoming_length': 4.21075, 'outgoing_length': 1.29678, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0104068, 'trim_max': 0.156102, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.156102, 'selected_score': 0.189784}, {'index': 1, 'x': 0.469164, 'y': 0.432497, 'turn_angle': -0.386936, 'incoming_length': 1.29678, 'outgoing_length': 1.68869, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0195919, 'trim_max': 0.293878, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.293878, 'selected_score': 0.294858}, {'index': 2, 'x': 1.97725, 'y': -0.327349, 'turn_angle': 0.477781, 'incoming_length': 1.68869, 'outgoing_length': 2.4729, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0243541, 'trim_max': 0.365312, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.365312, 'selected_score': 0.296103}, {'index': 3, 'x': 4.45, 'y': -0.3, 'turn_angle': 0.488287, 'incoming_length': 2.4729, 'outgoing_length': 0.626498, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0249113, 'trim_max': 0.373669, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.373669, 'selected_score': 0.223649}]",4,24,80,none,4,0,0.0,200,0.251099,404,0,0,"{'angular acceleration iteration did not converge': 8, 'transition requires a reversing inner wheel': 4}",0.00535973,adaptive,0.05,,0,68,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,207,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,1.094891542338216,0.7815854183279509,10.262078463739176,1,0.013602414997876622
0.006,4.553578482289984,0.026771755570674682,0.00425913879517325,,0.6341608468258592,0.2808724311428359,0.3146446656292434,0,414,1.26168,0,173,True,110.303,177,True,simple_default,simple,4.55358,138,True,3.7460389520280324,adaptive_hybrid_fixed,0.05,404,542efcc396935370cfbb0d8866f07fb06653097b808b0a53b39954c611e20792,10.297797017113751,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,207,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,4.553578482289984,3.7460389520280324,10.297797017113751,1,0.01287998299812898
0.006,4.553578482289984,0.026771755570674682,0.00425913879517325,,0.6341608468258592,0.2808724311428359,0.3146446656292434,0,414,1.09489,0,173,True,110.303,177,True,simple_default,simple,4.55358,138,True,3.7460389520280324,adaptive_hybrid,0.05,404,542efcc396935370cfbb0d8866f07fb06653097b808b0a53b39954c611e20792,10.297797017113751,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,207,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,1,west_east_center,True,4.553578482289984,3.7460389520280324,10.297797017113751,1,0.014378395997482585
0.0,110.30269921816684,2.1510571102112408e-16,3.6657910539751685e-17,,0.6435084442854118,0.23390290478282266,0.27482761130179756,0,411,,,,,,,,,,,,,24.058955459329123,raw,0.05,404,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,10.387657343819665,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,210,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,2,west_east_center,True,110.30269921816684,24.058955459329123,10.387657343819665,1,0.00816187799864565
0.0,4.553578482289984,0.026771755570674682,0.00425913879517325,,0.6341608468258592,0.2808724311428359,0.3146446656292434,0,414,,,,,,,,,,,,,3.7460389520280324,simple,0.05,404,542efcc396935370cfbb0d8866f07fb06653097b808b0a53b39954c611e20792,10.297797017113751,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,207,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,0,2,west_east_center,True,4.553578482289984,3.7460389520280324,10.297797017113751,1,0.009589664001396159
