algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_enabled,pstmo_los_output_points,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.006,193.58502356839998,4.440892098500626e-16,6.904334226865165e-17,,0.4226844507865317,0.17677669793081488,0.2146446641391273,0,596,18.43873273443626,raw,0.05,576,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,14.651809137099276,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,193.58502356839998,18.43873273443626,14.651809137099276,1,0.03795424700001604
0.006,21.03741951275711,0.027756766076937372,0.0052231126617240525,,0.4183228074960375,0.2146446641391273,0.2146446641391273,0,615,8.422917101444716,simple,0.05,576,be04384958d153fac47ea8564b0f92883f7d82efc62eaf7f5c5ba398848db0b1,14.4714288301535,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,21.03741951275711,8.422917101444716,14.4714288301535,1,0.04978093599993372
0.003,78.94088691079892,0.01929051860394072,0.002335249342473081,,0.4185124155396691,0.2146446641391273,0.2146446641391273,0,689,13.589462906545942,savitzky_golay,0.05,576,457c0b0a8cb4c64114c7b921d556173799b756c0d8904f91c049db9a029df957,14.577186690171597,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,78.94088691079892,13.589462906545942,14.577186690171597,1,0.020920321999938096
0.114,107.31458776182923,0.039933007976856984,0.0068290896877998795,,0.41267334931138355,0.18825146149581692,0.2146446641391273,0,717,14.482081400305745,constrained,0.05,576,691efef2d5b24a4d4b837c3abd8c5695777e50e4f2438d16329f64c22fc1f14a,14.626737919722968,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,107.31458776182923,14.482081400305745,14.626737919722968,1,0.1423955609998302
0.042,2.1433125470667616,0.34260353451977765,0.1594767339444644,,0.2975826483005107,0.014644661158895074,0.014644661158895074,0,437,1.1351307370812143,pstmo,0.05,428,041c187d94062edcb80266825e9d6431fa046df5fb013197203f51af6f57c68c,13.712826631862077,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,276,72,42,"[[-5, -3], [-2.04632, -1.7282], [-1.43569, 2.21904], [1.12772, 3.41832], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.04632, 'y': -1.7282, 'turn_angle': 1.01073, 'incoming_length': 3.21585, 'outgoing_length': 3.99419, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0553288, 'trim_max': 0.829931, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.829931, 'selected_score': 0.49877}, {'index': 1, 'x': -1.43569, 'y': 2.21904, 'turn_angle': -0.97972, 'incoming_length': 3.99419, 'outgoing_length': 2.83008, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0533208, 'trim_max': 0.799813, 'evaluations': 20, 'safe_feasible': 13, 'states': 6, 'selected_radius': 1.0975, 'selected_trim': 0.585196, 'selected_score': 0.561625}, {'index': 2, 'x': 1.12772, 'y': 3.41832, 'turn_angle': -0.545206, 'incoming_length': 2.83008, 'outgoing_length': 3.89481, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0279563, 'trim_max': 0.419344, 'evaluations': 20, 'safe_feasible': 16, 'states': 6, 'selected_radius': 1.325, 'selected_trim': 0.370421, 'selected_score': 0.413283}]",3,18,60,none,3,True,5,252,0.491226,428,0,0,576,"{'angular acceleration iteration did not converge': 1, 'swept_footprint': 6, 'transition requires a reversing inner wheel': 7}",0.0414365,adaptive,0.05,,46,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,2.1433125470667616,1.1351307370812143,13.712826631862077,1,0.05793457899994792
0.003,70.26278929843387,4.440892098500626e-16,5.0967702326223156e-17,,0.4386192003576109,0.16464466339406925,0.2146446641391273,0,585,13.045374804327867,raw,0.05,572,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,14.311653522013033,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,70.26278929843387,13.045374804327867,14.311653522013033,1,0.017145441999900868
0.003,8.03183574465629,0.01847664331381276,0.0029013052599903295,,0.4304339114904508,0.2146446641391273,0.2146446641391273,0,592,4.636123864096719,simple,0.05,572,95124b187648f18a6f6b0f2d4b7ddfaa6c1045e16257153699bff2ff3ab0e70e,14.255117690828156,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,8.03183574465629,4.636123864096719,14.255117690828156,1,0.06604114900005698
0.0,24.118693405923153,0.0064436180734395755,0.0009784738064407426,,0.42998220522694225,0.2146446641391273,0.2146446641391273,0,616,8.291319651911815,savitzky_golay,0.05,572,94050d1c7be21484b44ae93f553e17881bcc41f4f9e3934f97a3720f7c11d4e1,14.28847391148025,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,24.118693405923153,8.291319651911815,14.28847391148025,1,0.02118139499998506
0.07500000000000001,37.16657790285294,0.040649614676904436,0.007515849368743279,,0.4264682450053548,0.2146446641391273,0.21959563989254183,0,635,9.358757380730323,constrained,0.05,572,d90cfbfda6c1f5ebb6d3267a5aabe6c1e4622315f3d02baf58bb019f0a8b3c52,14.32237236674731,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,37.16657790285294,9.358757380730323,14.32237236674731,1,0.10365929499994309
0.048,1.9238307737708504,0.31706793107276027,0.14245456619176017,,0.29995146319121374,0.014644661158895074,0.014644661158895074,0,440,0.9481500526481423,pstmo,0.05,431,aa7b6e4666a4f8117276f6d6c39856f5edc4955bf433292f6ccf7c78ed6b14f0,13.668411133647044,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,275,72,41,"[[-5, -3], [-2.23902, -1.81998], [-1.39956, 2.32729], [1.18454, 3.42144], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.23902, 'y': -1.81998, 'turn_angle': 0.967187, 'incoming_length': 3.00257, 'outgoing_length': 4.23138, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0525187, 'trim_max': 0.78778, 'evaluations': 20, 'safe_feasible': 13, 'states': 6, 'selected_radius': 1.395, 'selected_trim': 0.732636, 'selected_score': 0.505541}, {'index': 1, 'x': -1.39956, 'y': 2.32729, 'turn_angle': -0.970555, 'incoming_length': 4.23138, 'outgoing_length': 2.8062, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0527337, 'trim_max': 0.791006, 'evaluations': 20, 'safe_feasible': 14, 'states': 6, 'selected_radius': 1.3075, 'selected_trim': 0.689494, 'selected_score': 0.520377}, {'index': 2, 'x': 1.18454, 'y': 3.42144, 'turn_angle': -0.510538, 'incoming_length': 2.8062, 'outgoing_length': 3.83866, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0260962, 'trim_max': 0.391443, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.391443, 'selected_score': 0.380194}]",3,18,60,none,3,True,5,252,0.468704,431,0,0,572,"{'angular acceleration iteration did not converge': 1, 'swept_footprint': 7, 'transition requires a reversing inner wheel': 7}",0.0490537,adaptive,0.05,,45,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,1.9238307737708504,0.9481500526481423,13.668411133647044,1,0.07864598800006206
