algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_oscillation_deviation,pivot_conditioning_oscillation_shortcuts,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pass_through_corners,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,58.02553738023892,1.1102230246251565e-16,2.7539437105351313e-17,,0.402795046811255,0.1449222268733815,0.17079994476667312,0,186,18.197223950477856,raw,0.05,176,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,4.394234894293079,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,d1278f37a9031713f02f16637cd5616073c28eff9ba73a244f78aeed7fdd319b,90,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,0,1,center_block_detour,True,58.02553738023892,18.197223950477856,4.394234894293079,1,0.008709791999990557
0.048,4.0834322588085525,0.06939406369762265,0.029228579969767007,,0.3574178868968455,0.2146446641391273,0.23390290478282266,0,174,4.294674653348584,pivot_g2,0.05,164,e072a78aa2b37714fef66f1664d79cc3cdf6829df5685c7b8d49c8bb90c64fed,4.333307259850027,54,67,"[[-2.2, -0.6], [-1.26606, 0.392273], [-0.906222, 0.521187], [0.0931951, 0.494897], [0.422687, 0.382903], [1.2, -0.6]]",176,0.075,0.0699814,0.15,0,6,0,5,"[{'index': 0, 'x': -1.26606, 'y': 0.392273, 'turn_angle': -0.471669, 'incoming_length': 1.36266, 'outgoing_length': 0.382238, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0240306, 'trim_max': 0.360459, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.108138, 'selected_score': 0.571359}, {'index': 1, 'x': -0.906222, 'y': 0.521187, 'turn_angle': -0.370305, 'incoming_length': 0.382238, 'outgoing_length': 0.999762, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0187298, 'trim_max': 0.280947, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.415, 'selected_trim': 0.0777286, 'selected_score': 0.532446}, {'index': 2, 'x': 0.0931951, 'y': 0.494897, 'turn_angle': -0.301348, 'incoming_length': 0.999762, 'outgoing_length': 0.348005, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0151825, 'trim_max': 0.227737, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.43, 'selected_trim': 0.217109, 'selected_score': 0.271936}, {'index': 3, 'x': 0.422687, 'y': 0.382903, 'turn_angle': -0.574022, 'incoming_length': 0.348005, 'outgoing_length': 1.25312, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.17904, 'trim_min': 0.0295161, 'trim_max': 0.348005, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.261855, 'selected_trim': 0.0772894, 'selected_score': 0.696894}]",4,24,80,none,4,0,0.0,252,0.518159,164,0,0,"{'angular acceleration iteration did not converge': 5, 'transition requires a reversing inner wheel': 5}",0.0466754,adaptive,0.05,,0,70,NavFnAStar,d1278f37a9031713f02f16637cd5616073c28eff9ba73a244f78aeed7fdd319b,88,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,0,1,center_block_detour,True,4.0834322588085525,4.294674653348584,4.333307259850027,1,0.05540951400007543
0.003,11.90958899284719,1.1102230246251565e-16,2.792863028992468e-17,,0.4218258873337236,0.1449222268733815,0.18825146149581692,0,183,10.120043669264355,raw,0.05,173,3c98b58fe10472057e68d9a360ef7e6c8952010048f5cd80fc0cd4b0a2dfe292,4.34725043091983,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnDijkstra,eae88b90a83ac708703f5bdc3a3f4a0406882c3cf223ebba53142397ddce7f0f,89,3c98b58fe10472057e68d9a360ef7e6c8952010048f5cd80fc0cd4b0a2dfe292,0,1,center_block_detour,True,11.90958899284719,10.120043669264355,4.34725043091983,1,0.0076213289999031986
0.033,2.5255168512278074,0.09455561059618493,0.035809459487707376,,0.3000553671507669,0.17079994476667312,0.17079994476667312,0,241,3.0185674137050933,pivot_g2,0.05,231,142d16aa701bdd8f5f6cda30bc5b6736d1a79310e55f016e9b5ba8a31aae208a,4.258924655627129,48,47,"[[-2.2, -0.6], [-1.2697, 0.383095], [-0.0398566, 0.486423], [0.477796, 0.350003], [1.2, -0.6]]",173,0.075,0.0724358,0.15,0,5,0,4,"[{'index': 0, 'x': -1.2697, 'y': 0.383095, 'turn_angle': -0.729161, 'incoming_length': 1.35349, 'outgoing_length': 1.23417, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0381641, 'trim_max': 0.572462, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.465, 'selected_trim': 0.559105, 'selected_score': 0.428172}, {'index': 1, 'x': -0.0398566, 'y': 0.486423, 'turn_angle': -0.341497, 'incoming_length': 1.23417, 'outgoing_length': 0.535327, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0172427, 'trim_max': 0.258641, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.258641, 'selected_score': 0.281844}, {'index': 2, 'x': 0.477796, 'y': 0.350003, 'turn_angle': -0.663115, 'incoming_length': 0.535327, 'outgoing_length': 1.19335, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0344266, 'trim_max': 0.516399, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.38, 'selected_trim': 0.130821, 'selected_score': 0.682262}]",3,18,60,none,3,0,0.0,252,0.464092,231,0,0,"{'angular acceleration iteration did not converge': 2, 'transition requires a reversing inner wheel': 5}",0.0315153,adaptive,0.05,,0,53,NavFnDijkstra,eae88b90a83ac708703f5bdc3a3f4a0406882c3cf223ebba53142397ddce7f0f,87,3c98b58fe10472057e68d9a360ef7e6c8952010048f5cd80fc0cd4b0a2dfe292,0,1,center_block_detour,True,2.5255168512278074,3.0185674137050933,4.258924655627129,1,0.04185250699993048
0.0,22.597984974626282,1.1102230246251565e-16,3.454086271737816e-17,,0.4038669344671536,0.10606601875848895,0.1449222268733815,0,164,12.139905518011037,raw,0.05,78,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,4.309711055715877,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,ThetaStar,1fec13ffaf47a7b7659aa52136ff83947653df345df1c2445a0caacf95e3c5fd,88,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,0,1,center_block_detour,True,22.597984974626282,12.139905518011037,4.309711055715877,1,0.004865044999860402
0.027000000000000003,2.123345109018751,0.11591296184683775,0.03428670587801425,,0.31894328641727465,0.1449222268733815,0.1449222268733815,0,273,2.97644979074708,pivot_g2,0.05,245,7bee3232643fb40ac22a3e211f81b7dc718e66990bbf93fd992a48ffd50a6814,4.214806719001408,48,47,"[[-2.2, -0.6], [-1.175, -1.575], [-0.775, -1.675], [0.375, -1.625], [1.2, -0.6]]",78,0.075,0.0304005,0.15,0,5,0,4,"[{'index': 0, 'x': -1.175, 'y': -1.575, 'turn_angle': 0.515425, 'incoming_length': 1.41466, 'outgoing_length': 0.412311, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0263573, 'trim_max': 0.39536, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.38, 'selected_trim': 0.100158, 'selected_score': 0.642169}, {'index': 1, 'x': -0.775, 'y': -1.675, 'turn_angle': 0.28843, 'incoming_length': 0.412311, 'outgoing_length': 1.15109, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0145223, 'trim_max': 0.217834, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.217834, 'selected_score': 0.277722}, {'index': 2, 'x': 0.375, 'y': -1.625, 'turn_angle': 0.849637, 'incoming_length': 1.15109, 'outgoing_length': 1.31577, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0452365, 'trim_max': 0.678547, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.678547, 'selected_score': 0.465243}]",3,18,60,none,3,0,0.0,252,0.461712,245,0,0,"{'angular acceleration iteration did not converge': 2, 'transition requires a reversing inner wheel': 5}",0.0257198,adaptive,0.05,,0,53,ThetaStar,1fec13ffaf47a7b7659aa52136ff83947653df345df1c2445a0caacf95e3c5fd,86,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,0,1,center_block_detour,True,2.123345109018751,2.97644979074708,4.214806719001408,1,0.03495037900029274
0.003,1.941535680687774,1.1102230246251565e-16,2.8293730096913596e-17,,0.38002399183296903,0.17677669793081488,0.18825146149581692,0,155,1.760237178582316,raw,0.05,72,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,4.248818657973814,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,Smac2D,f06ad7c5edf7b05db843f7d455e90e82a5f7e640a8e8e9e457a0f4d763480402,86,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,0,1,center_block_detour,True,1.941535680687774,1.760237178582316,4.248818657973814,1,0.006639444000029471
0.042,1.150132546149602,0.08694844655178982,0.04897869060079011,,0.23478908935609713,0.10606601875848895,0.10606601875848895,0,300,0.7957814370134039,pivot_g2,0.05,290,4af0b8528abfdf4a4092684fd6ef070297e571ff94c16000612d9388cf125c2b,4.142991320240028,72,47,"[[-2.2, -0.6], [-1.2, 0.348958], [-0.4, 0.449931], [0.399993, 0.317763], [1.2, -0.6]]",72,0.075,0.0688652,0.15,0,5,0,4,"[{'index': 0, 'x': -1.2, 'y': 0.348958, 'turn_angle': -0.633663, 'incoming_length': 1.37859, 'outgoing_length': 0.806347, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0327877, 'trim_max': 0.491815, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.491815, 'selected_score': 0.413984}, {'index': 1, 'x': -0.4, 'y': 0.449931, 'turn_angle': -0.289284, 'incoming_length': 0.806347, 'outgoing_length': 0.810837, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0145659, 'trim_max': 0.218489, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.465, 'selected_trim': 0.213391, 'selected_score': 0.266391}, {'index': 2, 'x': 0.399993, 'y': 0.317763, 'turn_angle': -0.69011, 'incoming_length': 0.810837, 'outgoing_length': 1.2175, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0359435, 'trim_max': 0.539152, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.539152, 'selected_score': 0.428257}]",3,18,60,none,3,0,0.0,252,0.369544,290,0,0,"{'angular acceleration iteration did not converge': 2, 'transition requires a reversing inner wheel': 5}",0.0412441,adaptive,0.05,,0,53,Smac2D,f06ad7c5edf7b05db843f7d455e90e82a5f7e640a8e8e9e457a0f4d763480402,84,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,0,1,center_block_detour,True,1.150132546149602,0.7957814370134039,4.142991320240028,1,0.06842683400009264
0.003,6.286303454034907,1.1102230246251565e-16,2.7228176596153782e-17,,0.35508673831057547,0.1449222268733815,0.1449222268733815,0,111,3.7002565939676058,raw,0.05,52,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,4.309031538241532,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,SmacHybrid,7d54ca2618702b7879933a879b0c0a1d1db8f6cfb6f5740116a8769a58ffb436,88,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,0,1,center_block_detour,True,6.286303454034907,3.7002565939676058,4.309031538241532,1,0.008221457999752602
0.051000000000000004,2.323816302174568,0.12238983322025818,0.04754404649338689,,0.3007557618624526,0.07644806095482698,0.07644806095482698,0,252,2.4872939959365663,pivot_g2,0.05,248,90155f0df0aa09432a2bcfa3ce61635f1c48a8f34f07820922fe454cf632da0b,4.176683871350787,89,62,"[[-2.2, -0.6], [-1.37523, 0.252928], [-0.698315, 0.486462], [0.276584, 0.400851], [0.938121, -0.482205], [1.2, -0.6]]",52,0.075,0.0676444,0.15,0,6,0,5,"[{'index': 0, 'x': -1.37523, 'y': 0.252928, 'turn_angle': -0.469971, 'incoming_length': 1.18648, 'outgoing_length': 0.716069, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0239408, 'trim_max': 0.359113, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.359113, 'selected_score': 0.367554}, {'index': 1, 'x': -0.698315, 'y': 0.486462, 'turn_angle': -0.419801, 'incoming_length': 0.716069, 'outgoing_length': 0.978651, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0213038, 'trim_max': 0.319558, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.0958673, 'selected_score': 0.554029}, {'index': 2, 'x': 0.276584, 'y': 0.400851, 'turn_angle': -0.840252, 'incoming_length': 0.978651, 'outgoing_length': 1.10337, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0446724, 'trim_max': 0.670086, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.670086, 'selected_score': 0.463182}, {'index': 3, 'x': 0.938121, 'y': -0.482205, 'turn_angle': 0.50515, 'incoming_length': 1.10337, 'outgoing_length': 0.287152, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.11262, 'trim_min': 0.0258087, 'trim_max': 0.287152, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.0873, 'selected_trim': 0.280618, 'selected_score': 0.372361}]",4,24,80,none,4,0,0.0,252,0.439281,248,0,0,"{'angular acceleration iteration did not converge': 4, 'transition requires a reversing inner wheel': 6, 'trim distance exceeds corner segment geometry': 1}",0.0491968,adaptive,0.05,,0,69,SmacHybrid,7d54ca2618702b7879933a879b0c0a1d1db8f6cfb6f5740116a8769a58ffb436,85,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,0,1,center_block_detour,True,2.323816302174568,2.4872939959365663,4.176683871350787,1,0.06096756000033565
