algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_oscillation_deviation,pivot_conditioning_oscillation_shortcuts,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pass_through_corners,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,45.44221061527057,4.440892098500626e-16,8.292516836764085e-17,,0.4291142598122478,0.16464466339406925,0.18825146149581692,0,191,10.710951044805608,raw,0.05,182,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,4.617014289107271,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,95,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,45.44221061527057,10.710951044805608,4.617014289107271,1,0.01018894899971201
0.042,3.780055378102277,0.05677592244511784,0.022740275998942155,,0.45515030440830045,0.25619225950049973,0.25619225950049973,0,159,4.086303352887535,pivot_g2,0.05,156,09ac8093305c8478560e00aafb9d1445a3d4de523dc7e4d2d3f56bc326393a0c,4.563229298577317,40,47,"[[-5, -3], [-2.91875, -2.76539], [-2.7127, -2.54802], [-2.2237, -0.837797], [-2, -0.5]]",182,0.075,0.0568044,0.15,0,5,0,4,"[{'index': 0, 'x': -2.91875, 'y': -2.76539, 'turn_angle': 0.699879, 'incoming_length': 2.09443, 'outgoing_length': 0.299521, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.820695, 'trim_min': 0.036496, 'trim_max': 0.299521, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.280174, 'selected_trim': 0.102252, 'selected_score': 0.69075}, {'index': 1, 'x': -2.7127, 'y': -2.54802, 'turn_angle': 0.480174, 'incoming_length': 0.299521, 'outgoing_length': 1.77875, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.22349, 'trim_min': 0.0244809, 'trim_max': 0.299521, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.408959, 'selected_trim': 0.100117, 'selected_score': 0.58926}, {'index': 2, 'x': -2.2237, 'y': -0.837797, 'turn_angle': -0.306442, 'incoming_length': 1.77875, 'outgoing_length': 0.405155, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0154431, 'trim_max': 0.231647, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.231647, 'selected_score': 0.164064}]",3,18,60,none,3,0,0.0,252,0.481358,156,0,0,"{'angular acceleration iteration did not converge': 5, 'transition requires a reversing inner wheel': 4}",0.0404298,adaptive,0.05,,0,51,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,93,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,3.780055378102277,4.086303352887535,4.563229298577317,1,0.0517267449999963
0.003,40.33958545042524,1.1102230246251565e-16,1.145107615684086e-17,,0.4460433015490947,0.16464466339406925,0.20144806281747213,0,191,11.188063060003893,raw,0.05,184,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,4.605420970545901,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,94,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,40.33958545042524,11.188063060003893,4.605420970545901,1,0.01698610399989775
0.036000000000000004,3.242602026037301,0.07184309772235087,0.037053289316504784,,0.4060135161056369,0.25619225950049973,0.26878279146075923,0,124,3.9666392775491226,pivot_g2,0.05,118,c97b7bd21d6c54d3c65b296494e8cc6d0b1dd0da9b33b72b641c70d4e5dae1ef,4.553871131520755,4,25,"[[-5, -3], [-2.91374, -2.75909], [-2.70457, -2.55229], [-2, -0.5]]",184,0.075,0.0719908,0.15,0,4,0,3,"[{'index': 0, 'x': -2.91374, 'y': -2.75909, 'turn_angle': 0.664742, 'incoming_length': 2.10012, 'outgoing_length': 0.294139, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.85214, 'trim_min': 0.0345176, 'trim_max': 0.294139, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.288035, 'selected_trim': 0.0994229, 'selected_score': 0.693267}, {'index': 1, 'x': -2.70457, 'y': -2.55229, 'turn_angle': 0.460388, 'incoming_length': 0.294139, 'outgoing_length': 2.16987, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.25514, 'trim_min': 0.0234348, 'trim_max': 0.294139, 'evaluations': 20, 'safe_feasible': 15, 'states': 6, 'selected_radius': 0.446541, 'selected_trim': 0.104646, 'selected_score': 0.567327}]",2,12,40,none,2,0,0.0,252,0.630297,118,0,0,"{'angular acceleration iteration did not converge': 3, 'transition requires a reversing inner wheel': 4}",0.0350387,adaptive,0.05,,0,33,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,93,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,3.242602026037301,3.9666392775491226,4.553871131520755,1,0.043824065000080736
0.003,13.126093412718816,4.440892098500626e-16,6.712869648208185e-17,,0.4172105298861683,0.1449222268733815,0.2146446641391273,0,180,11.68881206015846,raw,0.05,88,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,4.544460201548347,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,ThetaStar,03c013c9c406e0b379af4e678b55a6003f06ff28122680f57659004b4cd16d66,93,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,0,1,lower_left_diagonal,True,13.126093412718816,11.68881206015846,4.544460201548347,1,0.00558331399997769
0.054000000000000006,3.4229917677785417,0.016915001750141958,0.005317751557350966,,0.3826543038016306,0.2474873771031409,0.2474873771031409,0,154,3.7465271528744393,pivot_g2,0.05,146,abb9e68a362c0f2bc0164447f12318ef50d94c128c5c3bce644a3e121c6fe78b,4.531103448155614,40,46,"[[-5, -3], [-4.425, -2.825], [-2.925, -2.725], [-2.675, -2.475], [-2, -0.5]]",88,0.075,0.0153225,0.15,0,5,0,4,"[{'index': 0, 'x': -4.425, 'y': -2.825, 'turn_angle': -0.228873, 'incoming_length': 0.601041, 'outgoing_length': 1.50333, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0114939, 'trim_max': 0.172408, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.172408, 'selected_score': 0.198405}, {'index': 1, 'x': -2.925, 'y': -2.725, 'turn_angle': 0.71883, 'incoming_length': 1.50333, 'outgoing_length': 0.353553, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.940964, 'trim_min': 0.0375735, 'trim_max': 0.353553, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.310241, 'selected_trim': 0.116568, 'selected_score': 0.695009}, {'index': 2, 'x': -2.675, 'y': -2.475, 'turn_angle': 0.456072, 'incoming_length': 0.353553, 'outgoing_length': 2.08716, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0232073, 'trim_max': 0.348109, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.104433, 'selected_score': 0.563571}]",3,18,60,none,3,0,0.0,252,0.485662,146,0,0,"{'angular acceleration iteration did not converge': 4, 'transition requires a reversing inner wheel': 4}",0.0525436,adaptive,0.05,,0,52,ThetaStar,03c013c9c406e0b379af4e678b55a6003f06ff28122680f57659004b4cd16d66,92,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,0,1,lower_left_diagonal,True,3.4229917677785417,3.7465271528744393,4.531103448155614,1,0.062435514999833686
0.003,3.3377814842907765,4.440892098500626e-16,8.34676118839486e-17,,0.3906620615410496,0.2146446641391273,0.2146446641391273,0,171,1.9823505468039173,raw,0.05,87,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,4.5246497453112156,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,Smac2D,f361af1bc209f2f1cf65e180d1ff7df5057f0f8586258360e1e5be6e8e298411,92,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,0,1,lower_left_diagonal,True,3.3377814842907765,1.9823505468039173,4.5246497453112156,1,0.0074999430003117595
0.036000000000000004,8.016734268501319,0.056371579119722265,0.027448731395762406,,0.3346045591801589,0.16464466339406925,0.17319064603232984,0,189,11.936782206108955,pivot_g2,0.05,174,a5a5a9ad6ac3a1f99899141e7bb028ba1151143f32abdeecf7a240b9fd40cd72,4.4834049497740205,44,45,"[[-5, -3], [-4.3, -2.81027], [-3.20015, -2.78202], [-2.86137, -2.63051], [-2, -0.5]]",87,0.075,0.0567345,0.15,0,5,0,4,"[{'index': 0, 'x': -4.3, 'y': -2.81027, 'turn_angle': -0.239013, 'incoming_length': 0.725257, 'outgoing_length': 1.10021, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0120079, 'trim_max': 0.180118, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.180118, 'selected_score': 0.202392}, {'index': 1, 'x': -3.20015, 'y': -2.78202, 'turn_angle': 0.394876, 'incoming_length': 1.10021, 'outgoing_length': 0.371113, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0200044, 'trim_max': 0.300067, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.300067, 'selected_score': 0.31473}, {'index': 2, 'x': -2.86137, 'y': -2.63051, 'turn_angle': 0.766035, 'incoming_length': 0.371113, 'outgoing_length': 2.29805, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.921068, 'trim_min': 0.0402916, 'trim_max': 0.371113, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}]",3,18,60,none,2,1,0.7660350404653318,252,0.258561,174,0,1,"{'angular acceleration iteration did not converge': 5, 'transition requires a reversing inner wheel': 4}",0.037925,adaptive,0.05,,0.7660350404653318,51,Smac2D,f361af1bc209f2f1cf65e180d1ff7df5057f0f8586258360e1e5be6e8e298411,91,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,0,1,lower_left_diagonal,True,0.44056077556576145,0.7738047713092517,4.48601870636117,2,0.04912706499999331
0.003,4.995680699264864,4.440892098500626e-16,4.991408376245742e-17,,0.4911094843595594,0.2474873771031409,0.2474873771031409,0,124,3.4302539800883625,raw,0.05,56,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,4.633588115546325,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,SmacHybrid,86a5c6a32e56c182c375b37330549743a1d5e441e60796274cc39a3fbc81987a,94,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,0,1,lower_left_diagonal,True,4.995680699264864,3.4302539800883625,4.633588115546325,1,0.006130134999693837
0.030000000000000002,2.607788748059567,0.08608332767510848,0.04552629667882286,,0.386247204888305,0.17079994476667312,0.17079994476667312,0,225,3.015538354917766,pivot_g2,0.05,221,031a89eed687c0eef5c5d70c2429ca3d18c3e7c1ea83a03d0f1b16579778f12b,4.556576773489111,56,43,"[[-5, -3], [-2.8498, -2.65836], [-2.2911, -2.06661], [-2.11358, -0.679361], [-2, -0.5]]",56,0.075,0.0749945,0.15,0,5,0,4,"[{'index': 0, 'x': -2.8498, 'y': -2.65836, 'turn_angle': 0.656557, 'incoming_length': 2.17718, 'outgoing_length': 0.81382, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0340603, 'trim_max': 0.510904, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.4475, 'selected_trim': 0.493022, 'selected_score': 0.412495}, {'index': 1, 'x': -2.2911, 'y': -2.06661, 'turn_angle': 0.629396, 'incoming_length': 0.81382, 'outgoing_length': 1.39856, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0325515, 'trim_max': 0.488273, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.38, 'selected_trim': 0.123696, 'selected_score': 0.604243}, {'index': 2, 'x': -2.11358, 'y': -0.679361, 'turn_angle': -0.43725, 'incoming_length': 1.39856, 'outgoing_length': 0.212301, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.955554, 'trim_min': 0.0222176, 'trim_max': 0.212301, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.955554, 'selected_trim': 0.212301, 'selected_score': 0.293086}]",3,18,60,none,3,0,0.0,252,0.436608,221,0,0,"{'angular acceleration iteration did not converge': 1, 'transition requires a reversing inner wheel': 6}",0.0295914,adaptive,0.05,,0,53,SmacHybrid,86a5c6a32e56c182c375b37330549743a1d5e441e60796274cc39a3fbc81987a,93,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,0,1,lower_left_diagonal,True,2.607788748059567,3.015538354917766,4.556576773489111,1,0.04066289399997913
