algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,wall_time_s
0.003,0.0,6.938893903907228e-18,5.703735654108328e-19,,0.0,raw,0.05,147,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,7.300000108778477,,,,,,,,,,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.004401586998938001
0.0,0.0,6.938893903907228e-18,5.703735654108328e-19,,0.0,simple,0.05,147,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,7.300000108778477,,,,,,,,,,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.005615637001028517
0.0,2.524352150757912e-26,1.3322676295501878e-15,8.866770324764645e-16,,7.105411899280466e-13,savitzky_golay,0.05,147,9d9963921d672f848bbbce000581e77dffdd9b861cf4ce221db68ecefa6e5f7f,7.300000108778477,,,,,,,,,,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.003965134999816655
0.0,0.0,6.938893903907228e-18,5.703735654108328e-19,,0.0,constrained,0.05,147,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,7.300000108778477,,,,,,,,,,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.004160693999438081
0.003,0.0,6.938893903907228e-18,5.703735654108328e-19,,0.0,pivot_g2,0.05,148,f8d586166ebc2f39179c841ca7d09e963884e93a373a07a9887063a473599054,7.300000108778477,0,0,0,200,0,148,0,0.000127746,0,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.004821205999178346
0.003,12.138576666130517,4.440892098500626e-16,9.99278793868207e-17,,9.863537468001397,raw,0.05,68,7f8db06446639d742403d117f9c1fab020f33d31b3834bd821b2a5b30c2fd3b6,3.8683436744480577,,,,,,,,,,ThetaStar,79,7f8db06446639d742403d117f9c1fab020f33d31b3834bd821b2a5b30c2fd3b6,1,crate_detour,True,0.003390690999367507
0.0,1.686682373962275,0.03457297979983675,0.01053766004196429,,1.6224265460598053,simple,0.05,68,dc1c9e66d1160e97e89d1b40ef9e8e2c2e3a4555c8081fa1197b8ae4b3224288,3.8304827714379397,,,,,,,,,,ThetaStar,78,7f8db06446639d742403d117f9c1fab020f33d31b3834bd821b2a5b30c2fd3b6,1,crate_detour,True,0.0026329140000598272
0.0,3.167745431813206,0.012077343974447829,0.002776452721434416,,2.653939714260079,savitzky_golay,0.05,68,d88b48abda821a809ffcbe2d05f7d66ef6e1d4de87ebd7ab35926f9fe46b127e,3.8578646806502856,,,,,,,,,,ThetaStar,79,7f8db06446639d742403d117f9c1fab020f33d31b3834bd821b2a5b30c2fd3b6,1,crate_detour,True,0.0038628319998679217
0.003,1.8640334345355996,0.03382560688324926,0.015798579887399168,,1.3644267695382046,constrained,0.05,68,91980c8a691117042ecaf50b35626ceb14c7d9cdb91f87d1d126324c5d8db204,3.874395980858607,,,,,,,,,,ThetaStar,79,7f8db06446639d742403d117f9c1fab020f33d31b3834bd821b2a5b30c2fd3b6,1,crate_detour,True,0.007197478000307456
0.003,3.9625474045243543,0.016087897245085303,0.0029584959395048288,,2.5681883408775388,pivot_g2,0.05,183,7dcac9f1277791ed62c061fa3f0108b999129db82dcf67b9778151f0314c453c,3.8553668638352034,19,7,7,200,0.974089,183,0,0.00290907,45,ThetaStar,79,7f8db06446639d742403d117f9c1fab020f33d31b3834bd821b2a5b30c2fd3b6,1,crate_detour,True,0.00849658900006034
