algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_competitive_candidates,pivot_corners,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pivots,pivot_runtime_s,pivot_total_angle_rad,pivot_valid_candidates,planner,point_count,raw_path_sha256,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,0.0,6.938893903907228e-18,5.703735654108328e-19,,0.0,raw,0.05,147,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,7.300000108778477,,,,0,0.0,,,,,,0,,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.0,0.0,7.300000108778477,1,0.004015480000816751
0.003,0.0,6.938893903907228e-18,5.703735654108328e-19,,0.0,simple,0.05,147,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,7.300000108778477,,,,0,0.0,,,,,,0,,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.0,0.0,7.300000108778477,1,0.004732655999760027
0.0,2.524352150757912e-26,1.3322676295501878e-15,8.866770324764645e-16,,7.105411899280466e-13,savitzky_golay,0.05,147,9d9963921d672f848bbbce000581e77dffdd9b861cf4ce221db68ecefa6e5f7f,7.300000108778477,,,,0,0.0,,,,,,0,,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,2.524352150757912e-26,7.105411899280466e-13,7.300000108778477,1,0.004157415000008768
0.0,0.0,6.938893903907228e-18,5.703735654108328e-19,,0.0,constrained,0.05,147,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,7.300000108778477,,,,0,0.0,,,,,,0,,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.0,0.0,7.300000108778477,1,0.004381336000733427
0.0,0.0,6.938893903907228e-18,5.703735654108328e-19,,0.0,pivot_g2,0.05,148,f8d586166ebc2f39179c841ca7d09e963884e93a373a07a9887063a473599054,7.300000108778477,0,0,0,0,0.0,200,0,148,0,0.000266339,0,0,ThetaStar,148,add2ed7455133f04c01841cf099b6b1df721535004bdbce80ec899711a5b8c65,1,straight_lower_aisle,True,0.0,0.0,7.300000108778477,1,0.005377802999646519
0.0,8.98258434607253,4.440892098500626e-16,1.3063958923854638e-16,,6.988476699505798,raw,0.05,68,6a1ae826b56307963223b7f37776d2ed3907e7bac517c58ca642bef757088c23,3.8302876858509607,,,,0,0.0,,,,,,0,,ThetaStar,78,6a1ae826b56307963223b7f37776d2ed3907e7bac517c58ca642bef757088c23,1,crate_detour,True,8.98258434607253,6.988476699505798,3.8302876858509607,1,0.0032638650009175763
0.0,1.7960302994608863,0.02848598738476942,0.010415825007287898,,1.527458786254446,simple,0.05,68,e49af2b6473c8eaba367a44382c0d4e8c3c95591c20459162ac9a1335032f4f9,3.795291597749393,,,,0,0.0,,,,,,0,,ThetaStar,77,6a1ae826b56307963223b7f37776d2ed3907e7bac517c58ca642bef757088c23,1,crate_detour,True,1.7960302994608863,1.527458786254446,3.795291597749393,1,0.003787117000683793
0.0,2.709322134942473,0.008020831385194462,0.002329177400459904,,2.0206773485430802,savitzky_golay,0.05,68,b1fbb6389e270bb2e7c06e32fff1b3036b7b82834afdb2bbb18ab8a064a12f6e,3.8230081847231947,,,,0,0.0,,,,,,0,,ThetaStar,78,6a1ae826b56307963223b7f37776d2ed3907e7bac517c58ca642bef757088c23,1,crate_detour,True,2.709322134942473,2.0206773485430802,3.8230081847231947,1,0.0023105820000637323
0.0,2.290047646384631,0.027400984397049386,0.011755106924503373,,1.8131281846817418,constrained,0.05,68,df54816f2b699effce757c2618d3f85cf64fe642f11725181692cfcb2d0483d7,3.832221072103241,,,,0,0.0,,,,,,0,,ThetaStar,78,6a1ae826b56307963223b7f37776d2ed3907e7bac517c58ca642bef757088c23,1,crate_detour,True,2.290047646384631,1.8131281846817418,3.832221072103241,1,0.004567083000438288
0.003,3.6272107544099765,0.010148925623518693,0.002060642156274603,,2.245685944707828,pivot_g2,0.05,170,3fcd8f8237f882e9b0c8c95a075ed2a7a3a8e4d4d3d51921aa3f5fdf4614f92b,3.821610146869,20,7,7,0,0.0,200,0.812857,170,0,0.0027694,0,48,ThetaStar,78,6a1ae826b56307963223b7f37776d2ed3907e7bac517c58ca642bef757088c23,1,crate_detour,True,3.6272107544099765,2.245685944707828,3.821610146869,1,0.008774711999649298
0.0,23.87058952795239,2.220446049250313e-16,4.04438252565071e-17,,14.931846648030852,raw,0.05,64,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,3.530643425136016,,,,0,0.0,,,,,,0,,ThetaStar,72,a299e1e7dd5588157e5a2ac2fc4890eb31b101a5da017be804e3ae85f391b60d,1,vertical_rack_detour,True,23.87058952795239,14.931846648030852,3.530643425136016,1,0.002508028999727685
