algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_candidate_time_budget_s,hybrid_maximum_center_cost,hybrid_pivot_energy,hybrid_pivot_maneuver_effort,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_path_length_m,hybrid_pivot_pivot_rotation_rad,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_maneuver_effort,hybrid_raw_max_cost,hybrid_raw_path_length_m,hybrid_raw_pivot_rotation_rad,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_maneuver_effort,hybrid_simple_max_cost,hybrid_simple_path_length_m,hybrid_simple_pivot_rotation_rad,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_oscillation_deviation,pivot_conditioning_oscillation_shortcuts,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pass_through_corners,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,1380.4414065983144,4.440892098500626e-16,7.489369501106812e-17,,0.4882195072777937,0.1449222268733815,0.1974890824209756,0,588,,,,,,,,,,,,,,,,,,,,,,,,376.42446420677703,raw,0.05,576,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,14.076386559987759,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,293,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,1380.4414065983144,376.42446420677703,14.076386559987759,1,0.01137344199923973
0.021,1205.550325555367,0.01637939749833237,0.003980414422048058,,0.47006653416543215,0.16464466339406925,0.2146446641391273,0,608,,,,,,,,,,,,,,,,,,,,,,,,379.5120667936987,simple,0.05,576,0da8a0f1fb1927bc98ef16800c83d7b6841e6a69c34ef7cec53887e66edb6991,13.951802343123203,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,289,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,1205.550325555367,379.5120667936987,13.951802343123203,1,0.032472605999828374
0.0,1066.1003444465844,0.008204879025537626,0.0015911011428423414,,0.4502586092617832,0.11464466264901119,0.2146446641391273,0,692,,,,,,,,,,,,,,,,,,,,,,,,339.4856196257201,savitzky_golay,0.05,576,2388559dc424e7ce1502d409df4108b9b4c311a06d1b5555141d331460454001,14.034406139586842,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,290,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,1066.1003444465844,339.4856196257201,14.034406139586842,1,0.012042592999932822
0.042,119.6431188331473,0.05715545392440162,0.012050736904135462,,0.4151444174174773,0.16464466339406925,0.16464466339406925,0,824,,,,,,,,,,,,,,,,,,,,,,,,31.145698091426286,constrained,0.05,576,fffefec6c5b11f5ab6036c80b2f1d2b1043f8a931848541c2dceb1a10fef21e5,14.091468365783749,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,284,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,119.6431188331473,31.145698091426286,14.091468365783749,1,0.05351073000019824
0.012,7.283593517655374,0.07644644691759274,0.027170018600800854,,0.4566231557800086,0.16464466339406925,0.16464466339406925,0,647,,,,,,,,,,,,,,,,,,,,,,,,2.909101074175138,pivot_g2_fixed,0.05,635,1d230eb2c8e8ecb4b5f352957d3e1e2d12c9ec65fc79fab8811959b591c69404,13.810415218528883,0,53,"[[-5, 0], [-4.60083, 0.673261], [-4.35235, 2.19445], [-3.81513, 3.10731], [-3.45247, 3.41949], [-2.45376, 3.447], [-2.15922, 3.32627], [1.57236, 3.37014], [2.69731, 2.38221], [3.07093, 2.37558], [3.56607, 2.14558], [4.10138, 1.17973], [5, 0]]",576,0.075,0.0728691,0.15,0,13,0,12,"[{'index': 0, 'x': -4.60083, 'y': 0.673261, 'turn_angle': 0.373255, 'incoming_length': 0.782698, 'outgoing_length': 1.54135, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 9, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.283237, 'selected_score': 1}, {'index': 1, 'x': -4.35235, 'y': 2.19445, 'turn_angle': -0.370002, 'incoming_length': 1.54135, 'outgoing_length': 1.0592, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 9, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.280711, 'selected_score': 1}, {'index': 2, 'x': -3.81513, 'y': 3.10731, 'turn_angle': -0.328143, 'incoming_length': 1.0592, 'outgoing_length': 0.478516, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 7, 'states': 0, 'selected_radius': 1.25, 'selected_trim': 0.20695, 'selected_score': 0.85}, {'index': 3, 'x': -3.45247, 'y': 3.41949, 'turn_angle': -0.683196, 'incoming_length': 0.478516, 'outgoing_length': 0.999092, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 4, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.213321, 'selected_score': 0.964661}, {'index': 4, 'x': -2.45376, 'y': 3.447, 'turn_angle': -0.416525, 'incoming_length': 0.999092, 'outgoing_length': 0.31832, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 5, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.126796, 'selected_score': 1}, {'index': 5, 'x': -2.15922, 'y': 3.32627, 'turn_angle': 0.400742, 'incoming_length': 0.31832, 'outgoing_length': 3.73183, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 5, 'states': 0, 'selected_radius': 0.6, 'selected_trim': 0.121858, 'selected_score': 1}, {'index': 6, 'x': 1.57236, 'y': 3.37014, 'turn_angle': -0.732388, 'incoming_length': 3.73183, 'outgoing_length': 1.49717, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 9, 'states': 0, 'selected_radius': 1.25, 'selected_trim': 0.479364, 'selected_score': 0.952696}, {'index': 7, 'x': 2.69731, 'y': 2.38221, 'turn_angle': 0.702869, 'incoming_length': 1.49717, 'outgoing_length': 0.373673, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 3, 'states': 0, 'selected_radius': 0.4, 'selected_trim': 0.146662, 'selected_score': 0.9}, {'index': 8, 'x': 3.07093, 'y': 2.37558, 'turn_angle': -0.417087, 'incoming_length': 0.373673, 'outgoing_length': 0.545953, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 6, 'states': 0, 'selected_radius': 0.75, 'selected_trim': 0.158715, 'selected_score': 0.85}, {'index': 9, 'x': 3.56607, 'y': 2.14558, 'turn_angle': -0.629848, 'incoming_length': 0.545953, 'outgoing_length': 1.10427, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 6, 'states': 0, 'selected_radius': 0.75, 'selected_trim': 0.244324, 'selected_score': 0.892512}, {'index': 10, 'x': 4.10138, 'y': 1.17973, 'turn_angle': 0.144859, 'incoming_length': 1.10427, 'outgoing_length': 1.483, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 9, 'safe_feasible': 7, 'states': 0, 'selected_radius': 1.5, 'selected_trim': 0.108834, 'selected_score': 1}]",11,0,99,none,11,0,0.0,252,0.946352,635,0,0,"{'angular acceleration iteration did not converge': 4, 'transition would overlap an adjacent corner window': 25}",0.0117387,fixed,0.05,,0,70,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,278,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,7.283593517655374,2.909101074175138,13.810415218528883,1,0.025377627000125358
0.024,10.007639796966217,0.0914787487499742,0.028189361452614,,0.47267605760536036,0.16464466339406925,0.16464466339406925,0,606,,,,,,,,,,,,,,,,,,,,,,,,4.060869388994544,pivot_g2,0.05,594,a9f1c046f4b9e4bb198426d1f56eb6d1549dbe58e21885822dc48f64b20ee562,13.821380697902931,256,178,"[[-5, 0], [-4.60083, 0.673261], [-4.35235, 2.19445], [-3.81513, 3.10731], [-3.45247, 3.41949], [-2.45376, 3.447], [-2.15922, 3.32627], [1.57236, 3.37014], [2.69731, 2.38221], [3.07093, 2.37558], [3.56607, 2.14558], [4.10138, 1.17973], [5, 0]]",576,0.075,0.0728691,0.15,0,13,0,12,"[{'index': 0, 'x': -4.60083, 'y': 0.673261, 'turn_angle': 0.373255, 'incoming_length': 0.782698, 'outgoing_length': 1.54135, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0188825, 'trim_max': 0.283237, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.283237, 'selected_score': 0.187319}, {'index': 1, 'x': -4.35235, 'y': 2.19445, 'turn_angle': -0.370002, 'incoming_length': 1.54135, 'outgoing_length': 1.0592, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0187141, 'trim_max': 0.280711, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.280711, 'selected_score': 0.186226}, {'index': 2, 'x': -3.81513, 'y': 3.10731, 'turn_angle': -0.328143, 'incoming_length': 1.0592, 'outgoing_length': 0.478516, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.016556, 'trim_max': 0.24834, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.24834, 'selected_score': 0.277155}, {'index': 3, 'x': -3.45247, 'y': 3.41949, 'turn_angle': -0.683196, 'incoming_length': 0.478516, 'outgoing_length': 0.999092, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.3459, 'trim_min': 0.0355536, 'trim_max': 0.478516, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.34918, 'selected_trim': 0.124146, 'selected_score': 0.69665}, {'index': 4, 'x': -2.45376, 'y': 3.447, 'turn_angle': -0.416525, 'incoming_length': 0.999092, 'outgoing_length': 0.31832, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0211327, 'trim_max': 0.31699, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.095097, 'selected_score': 0.552286}, {'index': 5, 'x': -2.15922, 'y': 3.32627, 'turn_angle': 0.400742, 'incoming_length': 0.31832, 'outgoing_length': 3.73183, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0203096, 'trim_max': 0.304645, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.0913934, 'selected_score': 0.520256}, {'index': 6, 'x': 1.57236, 'y': 3.37014, 'turn_angle': -0.732388, 'incoming_length': 3.73183, 'outgoing_length': 1.49717, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0383491, 'trim_max': 0.575236, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.575236, 'selected_score': 0.43851}, {'index': 7, 'x': 2.69731, 'y': 2.38221, 'turn_angle': 0.702869, 'incoming_length': 1.49717, 'outgoing_length': 0.373673, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.01914, 'trim_min': 0.0366655, 'trim_max': 0.373673, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.283828, 'selected_trim': 0.104067, 'selected_score': 0.677742}, {'index': 8, 'x': 3.07093, 'y': 2.37558, 'turn_angle': -0.417087, 'incoming_length': 0.373673, 'outgoing_length': 0.545953, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0211621, 'trim_max': 0.317431, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0.45, 'selected_trim': 0.0952292, 'selected_score': 0.529331}, {'index': 9, 'x': 3.56607, 'y': 2.14558, 'turn_angle': -0.629848, 'incoming_length': 0.545953, 'outgoing_length': 1.10427, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0325765, 'trim_max': 0.488648, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0.38, 'selected_trim': 0.123791, 'selected_score': 0.671065}, {'index': 10, 'x': 4.10138, 'y': 1.17973, 'turn_angle': 0.144859, 'incoming_length': 1.10427, 'outgoing_length': 1.483, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00725562, 'trim_max': 0.108834, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.108834, 'selected_score': 0.0980583}]",11,66,220,none,11,0,0.0,252,0.439509,594,0,0,"{'angular acceleration iteration did not converge': 13, 'transition requires a reversing inner wheel': 16}",0.0217283,adaptive,0.05,,0,191,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,278,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,10.007639796966217,4.060869388994544,13.821380697902931,1,0.03560578399992664
0.015000000000000001,7.283593517655374,0.07644644691759274,0.027170018600800854,,0.4566231557800086,0.16464466339406925,0.16464466339406925,0,647,1.5,252,7.28359,7.28359,0,228,13.8113,0,True,1379.2,1379.2,253,14.5688,0,True,pivot_lower_maneuver_effort,pivot_g2,1204.32,1204.32,228,14.3534,0,True,2.909101074175138,adaptive_hybrid_fixed,0.05,635,1d230eb2c8e8ecb4b5f352957d3e1e2d12c9ec65fc79fab8811959b591c69404,13.810415218528883,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,278,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,7.283593517655374,2.909101074175138,13.810415218528883,1,0.027277976999357634
0.021,1205.550325555367,0.01637939749833237,0.003980414422048058,,0.47006653416543215,0.16464466339406925,0.2146446641391273,0,608,1.5,252,10.0076,10.0076,0,253,13.8226,0,True,1379.2,1379.2,253,14.5688,0,True,simple_lower_peak_cost,simple,1204.32,1204.32,228,14.3534,0,True,379.5120667936987,adaptive_hybrid,0.05,576,0da8a0f1fb1927bc98ef16800c83d7b6841e6a69c34ef7cec53887e66edb6991,13.951802343123203,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,289,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,1205.550325555367,379.5120667936987,13.951802343123203,1,0.03872301899991726
0.0,63.48283544500147,4.440892098500626e-16,7.710509032335408e-17,,0.48779401611980716,0.1449222268733815,0.2146446641391273,0,618,,,,,,,,,,,,,,,,,,,,,,,,12.34977158661195,raw,0.05,557,f151b12372f6cea9f1662b92a6df24b9b12738e431b8889702e1cd3222ca5857,13.959638583794742,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,281,f151b12372f6cea9f1662b92a6df24b9b12738e431b8889702e1cd3222ca5857,0,1,serpentine_east_west,True,63.48283544500147,12.34977158661195,13.959638583794742,1,0.00959300400063512
0.0,14.101111072893245,0.020047554137448027,0.003267731451151462,,0.4731462200754046,0.16464466339406925,0.2146446641391273,0,625,,,,,,,,,,,,,,,,,,,,,,,,6.5919828856385445,simple,0.05,557,c4164be6bb151f498f452dda15dbd7121dd484f179da32f3f4df05a98d3a737f,13.891320816679688,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,279,f151b12372f6cea9f1662b92a6df24b9b12738e431b8889702e1cd3222ca5857,0,1,serpentine_east_west,True,14.101111072893245,6.5919828856385445,13.891320816679688,1,0.013213186000029964
