algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,45.44221061527057,4.440892098500626e-16,8.292516836764085e-17,,0.4291142598122478,0.16464466339406925,0.18825146149581692,0,191,10.710951044805608,raw,0.05,182,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,4.617014289107271,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,45.44221061527057,10.710951044805608,4.617014289107271,1,0.0047213130001182435
0.057,1.5142374068019633,0.17288652305042038,0.08357790188063911,,0.3460755541533218,0.1449222268733815,0.1449222268733815,0,125,1.6841450768426884,pstmo,0.05,118,fdcf03c12cb2f081dd3c260c28315f759f4003d8a91925323d5b3c10f8cd25a6,4.433935757355078,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,90,0,10,"[[-5, -3], [-2.76716, -2.59678], [-2, -0.5]]",3,0.075,0,0.15,0,3,0,0,"[{'index': 0, 'x': -2.76716, 'y': -2.59678, 'turn_angle': 1.04139, 'incoming_length': 2.26895, 'outgoing_length': 2.23272, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0573485, 'trim_max': 0.860227, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 11, 'states': 10, 'selected_radius': 0.7475, 'selected_trim': 0.42868, 'selected_control_distance': 0.150038, 'selected_control_fraction': 0.35, 'selected_score': 0.664404}]",1,10,40,none,1,2,89,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.56349, 'max_curvature_1pm': 4.0863, 'curvature_energy_1pm': 3.92187, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 161}",0.607318,3,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.43394, 'max_curvature_1pm': 1.68415, 'curvature_energy_1pm': 1.51424, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",87,0.547789,True,True,los_quality_improvement,0.0558663,252,0.664404,118,0,0,182,"{'shape_angular acceleration iteration did not converge': 1, 'shape_swept_footprint': 18, 'shape_transition requires a reversing inner wheel': 6, 'swept_footprint': 6, 'transition requires a reversing inner wheel': 3}",0.00778426,joint_d_q,0.05,,15,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,1.5142374068019633,1.6841450768426884,4.433935757355078,1,0.06026640599975508
0.003,40.33958545042524,1.1102230246251565e-16,1.145107615684086e-17,,0.4460433015490947,0.16464466339406925,0.20144806281747213,0,191,11.188063060003893,raw,0.05,184,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,4.605420970545901,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,40.33958545042524,11.188063060003893,4.605420970545901,1,0.004435744999682356
0.036000000000000004,1.3737232906416514,0.18174649709434681,0.08521502838403962,,0.3463387403543932,0.1449222268733815,0.1449222268733815,0,129,1.5105664761263167,pstmo,0.05,122,180e4ab803f0d5d147b579a44807ebc22f3a826472f716c5f76c996502362705,4.4378460619008715,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,90,0,13,"[[-5, -3], [-2.73693, -2.59002], [-2, -0.5]]",3,0.075,0,0.15,0,3,0,0,"[{'index': 0, 'x': -2.73693, 'y': -2.59002, 'turn_angle': 1.05259, 'incoming_length': 2.29991, 'outgoing_length': 2.21614, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0580954, 'trim_max': 0.871431, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 11, 'states': 10, 'selected_radius': 0.835, 'selected_trim': 0.485097, 'selected_control_distance': 0.169784, 'selected_control_fraction': 0.35, 'selected_score': 0.640634}]",1,10,40,none,1,2,90,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.55411, 'max_curvature_1pm': 3.96664, 'curvature_energy_1pm': 3.31581, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 161}",0.596434,3,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.43785, 'max_curvature_1pm': 1.51057, 'curvature_energy_1pm': 1.37372, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",88,0.536899,True,True,los_quality_improvement,0.0357157,252,0.640634,122,0,0,184,"{'shape_swept_footprint': 17, 'shape_transition requires a reversing inner wheel': 6, 'swept_footprint': 6, 'transition requires a reversing inner wheel': 3}",0.00710596,joint_d_q,0.05,,17,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,1.3737232906416514,1.5105664761263167,4.4378460619008715,1,0.03969545699965238
0.0,13.126093412718816,4.440892098500626e-16,6.712869648208185e-17,,0.4172105298861683,0.1449222268733815,0.2146446641391273,0,180,11.68881206015846,raw,0.05,88,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,4.544460201548347,0,0.0,0,ThetaStar,03c013c9c406e0b379af4e678b55a6003f06ff28122680f57659004b4cd16d66,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,0,1,lower_left_diagonal,True,13.126093412718816,11.68881206015846,4.544460201548347,1,0.003676524999718822
0.048,1.5677165884383313,0.10494557737076766,0.0495742839109223,,0.34238547698285277,0.1449222268733815,0.1449222268733815,0,123,1.744725496700357,pstmo,0.05,117,e710b379f38eb5c5a53cab0d5aa12bb6b37a0f20dc4a72403a71c444142fe7d6,4.424260964994554,0,0.0,0,ThetaStar,03c013c9c406e0b379af4e678b55a6003f06ff28122680f57659004b4cd16d66,90,0,14,"[[-5, -3], [-2.825, -2.625], [-2, -0.5]]",3,0.075,0,0.15,0,3,0,0,"[{'index': 0, 'x': -2.825, 'y': -2.625, 'turn_angle': 1.02974, 'incoming_length': 2.20709, 'outgoing_length': 2.27953, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0565768, 'trim_max': 0.848653, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 0.7125, 'selected_trim': 0.40311, 'selected_control_distance': 0.141089, 'selected_control_fraction': 0.35, 'selected_score': 0.673124}]",1,10,40,none,1,2,45,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.52809, 'max_curvature_1pm': 3.28974, 'curvature_energy_1pm': 2.88473, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.588344,3,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.42426, 'max_curvature_1pm': 1.74473, 'curvature_energy_1pm': 1.56772, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 251}",43,0.554388,True,True,los_quality_improvement,0.0474586,252,0.673124,117,0,0,88,"{'shape_angular acceleration iteration did not converge': 3, 'shape_swept_footprint': 12, 'shape_transition requires a reversing inner wheel': 6, 'swept_footprint': 5, 'transition requires a reversing inner wheel': 3}",0.0103241,joint_d_q,0.05,,19,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,0,1,lower_left_diagonal,True,1.5677165884383313,1.744725496700357,4.424260964994554,1,0.051620002999698045
0.003,3.3377814842907765,4.440892098500626e-16,8.34676118839486e-17,,0.3906620615410496,0.2146446641391273,0.2146446641391273,0,171,1.9823505468039173,raw,0.05,87,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,4.5246497453112156,0,0.0,0,Smac2D,f361af1bc209f2f1cf65e180d1ff7df5057f0f8586258360e1e5be6e8e298411,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,0,1,lower_left_diagonal,True,3.3377814842907765,1.9823505468039173,4.5246497453112156,1,0.003956382999604102
0.039,8.024450625692161,0.05637159829499239,0.027437249087080517,,0.3371444957417299,0.16464466339406925,0.1713976200830873,0,183,11.93742071881429,pstmo,0.05,168,b286d7b7eeb88f510a36952e6c7fb77decd0c8242b60157ade8c6c43ef20fab0,4.483406970850375,1,0.7660350404653318,0.7660350404653318,Smac2D,f361af1bc209f2f1cf65e180d1ff7df5057f0f8586258360e1e5be6e8e298411,91,114,91,"[[-5, -3], [-4.3, -2.81027], [-3.20015, -2.78202], [-2.86137, -2.63051], [-2, -0.5]]",87,0.075,0.0567345,0.15,0,5,0,4,"[{'index': 0, 'x': -4.3, 'y': -2.81027, 'turn_angle': -0.239013, 'incoming_length': 0.725257, 'outgoing_length': 1.10021, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0120079, 'trim_max': 0.180118, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.180118, 'selected_control_distance': 0.0593046, 'selected_control_fraction': 0.329254, 'selected_score': 0.20171}, {'index': 1, 'x': -3.20015, 'y': -2.78202, 'turn_angle': 0.394876, 'incoming_length': 1.10021, 'outgoing_length': 0.371113, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0200044, 'trim_max': 0.300067, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.395, 'selected_trim': 0.279062, 'selected_control_distance': 0.091515, 'selected_control_fraction': 0.327938, 'selected_score': 0.31109}, {'index': 2, 'x': -2.86137, 'y': -2.63051, 'turn_angle': 0.766035, 'incoming_length': 0.371113, 'outgoing_length': 2.29805, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.921068, 'trim_min': 0.0402916, 'trim_max': 0.371113, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0, 'selected_trim': 0, 'selected_control_distance': 0, 'selected_control_fraction': 0, 'selected_score': 0}]",3,30,120,none,2,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.48602, 'max_curvature_1pm': 0.86804, 'curvature_energy_1pm': 0.449391, 'pivot_rotation_rad': 0.766035, 'peak_proximity_cost': 253}",0.614641,87,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.46837, 'max_curvature_1pm': 0.248418, 'curvature_energy_1pm': 0.00308457, 'pivot_rotation_rad': 1.01583, 'peak_proximity_cost': 253}",0,0.610069,False,True,no_los_quality_not_worse,0.0396129,252,0.2564,168,0,1,87,"{'angular acceleration iteration did not converge': 3, 'shape_angular acceleration iteration did not converge': 10, 'shape_transition requires a reversing inner wheel': 8, 'transition requires a reversing inner wheel': 4}",0.0301303,joint_d_q,0.05,,102,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,0,1,lower_left_diagonal,True,0.4493905605818543,0.8680401592847367,4.48602038311372,2,0.04586238299998513
0.003,4.995680699264864,4.440892098500626e-16,4.991408376245742e-17,,0.4911094843595594,0.2474873771031409,0.2474873771031409,0,124,3.4302539800883625,raw,0.05,56,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,4.633588115546325,0,0.0,0,SmacHybrid,86a5c6a32e56c182c375b37330549743a1d5e441e60796274cc39a3fbc81987a,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,0,1,lower_left_diagonal,True,4.995680699264864,3.4302539800883625,4.633588115546325,1,0.0047718929999973625
0.042,1.442269290602674,0.2722282461413177,0.12992828610880366,,0.2964232372488599,0.1449222268733815,0.1449222268733815,0,167,1.6027835164541613,pstmo,0.05,161,bbaaf99a37a9712ade8fd3b819a81eebd883bd93bbafee2ea726ea4bcca82537,4.422332391358469,0,0.0,0,SmacHybrid,86a5c6a32e56c182c375b37330549743a1d5e441e60796274cc39a3fbc81987a,90,0,14,"[[-5, -3], [-2.7798, -2.59963], [-2, -0.5]]",3,0.075,0,0.15,0,3,0,0,"[{'index': 0, 'x': -2.7798, 'y': -2.59963, 'turn_angle': 1.03677, 'incoming_length': 2.25601, 'outgoing_length': 2.23976, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0570421, 'trim_max': 0.855632, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 0.7475, 'selected_trim': 0.42639, 'selected_control_distance': 0.133954, 'selected_control_fraction': 0.314158, 'selected_score': 0.656087}]",1,10,40,none,1,2,32,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.55289, 'max_curvature_1pm': 2.24288, 'curvature_energy_1pm': 2.14715, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 228}",0.577397,3,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.42233, 'max_curvature_1pm': 1.60278, 'curvature_energy_1pm': 1.44227, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",30,0.542193,True,True,los_quality_improvement,0.0435348,252,0.656087,161,0,0,56,"{'shape_angular acceleration iteration did not converge': 3, 'shape_swept_footprint': 11, 'shape_transition requires a reversing inner wheel': 6, 'swept_footprint': 5, 'transition requires a reversing inner wheel': 3}",0.010779,joint_d_q,0.05,,20,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,0,1,lower_left_diagonal,True,1.442269290602674,1.6027835164541613,4.422332391358469,1,0.0480059790006635
