algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,84.24691990058868,2.220446049250313e-16,3.4349331780431376e-17,,0.45833614915043486,0.16464466339406925,0.2146446641391273,0,343,28.879270465756857,raw,0.05,311,05afec10d3c2ff3c78196a7bbc648e441c0f6c4b10ab67aea805f3e435f73f22,7.875649677732762,0,0.0,0,NavFnAStar,c96d8379f3aeb1cf177584548c1c7e769f7df30a4958e3049851991ece954c67,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05afec10d3c2ff3c78196a7bbc648e441c0f6c4b10ab67aea805f3e435f73f22,0,1,cross_aisle_transfer,True,84.24691990058868,28.879270465756857,7.875649677732762,1,0.00838724799996271
0.093,1.538619843208248,0.38452294847265645,0.1652311513521619,,0.3492488022910583,0.1449222268733815,0.1449222268733815,0,342,1.2042822776738238,pstmo,0.05,335,fd34325c17633cd3073f20b8c8b5b126eb79942a23cc055ab38b276d92f90c73,7.4317328405826775,0,0.0,0,NavFnAStar,c96d8379f3aeb1cf177584548c1c7e769f7df30a4958e3049851991ece954c67,150,100,41,"[[-2, -2.8], [-1.51716, -0.70556], [1.72135, 1.14607], [2, 2.8]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -1.51716, 'y': -0.70556, 'turn_angle': -0.824827, 'incoming_length': 2.14938, 'outgoing_length': 3.73048, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0437503, 'trim_max': 0.656255, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.656255, 'selected_control_distance': 0.210274, 'selected_control_fraction': 0.320415, 'selected_score': 0.456}, {'index': 1, 'x': 1.72135, 'y': 1.14607, 'turn_angle': 0.884493, 'incoming_length': 3.73048, 'outgoing_length': 1.67723, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0473528, 'trim_max': 0.710292, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 0.9925, 'selected_trim': 0.469976, 'selected_control_distance': 0.164492, 'selected_control_fraction': 0.35, 'selected_score': 0.564111}]",2,20,80,none,2,3,288,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.71173, 'max_curvature_1pm': 3.19207, 'curvature_energy_1pm': 4.29002, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 202}",0.62234,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.43173, 'max_curvature_1pm': 1.20428, 'curvature_energy_1pm': 1.53862, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",285,0.536072,True,True,los_quality_improvement,0.0933152,252,0.510056,335,0,0,311,"{'shape_angular acceleration iteration did not converge': 3, 'shape_swept_footprint': 16, 'shape_transition requires a reversing inner wheel': 10, 'swept_footprint': 5, 'transition requires a reversing inner wheel': 4}",0.0246678,joint_d_q,0.05,,51,05afec10d3c2ff3c78196a7bbc648e441c0f6c4b10ab67aea805f3e435f73f22,0,1,cross_aisle_transfer,True,1.538619843208248,1.2042822776738238,7.4317328405826775,1,0.10487669099984487
0.003,52.666043764096905,2.220446049250313e-16,3.121773541233816e-17,,0.47992595897837464,0.16464466339406925,0.2146446641391273,0,332,13.16510215708896,raw,0.05,305,5c3c27c882642aa407d8b0c199a5609a6f0426a36597bd477de1765e5c78afb1,7.647300389169314,0,0.0,0,NavFnDijkstra,92f64f5b18a98f201e55e769c8eeda795775cb3ea34e9f1003cf979982c7b651,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c3c27c882642aa407d8b0c199a5609a6f0426a36597bd477de1765e5c78afb1,0,1,cross_aisle_transfer,True,52.666043764096905,13.16510215708896,7.647300389169314,1,0.007301526999981434
0.063,2.3319482333094284,0.13098865792384937,0.03842438365788245,,0.3473788709330354,0.1449222268733815,0.1449222268733815,0,310,2.776816551582245,pstmo,0.05,305,d5297431090d6be2db8cb66f4304baec11705cce371df17c528fc74143ab7994,7.479696961799825,0,0.0,0,NavFnDijkstra,92f64f5b18a98f201e55e769c8eeda795775cb3ea34e9f1003cf979982c7b651,151,126,88,"[[-2, -2.8], [-1.76942, -1.11784], [-1.51045, -0.856046], [1.67661, 1.02507], [2, 2.8]]",305,0.075,0.0646147,0.15,0,5,0,4,"[{'index': 0, 'x': -1.76942, 'y': -1.11784, 'turn_angle': -0.643746, 'incoming_length': 1.69789, 'outgoing_length': 0.368236, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.10426, 'trim_min': 0.0333469, 'trim_max': 0.368236, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.401277, 'selected_trim': 0.133814, 'selected_control_distance': 0.0434016, 'selected_control_fraction': 0.324343, 'selected_score': 0.628403}, {'index': 1, 'x': -1.51045, 'y': -0.856046, 'turn_angle': -0.257617, 'incoming_length': 0.368236, 'outgoing_length': 3.70081, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0129526, 'trim_max': 0.194288, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.36, 'selected_trim': 0.176155, 'selected_control_distance': 0.0579782, 'selected_control_fraction': 0.329132, 'selected_score': 0.243344}, {'index': 2, 'x': 1.67661, 'y': 1.02507, 'turn_angle': 0.857367, 'incoming_length': 3.70081, 'outgoing_length': 1.80415, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0457028, 'trim_max': 0.685543, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.685543, 'selected_control_distance': 0.219084, 'selected_control_fraction': 0.319578, 'selected_score': 0.462738}]",3,30,120,none,3,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.4797, 'max_curvature_1pm': 2.77682, 'curvature_energy_1pm': 2.33195, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.60663,305,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.49551, 'max_curvature_1pm': 2.48134e-13, 'curvature_energy_1pm': 4.69438e-26, 'pivot_rotation_rad': 1.63307, 'peak_proximity_cost': 253}",0,0.633617,False,True,no_los_quality_not_worse,0.0626284,252,0.444829,305,0,0,305,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 5, 'shape_transition requires a reversing inner wheel': 12, 'transition requires a reversing inner wheel': 5}",0.0399406,joint_d_q,0.05,,103,5c3c27c882642aa407d8b0c199a5609a6f0426a36597bd477de1765e5c78afb1,0,1,cross_aisle_transfer,True,2.3319482333094284,2.776816551582245,7.479696961799825,1,0.07409225900028105
0.003,23.59906382623194,2.220446049250313e-16,4.248168915151328e-17,,0.4858313156102255,0.1449222268733815,0.1764778602726078,0,300,10.56635122491502,raw,0.05,138,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,7.5479897866829075,0,0.0,0,ThetaStar,fb05dea419505c5e6927b89601a96b65ece25689a5b0c7c4bab5693e352192d8,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,0,1,cross_aisle_transfer,True,23.59906382623194,10.56635122491502,7.5479897866829075,1,0.006135174000519328
0.063,1.2833658409473723,0.10441076776289697,0.03654588946611074,,0.35420274875736235,0.1449222268733815,0.1449222268733815,0,390,0.8147963773861026,pstmo,0.05,384,83a4788e1d126a581f7bb4921b774e1f31c8e6556cd3e3359695648ff0b2cc42,7.412340443710255,0,0.0,0,ThetaStar,fb05dea419505c5e6927b89601a96b65ece25689a5b0c7c4bab5693e352192d8,150,300,118,"[[-2, -2.8], [-1.675, -1.075], [-0.975, -0.575], [0.525, 0.175], [1.725, 1.125], [2, 2.8]]",138,0.075,0.0677497,0.15,0,6,0,5,"[{'index': 0, 'x': -1.675, 'y': -1.075, 'turn_angle': -0.764324, 'incoming_length': 1.75535, 'outgoing_length': 0.860233, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0401922, 'trim_max': 0.602883, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.602883, 'selected_control_distance': 0.194045, 'selected_control_fraction': 0.321862, 'selected_score': 0.442928}, {'index': 1, 'x': -0.975, 'y': -0.575, 'turn_angle': -0.156602, 'incoming_length': 0.860233, 'outgoing_length': 1.67705, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00784614, 'trim_max': 0.117692, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.117692, 'selected_control_distance': 0.0388008, 'selected_control_fraction': 0.329681, 'selected_score': 0.14976}, {'index': 2, 'x': 0.525, 'y': 0.175, 'turn_angle': 0.205991, 'incoming_length': 1.67705, 'outgoing_length': 1.53052, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0103361, 'trim_max': 0.155042, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.155042, 'selected_control_distance': 0.0510781, 'selected_control_fraction': 0.329447, 'selected_score': 0.123509}, {'index': 3, 'x': 1.725, 'y': 1.125, 'turn_angle': 0.73843, 'incoming_length': 1.53052, 'outgoing_length': 1.69742, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.038696, 'trim_max': 0.580441, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.580441, 'selected_control_distance': 0.187157, 'selected_control_fraction': 0.322439, 'selected_score': 0.436514}]",4,40,160,none,4,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.41234, 'max_curvature_1pm': 0.814796, 'curvature_energy_1pm': 1.28337, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.517379,138,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.38186, 'max_curvature_1pm': 1.209, 'curvature_energy_1pm': 1.61308, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.545972,False,True,no_los_quality_not_worse,0.0606535,252,0.288178,384,0,0,138,"{'angular acceleration iteration did not converge': 3, 'shape_angular acceleration iteration did not converge': 8, 'shape_transition requires a reversing inner wheel': 14, 'transition requires a reversing inner wheel': 6}",0.0363402,joint_d_q,0.05,,137,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,0,1,cross_aisle_transfer,True,1.2833658409473723,0.8147963773861026,7.412340443710255,1,0.06970042900047702
0.003,5.382961679799618,2.220446049250313e-16,3.203432735084718e-17,,0.4010963990162556,0.2146446641391273,0.2146446641391273,0,272,2.2994144342154526,raw,0.05,137,cc0ecf0017a72da480d65110187e446c0d92de60b1d659107dd78c8d29474526,7.699847732625692,0,0.0,0,Smac2D,1965a41fa15696aeb49a2166c2d0c6c449b4d835e335955b70c1665f16d27353,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc0ecf0017a72da480d65110187e446c0d92de60b1d659107dd78c8d29474526,0,1,cross_aisle_transfer,True,5.382961679799618,2.2994144342154526,7.699847732625692,1,0.005473738000546291
0.096,1.8336641559383007,0.47510648901922936,0.1923357929206384,,0.31304424227197825,0.1449222268733815,0.1449222268733815,0,277,1.54822735453674,pstmo,0.05,272,3148cbc7c59cd424012188dcfdd4a5cae9b919bd140cc79ee9e5528194756d06,7.368319336997682,0,0.0,0,Smac2D,1965a41fa15696aeb49a2166c2d0c6c449b4d835e335955b70c1665f16d27353,149,100,28,"[[-2, -2.8], [-1.58862, -1], [1.6789, 1.15195], [2, 2.8]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -1.58862, 'y': -1, 'turn_angle': -0.763723, 'incoming_length': 1.84641, 'outgoing_length': 3.9125, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0401573, 'trim_max': 0.602359, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 1.045, 'selected_trim': 0.419643, 'selected_control_distance': 0.146875, 'selected_control_fraction': 0.35, 'selected_score': 0.523515}, {'index': 1, 'x': 1.6789, 'y': 1.15195, 'turn_angle': 0.795983, 'incoming_length': 3.9125, 'outgoing_length': 1.67903, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0420428, 'trim_max': 0.630641, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 0.7825, 'selected_trim': 0.328985, 'selected_control_distance': 0.105644, 'selected_control_fraction': 0.321123, 'selected_score': 0.596943}]",2,20,80,none,2,3,136,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.56848, 'max_curvature_1pm': 2.11352, 'curvature_energy_1pm': 3.40305, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 228}",0.606675,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.36832, 'max_curvature_1pm': 1.54823, 'curvature_energy_1pm': 1.83366, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",133,0.561189,True,True,los_quality_improvement,0.0948513,252,0.560229,272,0,0,137,"{'shape_angular acceleration iteration did not converge': 4, 'shape_swept_footprint': 26, 'shape_transition requires a reversing inner wheel': 10, 'swept_footprint': 8, 'transition requires a reversing inner wheel': 4}",0.027197,joint_d_q,0.05,,40,cc0ecf0017a72da480d65110187e446c0d92de60b1d659107dd78c8d29474526,0,1,cross_aisle_transfer,True,1.8336641559383007,1.54822735453674,7.368319336997682,1,0.10285569799998484
0.003,6.188961979405489,2.220446049250313e-16,3.7306121897701683e-17,,0.5090353919264113,0.2808724311428359,0.28480087705617874,0,195,3.4493510756782158,raw,0.05,90,e7949e24ca771d34c2ad531e06ebf5afcfd4d59fde6fa9b73b33fb952479fc10,7.7077211950650355,0,0.0,0,SmacHybrid,9326f39a9528070904c4223926923f296284640324a5be5b915f0d01c3369592,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7949e24ca771d34c2ad531e06ebf5afcfd4d59fde6fa9b73b33fb952479fc10,0,1,cross_aisle_transfer,True,6.188961979405489,3.4493510756782158,7.7077211950650355,1,0.006005633000313537
0.07500000000000001,1.2284734701454603,0.18108084887233603,0.09752244705046795,,0.32694887256827704,0.1449222268733815,0.1449222268733815,0,389,0.8154400697999636,pstmo,0.05,382,5d20fbbe6d119d5085f8bb76926d8b0f7e27490688dad8bd443872500bdc28af,7.414731753290655,0,0.0,0,SmacHybrid,9326f39a9528070904c4223926923f296284640324a5be5b915f0d01c3369592,150,100,57,"[[-2, -2.8], [-1.57197, -0.880599], [1.89578, 1.24431], [2, 2.8]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -1.57197, 'y': -0.880599, 'turn_angle': -0.801635, 'incoming_length': 1.96655, 'outgoing_length': 4.06701, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0423757, 'trim_max': 0.635636, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.635636, 'selected_control_distance': 0.204031, 'selected_control_fraction': 0.320987, 'selected_score': 0.451076}, {'index': 1, 'x': 1.89578, 'y': 1.24431, 'turn_angle': 0.954155, 'incoming_length': 4.06701, 'outgoing_length': 1.55918, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0516902, 'trim_max': 0.775353, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.775353, 'selected_control_distance': 0.245654, 'selected_control_fraction': 0.316829, 'selected_score': 0.481672}]",2,20,80,none,2,3,92,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.58554, 'max_curvature_1pm': 1.88555, 'curvature_energy_1pm': 2.20364, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.542115,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.41473, 'max_curvature_1pm': 0.81544, 'curvature_energy_1pm': 1.22847, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",89,0.510732,True,True,los_quality_improvement,0.0745657,252,0.466374,382,0,0,90,"{'shape_angular acceleration iteration did not converge': 3, 'shape_transition requires a reversing inner wheel': 11, 'transition requires a reversing inner wheel': 5}",0.0269057,joint_d_q,0.05,,66,e7949e24ca771d34c2ad531e06ebf5afcfd4d59fde6fa9b73b33fb952479fc10,0,1,cross_aisle_transfer,True,1.2284734701454603,0.8154400697999636,7.414731753290655,1,0.0852701909998359
