algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,125.5648674190683,4.440892098500626e-16,5.584491901795352e-17,,0.4665304849038798,0.16464466339406925,0.2146446641391273,0,587,22.23731861949807,raw,0.05,562,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,14.06990166378934,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,125.5648674190683,22.23731861949807,14.06990166378934,1,0.010993853000400122
0.07500000000000001,4.720486035105591,0.07625892273470164,0.021593829798465088,,0.4535725274873938,0.18825146149581692,0.18825146149581692,0,456,4.1576817069152465,pstmo,0.05,422,318bd089280844d5d7a19489727e57546c2ba91b3fe4654d71c26bddcc5d8b9d,13.939303824798657,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,280,254,142,"[[-4.5, -2.4], [-3.55104, -3.15507], [-3.21443, -3.28151], [3.40149, -3.21752], [3.75018, -2.74962], [4.27882, 1.4094], [4.5, 2.4]]",562,0.075,0.0713415,0.15,0,7,0,6,"[{'index': 0, 'x': -3.55104, 'y': -3.15507, 'turn_angle': 0.312774, 'incoming_length': 1.21271, 'outgoing_length': 0.359572, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0157675, 'trim_max': 0.236512, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.43, 'selected_trim': 0.225475, 'selected_control_distance': 0.074117, 'selected_control_fraction': 0.328716, 'selected_score': 0.247488}, {'index': 1, 'x': -3.21443, 'y': -3.28151, 'turn_angle': 0.368995, 'incoming_length': 0.359572, 'outgoing_length': 6.61623, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.018662, 'trim_max': 0.27993, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.45, 'selected_trim': 0.083979, 'selected_control_distance': 0.0275622, 'selected_control_fraction': 0.328204, 'selected_score': 0.470462}, {'index': 2, 'x': 3.40149, 'y': -3.21752, 'turn_angle': 0.920681, 'incoming_length': 6.61623, 'outgoing_length': 0.583538, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.17679, 'trim_min': 0.0495873, 'trim_max': 0.583538, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.261518, 'selected_trim': 0.12968, 'selected_control_distance': 0.0412155, 'selected_control_fraction': 0.317824, 'selected_score': 0.788719}, {'index': 3, 'x': 3.75018, 'y': -2.74962, 'turn_angle': 0.514016, 'incoming_length': 0.583538, 'outgoing_length': 4.19248, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.026282, 'trim_max': 0.394231, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.394231, 'selected_control_distance': 0.1287, 'selected_control_fraction': 0.326459, 'selected_score': 0.36161}, {'index': 4, 'x': 4.27882, 'y': 1.4094, 'turn_angle': -0.0932515, 'incoming_length': 4.19248, 'outgoing_length': 1.015, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00466596, 'trim_max': 0.0699894, 'trim_evaluations': 11, 'evaluations': 22, 'safe_feasible': 10, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.0699894, 'selected_control_distance': 0.0230886, 'selected_control_fraction': 0.329887, 'selected_score': 0.0664502}]",5,50,182,none,5,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.9393, 'max_curvature_1pm': 4.15768, 'curvature_energy_1pm': 4.72049, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 221}",0.654625,562,"{'valid': True, 'safe': True, 'raw_fallback': True, 'length_m': 14.0699, 'max_curvature_1pm': 22.2373, 'curvature_energy_1pm': 125.565, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 251}",0,1.33049,False,True,no_los_quality_not_worse,0.0747966,252,0.386946,422,0,0,562,"{'angular acceleration iteration did not converge': 2, 'shape_angular acceleration iteration did not converge': 11, 'shape_transition requires a reversing inner wheel': 17, 'transition requires a reversing inner wheel': 8}",0.0407226,joint_d_q,0.05,,154,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,4.720486035105591,4.1576817069152465,13.939303824798657,1,0.08571935600048164
0.003,30.538653349676423,4.440892098500626e-16,3.6213987092314623e-17,,0.4149689556968361,0.17677669793081488,0.2574601203080526,0,584,11.406812986899268,raw,0.05,562,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,14.033639667604042,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,30.538653349676423,11.406812986899268,14.033639667604042,1,0.009987956000259146
0.084,4.537999410835163,0.06538318438081035,0.020510901281727324,,0.3863010723382428,0.23390290478282266,0.2474873771031409,0,483,4.065507030327141,pstmo,0.05,468,e33af03ef66b0fd8f1ccbe28dbaef4907ba3d260259196ea6114e4e49f30c5ca,13.948205566540183,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,280,281,187,"[[-4.5, -2.4], [-3.9008, -0.716392], [-3.85543, 2.60814], [-3.57201, 3.07523], [-3.16886, 3.18166], [3.19879, 3.18264], [3.53846, 3.11134], [4.5, 2.4]]",562,0.075,0.0651717,0.15,0,8,0,7,"[{'index': 0, 'x': -3.9008, 'y': -0.716392, 'turn_angle': 0.328272, 'incoming_length': 1.78706, 'outgoing_length': 3.32484, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0165626, 'trim_max': 0.248439, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.248439, 'selected_control_distance': 0.0816331, 'selected_control_fraction': 0.328583, 'selected_score': 0.210345}, {'index': 1, 'x': -3.85543, 'y': 2.60814, 'turn_angle': -0.531733, 'incoming_length': 3.32484, 'outgoing_length': 0.546346, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0272313, 'trim_max': 0.40847, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.395, 'selected_trim': 0.379877, 'selected_control_distance': 0.123917, 'selected_control_fraction': 0.326202, 'selected_score': 0.344148}, {'index': 2, 'x': -3.57201, 'y': 3.07523, 'turn_angle': -0.767313, 'incoming_length': 0.546346, 'outgoing_length': 0.416968, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.03297, 'trim_min': 0.0403659, 'trim_max': 0.416968, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.286594, 'selected_trim': 0.115686, 'selected_control_distance': 0.0404902, 'selected_control_fraction': 0.35, 'selected_score': 0.732735}, {'index': 3, 'x': -3.16886, 'y': 3.18166, 'turn_angle': -0.257947, 'incoming_length': 0.416968, 'outgoing_length': 6.36765, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0129694, 'trim_max': 0.19454, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.19454, 'selected_control_distance': 0.0640291, 'selected_control_fraction': 0.32913, 'selected_score': 0.248877}, {'index': 4, 'x': 3.19879, 'y': 3.18264, 'turn_angle': -0.207072, 'incoming_length': 6.36765, 'outgoing_length': 0.347073, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0103908, 'trim_max': 0.155862, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.155862, 'selected_control_distance': 0.0513472, 'selected_control_fraction': 0.329441, 'selected_score': 0.219866}, {'index': 5, 'x': 3.53846, 'y': 3.11134, 'turn_angle': -0.430017, 'incoming_length': 0.347073, 'outgoing_length': 1.19606, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0218384, 'trim_max': 0.327577, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.415, 'selected_trim': 0.0906295, 'selected_control_distance': 0.0296853, 'selected_control_fraction': 0.327546, 'selected_score': 0.543681}]",6,60,240,none,6,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.9482, 'max_curvature_1pm': 4.06551, 'curvature_energy_1pm': 4.538, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 173}",0.624005,562,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.6982, 'max_curvature_1pm': 3.28343, 'curvature_energy_1pm': 4.22977, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.653064,False,True,no_los_quality_not_worse,0.0849437,252,0.383276,468,0,0,562,"{'angular acceleration iteration did not converge': 5, 'shape_angular acceleration iteration did not converge': 17, 'shape_transition requires a reversing inner wheel': 16, 'transition requires a reversing inner wheel': 8}",0.0597627,joint_d_q,0.05,,206,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,4.537999410835163,4.065507030327141,13.948205566540183,1,0.09611165299975255
0.009000000000000001,25.664991235682187,1.1102230246251565e-16,1.2523007787387207e-17,,0.4974294375926615,0.1449222268733815,0.2146446641391273,0,567,13.67248242051459,raw,0.05,274,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,13.919838025877462,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,25.664991235682187,13.67248242051459,13.919838025877462,1,0.011850615999719594
0.081,20.92392902112902,0.1601584436588672,0.0689589472176477,,0.4684933160306279,0.16464466339406925,0.17079994476667312,0,337,17.533007155069996,pstmo,0.05,283,922a38cdaa5590cde75a3dedd5f542df0445ccd897d18497b637c392812a2f91,13.8134667490577,3,1.1895046051800986,1.9828967294375557,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,278,200,77,"[[-4.5, -2.4], [-3.22772, -3.15788], [3.525, -3.075], [3.94925, -1.97799], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.22772, 'y': -3.15788, 'turn_angle': 0.549515, 'incoming_length': 1.4809, 'outgoing_length': 6.75323, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0281887, 'trim_max': 0.42283, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0, 'selected_trim': 0, 'selected_control_distance': 0, 'selected_control_fraction': 0, 'selected_score': 0}, {'index': 1, 'x': 3.525, 'y': -3.075, 'turn_angle': 1.1895, 'incoming_length': 6.75323, 'outgoing_length': 1.17619, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.067646, 'trim_max': 1.01469, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 9, 'states': 10, 'selected_radius': 0, 'selected_trim': 0, 'selected_control_distance': 0, 'selected_control_fraction': 0, 'selected_score': 0}, {'index': 2, 'x': 3.94925, 'y': -1.97799, 'turn_angle': 0.243877, 'incoming_length': 1.17619, 'outgoing_length': 4.41249, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0122547, 'trim_max': 0.18382, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0, 'selected_trim': 0, 'selected_control_distance': 0, 'selected_control_fraction': 0, 'selected_score': 0}]",3,30,120,all_pivot,0,4,444,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8836, 'max_curvature_1pm': 3.99069, 'curvature_energy_1pm': 4.82543, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.629071,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8228, 'max_curvature_1pm': 1.86504e-12, 'curvature_energy_1pm': 5.46561e-25, 'pivot_rotation_rad': 1.9829, 'peak_proximity_cost': 251}",440,0.336977,True,True,los_quality_improvement,0.0806835,252,0,283,0,3,274,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 4, 'shape_swept_footprint': 19, 'shape_transition requires a reversing inner wheel': 13, 'swept_footprint': 8, 'transition requires a reversing inner wheel': 6}",0.0326437,joint_d_q,0.05,unsafe_sweep_269_270,84,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,5.387282881367665e-25,1.8650424991519865e-12,13.822818424354569,4,0.09041765299934923
0.009000000000000001,4.535312068225989,4.440892098500626e-16,4.9569171808876124e-17,,0.35803324055731967,0.17677669793081488,0.2146446641391273,0,533,2.377645564495028,raw,0.05,271,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,13.977148192216665,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,4.535312068225989,2.377645564495028,13.977148192216665,1,0.015808524000021862
0.084,3.883381705709687,0.06642803767045782,0.01780775293320715,,0.3397480934203355,0.17079994476667312,0.18825146149581692,0,483,2.9687192349469718,pstmo,0.05,466,888a6c546ca9e2c0871aa5c05e418e5eb72ea92ece98dda03ea578184ee443d3,13.908944592852789,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,280,386,212,"[[-4.5, -2.4], [-3.82081, -1.35], [-3.79351, 2.49996], [-3.69896, 2.84641], [-3.49641, 3.04896], [-2.99999, 3.14886], [3.1, 3.14351], [3.45, 3.04921], [4.5, 2.4]]",271,0.075,0.0665456,0.15,0,9,0,8,"[{'index': 0, 'x': -3.82081, 'y': -1.35, 'turn_angle': 0.56706, 'incoming_length': 1.25052, 'outgoing_length': 3.85006, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.029138, 'trim_max': 0.437071, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.437071, 'selected_control_distance': 0.142336, 'selected_control_fraction': 0.32566, 'selected_score': 0.308407}, {'index': 1, 'x': -3.79351, 'y': 2.49996, 'turn_angle': -0.259334, 'incoming_length': 3.85006, 'outgoing_length': 0.359123, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0130399, 'trim_max': 0.195598, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.43, 'selected_trim': 0.18647, 'selected_control_distance': 0.0613711, 'selected_control_fraction': 0.32912, 'selected_score': 0.257693}, {'index': 2, 'x': -3.69896, 'y': 2.84641, 'turn_angle': -0.518972, 'incoming_length': 0.359123, 'outgoing_length': 0.286442, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.07899, 'trim_min': 0.0265471, 'trim_max': 0.286442, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.442648, 'selected_trim': 0.11751, 'selected_control_distance': 0.038354, 'selected_control_fraction': 0.326388, 'selected_score': 0.592541}, {'index': 3, 'x': -3.49641, 'y': 3.04896, 'turn_angle': -0.586803, 'incoming_length': 0.286442, 'outgoing_length': 0.506371, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.948104, 'trim_min': 0.0302121, 'trim_max': 0.286442, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.354431, 'selected_trim': 0.107081, 'selected_control_distance': 0.0348377, 'selected_control_fraction': 0.32534, 'selected_score': 0.693077}, {'index': 4, 'x': -2.99999, 'y': 3.14886, 'turn_angle': -0.199472, 'incoming_length': 0.506371, 'outgoing_length': 6.1, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0100068, 'trim_max': 0.150102, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.36, 'selected_trim': 0.136093, 'selected_control_distance': 0.04484, 'selected_control_fraction': 0.329481, 'selected_score': 0.235381}, {'index': 5, 'x': 3.1, 'y': 3.14351, 'turn_angle': -0.262296, 'incoming_length': 6.1, 'outgoing_length': 0.36248, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0131905, 'trim_max': 0.197858, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.8, 'selected_trim': 0.105524, 'selected_control_distance': 0.034728, 'selected_control_fraction': 0.3291, 'selected_score': 0.365171}, {'index': 6, 'x': 3.45, 'y': 3.04921, 'turn_angle': -0.290593, 'incoming_length': 0.36248, 'outgoing_length': 1.2345, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0146328, 'trim_max': 0.219492, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.395, 'selected_trim': 0.204127, 'selected_control_distance': 0.0671361, 'selected_control_fraction': 0.328893, 'selected_score': 0.30383}]",7,70,280,none,7,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.9089, 'max_curvature_1pm': 2.96872, 'curvature_energy_1pm': 3.88338, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 228}",0.631906,271,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.711, 'max_curvature_1pm': 3.12722, 'curvature_energy_1pm': 3.81183, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.645621,False,True,no_los_quality_not_worse,0.0842014,252,0.393729,466,0,0,271,"{'angular acceleration iteration did not converge': 4, 'shape_angular acceleration iteration did not converge': 12, 'shape_transition requires a reversing inner wheel': 21, 'transition requires a reversing inner wheel': 10}",0.0553026,joint_d_q,0.05,,247,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,3.883381705709687,2.9687192349469718,13.908944592852789,1,0.09494841400010046
0.009000000000000001,9.499945297408113,4.440892098500626e-16,4.716307709341703e-17,,0.47836007011193754,0.21959563989254183,0.25619225950049973,0,334,3.503879151970223,raw,0.05,159,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,14.104165262679045,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,9.499945297408113,3.503879151970223,14.104165262679045,1,0.011891745999491832
0.099,2.626361268007423,0.3694256178255038,0.12125715315312473,,0.3579947251921106,0.1449222268733815,0.16464466339406925,0,428,2.0035729006794374,pstmo,0.05,415,706fe47e0a6628472a95403fb1ca0f275745baee9c96677c8573ae28ddbf4248,13.719857887680835,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,276,200,82,"[[-4.5, -2.4], [-3.65862, 2.98309], [-2.95995, 3.13762], [3.58782, 3.06623], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.65862, 'y': 2.98309, 'turn_angle': -1.19808, 'incoming_length': 5.44845, 'outgoing_length': 0.715557, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.04809, 'trim_min': 0.0682727, 'trim_max': 0.715557, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 0.64515, 'selected_trim': 0.440461, 'selected_control_distance': 0.154161, 'selected_control_fraction': 0.35, 'selected_score': 0.72662}, {'index': 1, 'x': -2.95995, 'y': 3.13762, 'turn_angle': -0.228576, 'incoming_length': 0.715557, 'outgoing_length': 6.54816, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0114788, 'trim_max': 0.172183, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.172183, 'selected_control_distance': 0.0567028, 'selected_control_fraction': 0.329318, 'selected_score': 0.283527}, {'index': 2, 'x': 3.58782, 'y': 3.06623, 'turn_angle': -0.619917, 'incoming_length': 6.54816, 'outgoing_length': 1.12957, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0320282, 'trim_max': 0.480423, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.480423, 'selected_control_distance': 0.156028, 'selected_control_fraction': 0.324773, 'selected_score': 0.408559}]",3,30,120,none,3,4,207,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 14.0032, 'max_curvature_1pm': 2.85352, 'curvature_energy_1pm': 5.62973, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 202}",0.632995,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7199, 'max_curvature_1pm': 2.00357, 'curvature_energy_1pm': 2.62636, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",203,0.600206,True,True,los_quality_improvement,0.0991691,252,0.472902,415,0,0,159,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 3, 'shape_swept_footprint': 14, 'shape_transition requires a reversing inner wheel': 12, 'swept_footprint': 5, 'transition requires a reversing inner wheel': 5}",0.0252141,joint_d_q,0.05,,91,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,2.626361268007423,2.0035729006794374,13.719857887680835,1,0.10938701200029755
