algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,1380.4414065983144,4.440892098500626e-16,7.489369501106812e-17,,0.4882195072777937,0.1449222268733815,0.1974890824209756,0,588,376.42446420677703,raw,0.05,576,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,14.076386559987759,0,0.0,0,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,1380.4414065983144,376.42446420677703,14.076386559987759,1,0.012352957999610226
0.309,8.074610603132149,0.0625618842116981,0.028284241470378214,,0.5267558796590467,0.16464466339406925,0.17865312729478788,0,770,3.954822371570304,pstmo,0.05,758,940c0697c552bca30bd529f70400d918d18fd41ad0c4d8d97a7597049abb5552,13.804988571336207,0,0.0,0,NavFnAStar,706f4cd76b8da28bd3bd6f925dfa686e10a85b49594e3b3514616dc760c63db4,278,471,332,"[[-5, 0], [-4.60083, 0.673261], [-4.35235, 2.19445], [-3.81513, 3.10731], [-3.45247, 3.41949], [-2.45376, 3.447], [-2.15922, 3.32627], [1.57236, 3.37014], [2.69731, 2.38221], [3.07093, 2.37558], [3.56607, 2.14558], [4.10138, 1.17973], [5, 0]]",576,0.075,0.0728691,0.15,0,13,0,12,"[{'index': 0, 'x': -4.60083, 'y': 0.673261, 'turn_angle': 0.373255, 'incoming_length': 0.782698, 'outgoing_length': 1.54135, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.105918, 'equivalent_radius_max': 4.1451, 'trim_min': 0.02, 'trim_max': 0.782698, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 4.1451, 'selected_trim': 0.782698, 'selected_control_distance': 0.256851, 'selected_control_fraction': 0.328161, 'selected_score': 0.0762954}, {'index': 1, 'x': -4.35235, 'y': 2.19445, 'turn_angle': -0.370002, 'incoming_length': 1.54135, 'outgoing_length': 1.0592, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.106871, 'equivalent_radius_max': 5.65992, 'trim_min': 0.02, 'trim_max': 1.0592, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 3.4387, 'selected_trim': 0.643522, 'selected_control_distance': 0.2112, 'selected_control_fraction': 0.328194, 'selected_score': 0.0899902}, {'index': 2, 'x': -3.81513, 'y': 3.10731, 'turn_angle': -0.328143, 'incoming_length': 1.0592, 'outgoing_length': 0.478516, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.120802, 'equivalent_radius_max': 2.89029, 'trim_min': 0.02, 'trim_max': 0.478516, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.6747, 'selected_trim': 0.111703, 'selected_control_distance': 0.036704, 'selected_control_fraction': 0.328585, 'selected_score': 0.409229}, {'index': 3, 'x': -3.45247, 'y': 3.41949, 'turn_angle': -0.683196, 'incoming_length': 0.478516, 'outgoing_length': 0.999092, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0562531, 'equivalent_radius_max': 1.3459, 'trim_min': 0.02, 'trim_max': 0.478516, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.572112, 'selected_trim': 0.203406, 'selected_control_distance': 0.06582, 'selected_control_fraction': 0.323589, 'selected_score': 0.592415}, {'index': 4, 'x': -2.45376, 'y': 3.447, 'turn_angle': -0.416525, 'incoming_length': 0.999092, 'outgoing_length': 0.31832, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0946402, 'equivalent_radius_max': 1.50629, 'trim_min': 0.02, 'trim_max': 0.31832, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.412262, 'selected_trim': 0.0871221, 'selected_control_distance': 0.02855, 'selected_control_fraction': 0.327701, 'selected_score': 0.557557}, {'index': 5, 'x': -2.15922, 'y': 3.32627, 'turn_angle': 0.400742, 'incoming_length': 0.31832, 'outgoing_length': 3.73183, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0984754, 'equivalent_radius_max': 1.56734, 'trim_min': 0.02, 'trim_max': 0.31832, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.832906, 'selected_trim': 0.16916, 'selected_control_distance': 0.0554634, 'selected_control_fraction': 0.327875, 'selected_score': 0.382092}, {'index': 6, 'x': 1.57236, 'y': 3.37014, 'turn_angle': -0.732388, 'incoming_length': 3.73183, 'outgoing_length': 1.49717, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0521525, 'equivalent_radius_max': 3.90406, 'trim_min': 0.02, 'trim_max': 1.49717, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.822533, 'selected_trim': 0.315434, 'selected_control_distance': 0.10175, 'selected_control_fraction': 0.32257, 'selected_score': 0.554937}, {'index': 7, 'x': 2.69731, 'y': 2.38221, 'turn_angle': 0.702869, 'incoming_length': 1.49717, 'outgoing_length': 0.373673, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0545472, 'equivalent_radius_max': 1.01914, 'trim_min': 0.02, 'trim_max': 0.373673, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.295695, 'selected_trim': 0.108418, 'selected_control_distance': 0.0379464, 'selected_control_fraction': 0.35, 'selected_score': 0.675228}, {'index': 8, 'x': 3.07093, 'y': 2.37558, 'turn_angle': -0.417087, 'incoming_length': 0.373673, 'outgoing_length': 0.545953, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0945088, 'equivalent_radius_max': 1.76577, 'trim_min': 0.02, 'trim_max': 0.373673, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.67945, 'selected_trim': 0.143785, 'selected_control_distance': 0.0471177, 'selected_control_fraction': 0.327694, 'selected_score': 0.431067}, {'index': 9, 'x': 3.56607, 'y': 2.14558, 'turn_angle': -0.629848, 'incoming_length': 0.545953, 'outgoing_length': 1.10427, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0613939, 'equivalent_radius_max': 1.67591, 'trim_min': 0.02, 'trim_max': 0.545953, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.7072, 'selected_trim': 0.230381, 'selected_control_distance': 0.0747809, 'selected_control_fraction': 0.324597, 'selected_score': 0.54463}, {'index': 10, 'x': 4.10138, 'y': 1.17973, 'turn_angle': 0.144859, 'incoming_length': 1.10427, 'outgoing_length': 1.483, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.275648, 'equivalent_radius_max': 15.2196, 'trim_min': 0.02, 'trim_max': 1.10427, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 2.33044, 'selected_trim': 0.169088, 'selected_control_distance': 0.0591807, 'selected_control_fraction': 0.35, 'selected_score': 0.065715}]",11,110,440,none,11,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.805, 'max_curvature_1pm': 3.95482, 'curvature_energy_1pm': 8.07461, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 228}",0.673041,576,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.805, 'max_curvature_1pm': 3.95482, 'curvature_energy_1pm': 8.07461, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 228}",0,0.673041,False,True,no_los_quality_not_worse,0.310332,252,0.398105,758,0,0,576,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 10, 'shape_swept_footprint': 5, 'shape_transition requires a reversing inner wheel': 42, 'transition requires a reversing inner wheel': 19}",0.151507,joint_d_q,0.05,,direct_metric,383,640caf9f72bc95463c31803529c2feda253fea40975010fa97f93f7eb95236db,0,1,serpentine_west_east,True,8.074610603132149,3.954822371570304,13.804988571336207,1,0.32554018199880375
0.003,63.48283544500147,4.440892098500626e-16,7.710509032335408e-17,,0.48779401611980716,0.1449222268733815,0.2146446641391273,0,618,12.34977158661195,raw,0.05,557,f151b12372f6cea9f1662b92a6df24b9b12738e431b8889702e1cd3222ca5857,13.959638583794742,0,0.0,0,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f151b12372f6cea9f1662b92a6df24b9b12738e431b8889702e1cd3222ca5857,0,1,serpentine_east_west,True,63.48283544500147,12.34977158661195,13.959638583794742,1,0.010858264999114908
0.168,2.735241021572071,0.2052307528429191,0.08525511204659367,,0.3668023166509132,0.1449222268733815,0.1449222268733815,0,461,2.154507041701699,pstmo,0.05,447,1f5023089f1e39111a4e18f681acf36aeb73c54c47e67675dade159024a9296a,13.580364221627146,0,0.0,0,NavFnAStar,6f1b40571faf83b43e80b36513c1a4453893c3a2a85f79fac1ba4e54a553e2b9,273,200,43,"[[5, 0], [3.39216, 2.2554], [1.30284, 3.40639], [-3.63445, 3.33142], [-5, 0]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': 3.39216, 'y': 2.2554, 'turn_angle': 0.447949, 'incoming_length': 2.76984, 'outgoing_length': 2.38538, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0877978, 'equivalent_radius_max': 8.77978, 'trim_min': 0.02, 'trim_max': 2, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 2.23363, 'selected_trim': 0.508813, 'selected_control_distance': 0.178084, 'selected_control_fraction': 0.35, 'selected_score': 0.302558}, {'index': 1, 'x': 1.30284, 'y': 3.40639, 'turn_angle': 0.518712, 'incoming_length': 2.38538, 'outgoing_length': 4.93786, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0753773, 'equivalent_radius_max': 7.53773, 'trim_min': 0.02, 'trim_max': 2, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 1.54453, 'selected_trim': 0.409813, 'selected_control_distance': 0.133759, 'selected_control_fraction': 0.326392, 'selected_score': 0.376222}, {'index': 2, 'x': -3.63445, 'y': 3.33142, 'turn_angle': 1.1666, 'incoming_length': 4.93786, 'outgoing_length': 3.60043, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0303079, 'equivalent_radius_max': 3.03079, 'trim_min': 0.02, 'trim_max': 2, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 9, 'states': 10, 'selected_radius': 0.555392, 'selected_trim': 0.3665, 'selected_control_distance': 0.113359, 'selected_control_fraction': 0.3093, 'selected_score': 0.74336}]",3,30,120,none,3,4,937,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7971, 'max_curvature_1pm': 4.0615, 'curvature_energy_1pm': 8.20498, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 214}",0.672722,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.5804, 'max_curvature_1pm': 2.15451, 'curvature_energy_1pm': 2.73524, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",933,0.60593,True,True,los_quality_improvement,0.169882,252,0.474046,447,0,0,557,"{'shape_angular acceleration iteration did not converge': 1, 'shape_swept_footprint': 48, 'shape_transition requires a reversing inner wheel': 19, 'swept_footprint': 18, 'transition requires a reversing inner wheel': 9}",0.0533894,joint_d_q,0.05,,direct_metric,52,f151b12372f6cea9f1662b92a6df24b9b12738e431b8889702e1cd3222ca5857,0,1,serpentine_east_west,True,2.735241021572071,2.154507041701699,13.580364221627146,1,0.18201729100110242
0.0,1.151078408615801e-11,0.0,0.0,,0.6943895154234107,0.6146446700995918,0.6646446708446498,0,257,1.072883613062502e-05,raw,0.05,222,c2163693ef14fd5091f65b9ac815fa774c9b97d81b860d1a15719257a12f3794,5.599999999999988,0,0.0,0,NavFnAStar,fd52f799bb750e6098049870c73bd1b26dd1dc7d8779f9718cafd7e4239e0573,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c2163693ef14fd5091f65b9ac815fa774c9b97d81b860d1a15719257a12f3794,0,1,left_vertical_aisle,True,1.151078408615801e-11,1.072883613062502e-05,5.599999999999988,1,0.004212681998978951
0.003,0.0,2.6822090326561465e-08,2.658366692793014e-08,,0.7315271184306084,0.7146446715897079,0.7146446715897079,0,156,0.0,pstmo,0.05,113,9a33cbf9943c7c177de49707ea2410de96bf9d85128fe738a2fba5660256dcc8,5.599999999999988,0,0.0,0,NavFnAStar,fd52f799bb750e6098049870c73bd1b26dd1dc7d8779f9718cafd7e4239e0573,113,0,0,"[[-4.2, -2.8], [-4.2, 2.8]]",222,0.075,2.68221e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 5.6, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,222,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 5.6, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.00125478,252,0,113,0,0,222,{},0.000372607,joint_d_q,0.05,,direct_metric,0,c2163693ef14fd5091f65b9ac815fa774c9b97d81b860d1a15719257a12f3794,0,1,left_vertical_aisle,True,0.0,0.0,5.599999999999988,1,0.005660101000103168
0.0,5.6843329075424665e-11,3.469446951953614e-18,4.595394748983253e-19,,0.4591274264028941,0.41464466711935954,0.41464466711935954,0,145,2.384185791016065e-05,raw,0.05,110,ecfc9187ec36ff6588efa48aed337399ff524757199691dd22cd7efd673d4992,2.799999999999998,0,0.0,0,NavFnAStar,1b2533a7eae0e0a9ee091b7958e42080e1362e833fc980c95e5a451a72d7ed29,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecfc9187ec36ff6588efa48aed337399ff524757199691dd22cd7efd673d4992,0,1,inner_vertical_aisle,True,5.6843329075424665e-11,2.384185791016065e-05,2.799999999999998,1,0.003031050000572577
0.0,0.0,5.960464477539063e-08,5.854961110069677e-08,,0.5146446686094758,0.5146446686094757,0.5146446686094757,0,89,0.0,pstmo,0.05,57,eeb299c7c3a3a8b6bbe24487f84c715d5debfa8d7c3b0aca35949b011446d90f,2.799999999999998,0,0.0,0,NavFnAStar,1b2533a7eae0e0a9ee091b7958e42080e1362e833fc980c95e5a451a72d7ed29,57,0,0,"[[-2, -1.4], [-2, 1.4]]",110,0.075,5.96046e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 2.8, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,110,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 2.8, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.000744964,252,0,57,0,0,110,{},0.000219967,joint_d_q,0.05,,direct_metric,0,ecfc9187ec36ff6588efa48aed337399ff524757199691dd22cd7efd673d4992,0,1,inner_vertical_aisle,True,0.0,0.0,2.799999999999998,1,0.0032832649994816165
0.0,323.50936206908784,4.440892098500626e-16,6.787048184109659e-17,,0.5239502513119104,0.2146446641391273,0.2146446641391273,0,277,30.844680330639324,raw,0.05,256,2bd4d608e674c5fcf4d9650696cf8dc603c760b7d9cb087aa62702255c8072ad,7.132247455967307,0,0.0,0,NavFnAStar,c9a3ddda49b45f2286a67462e7fbf0ab2e8023c1083773f695946e4947d509e6,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd4d608e674c5fcf4d9650696cf8dc603c760b7d9cb087aa62702255c8072ad,0,1,bottom_alternating_cross,True,323.50936206908784,30.844680330639324,7.132247455967307,1,0.004841932999624987
0.096,0.17236240380110554,0.393374254498786,0.16876669420840015,,0.3787912864921,0.16464466339406925,0.16464466339406925,0,281,0.36046655496388297,pstmo,0.05,278,40b45698ade3f353be2ba9b26f699d7ee015527cfa4cc8393d855ffe0da3468c,6.691388312298657,0,0.0,0,NavFnAStar,c9a3ddda49b45f2286a67462e7fbf0ab2e8023c1083773f695946e4947d509e6,135,0,13,"[[-4.5, -2.6], [-0.904144, -3.46228], [2, -2.6]]",3,0.075,0,0.15,0,3,0,0,"[{'index': 0, 'x': -0.904144, 'y': -3.46228, 'turn_angle': 0.523978, 'incoming_length': 3.6978, 'outgoing_length': 3.02945, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0745845, 'equivalent_radius_max': 7.45845, 'trim_min': 0.02, 'trim_max': 2, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 10, 'states': 10, 'selected_radius': 3.25888, 'selected_trim': 0.873875, 'selected_control_distance': 0.305856, 'selected_control_fraction': 0.35, 'selected_score': 0.274017}]",1,10,40,none,1,2,106,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6.91605, 'max_curvature_1pm': 4.2218, 'curvature_energy_1pm': 8.96057, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 228}",0.68142,3,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6.69139, 'max_curvature_1pm': 0.360467, 'curvature_energy_1pm': 0.172362, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",104,0.351184,True,True,los_quality_improvement,0.0948671,252,0.274017,278,0,0,256,"{'shape_swept_footprint': 17, 'shape_transition requires a reversing inner wheel': 6, 'swept_footprint': 7, 'transition requires a reversing inner wheel': 3}",0.0142463,joint_d_q,0.05,,direct_metric,17,2bd4d608e674c5fcf4d9650696cf8dc603c760b7d9cb087aa62702255c8072ad,0,1,bottom_alternating_cross,True,0.17236240380110554,0.36046655496388297,6.691388312298657,1,0.10388981100004457
