algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,110.30270556220646,2.220446049250313e-16,4.262319029403685e-17,,0.6435084442854118,0.23390290478282266,0.27482761130179756,0,411,24.058960877280523,raw,0.05,404,84f39e7000bf7fa09cd3b5bfe09b577de0cba590cb985cad49ebca6618817e61,10.387657362825273,0,0.0,0,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84f39e7000bf7fa09cd3b5bfe09b577de0cba590cb985cad49ebca6618817e61,0,1,west_east_center,True,110.30270556220646,24.058960877280523,10.387657362825273,1,0.01048137599900656
0.126,1.1667820526617392,0.1107431217686595,0.037089588488366604,,0.5440660508274564,0.21959563989254183,0.23390290478282266,0,671,2.333318681495625,pstmo,0.05,666,a851f54e4774ceefee72263b87e07636be20ec3096c4ac9c86cf9a02a5634da0,10.227666940952632,0,0.0,0,NavFnAStar,3707b0084d3e6b8be9325ee7e1a0612564981e0629cc24e080cd9bec58723ed6,206,158,130,"[[-5, 0], [-0.823487, 0.535851], [0.469164, 0.432497], [1.97725, -0.327349], [4.45, -0.3], [5, 0]]",404,0.075,0.0624366,0.15,0,6,0,5,"[{'index': 0, 'x': -0.823487, 'y': 0.535851, 'turn_angle': -0.207389, 'incoming_length': 4.21075, 'outgoing_length': 1.29678, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.192182, 'equivalent_radius_max': 12.4609, 'trim_min': 0.02, 'trim_max': 1.29678, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 10.6206, 'selected_trim': 1.10526, 'selected_control_distance': 0.386841, 'selected_control_fraction': 0.35, 'selected_score': 0.101654}, {'index': 1, 'x': 0.469164, 'y': 0.432497, 'turn_angle': -0.386936, 'incoming_length': 1.29678, 'outgoing_length': 1.68869, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.102083, 'equivalent_radius_max': 6.61895, 'trim_min': 0.02, 'trim_max': 1.29678, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.427927, 'selected_trim': 0.0838388, 'selected_control_distance': 0.0275009, 'selected_control_fraction': 0.328022, 'selected_score': 0.511125}, {'index': 2, 'x': 1.97725, 'y': -0.327349, 'turn_angle': 0.477781, 'incoming_length': 1.68869, 'outgoing_length': 2.4729, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0821217, 'equivalent_radius_max': 6.93391, 'trim_min': 0.02, 'trim_max': 1.68869, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 4.1932, 'selected_trim': 1.02122, 'selected_control_distance': 0.357426, 'selected_control_fraction': 0.35, 'selected_score': 0.197619}, {'index': 3, 'x': 4.45, 'y': -0.3, 'turn_angle': 0.488287, 'incoming_length': 2.4729, 'outgoing_length': 0.626498, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0802849, 'equivalent_radius_max': 2.51492, 'trim_min': 0.02, 'trim_max': 0.626498, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 2.51492, 'selected_trim': 0.626498, 'selected_control_distance': 0.204749, 'selected_control_fraction': 0.326815, 'selected_score': 0.145978}]",4,40,160,none,4,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 10.2277, 'max_curvature_1pm': 2.33332, 'curvature_energy_1pm': 1.16678, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.49837,404,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 10.1843, 'max_curvature_1pm': 1.37965e-13, 'curvature_energy_1pm': 8.40277e-27, 'pivot_rotation_rad': 0.92956, 'peak_proximity_cost': 253}",0,0.594167,False,True,no_los_quality_not_worse,0.125389,252,0.239094,666,0,0,404,"{'shape_angular acceleration iteration did not converge': 1, 'shape_transition requires a reversing inner wheel': 14, 'transition requires a reversing inner wheel': 7}",0.0854075,joint_d_q,0.05,,direct_metric,145,84f39e7000bf7fa09cd3b5bfe09b577de0cba590cb985cad49ebca6618817e61,0,1,west_east_center,True,1.1667820526617392,2.333318681495625,10.227666940952632,1,0.1393448710005032
0.003,70.16178235442507,4.440892098500626e-16,6.759806262336998e-17,,0.7449750899838732,0.17079994476667312,0.25619225950049973,0,515,20.275997711645847,raw,0.05,500,a95be9c4142555ec8a27e3dece3e66ee6e46d1edc7b10e31d22e7142f59f47b8,12.49971290943287,0,0.0,0,NavFnAStar,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a95be9c4142555ec8a27e3dece3e66ee6e46d1edc7b10e31d22e7142f59f47b8,0,1,southwest_northeast,True,70.16178235442507,20.275997711645847,12.49971290943287,1,0.00843076000091969
0.165,0.19622336818529365,0.22848061944738116,0.1016815892278018,,0.5381243056813602,0.1449222268733815,0.1449222268733815,0,494,0.3897439187379501,pstmo,0.05,485,18c37481d3ecaae3253b4288d924afb7345d6e95c0b3c99094a8a47698b154ac,12.173702212689758,0,0.0,0,NavFnAStar,fc26957ced33dc8dcf6179de75ed30fa8ad5c026d01237dd5250eaf50a34b581,245,100,33,"[[-5, -3], [0.725728, -1.41805], [2.99355, 0.08471], [5, 3]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': 0.725728, 'y': -1.41805, 'turn_angle': 0.315649, 'incoming_length': 5.94025, 'outgoing_length': 2.72053, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.125669, 'equivalent_radius_max': 12.5669, 'trim_min': 0.02, 'trim_max': 2, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 5.56871, 'selected_trim': 0.88625, 'selected_control_distance': 0.310187, 'selected_control_fraction': 0.35, 'selected_score': 0.200856}, {'index': 1, 'x': 2.99355, 'y': 0.08471, 'turn_angle': 0.382786, 'incoming_length': 2.72053, 'outgoing_length': 3.53904, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.103218, 'equivalent_radius_max': 10.3218, 'trim_min': 0.02, 'trim_max': 2, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 3.00913, 'selected_trim': 0.583063, 'selected_control_distance': 0.204072, 'selected_control_fraction': 0.35, 'selected_score': 0.254663}]",2,20,80,none,2,3,401,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 12.4104, 'max_curvature_1pm': 3.04273, 'curvature_energy_1pm': 5.59378, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 161}",0.611214,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 12.1737, 'max_curvature_1pm': 0.389744, 'curvature_energy_1pm': 0.196223, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",398,0.365026,True,True,los_quality_improvement,0.164383,252,0.227759,485,0,0,500,"{'shape_angular acceleration iteration did not converge': 2, 'shape_swept_footprint': 29, 'shape_transition requires a reversing inner wheel': 6, 'swept_footprint': 13, 'transition requires a reversing inner wheel': 3}",0.0347559,joint_d_q,0.05,,direct_metric,43,a95be9c4142555ec8a27e3dece3e66ee6e46d1edc7b10e31d22e7142f59f47b8,0,1,southwest_northeast,True,0.19622336818529365,0.3897439187379501,12.173702212689758,1,0.17479476800144766
0.003,36.027705443282976,4.440892098500626e-16,7.330870427240145e-17,,0.6062623622652499,0.17677669793081488,0.23390290478282266,0,506,14.836591663271049,raw,0.05,498,5d57faa82841d2d3646a736ea173781bf1cf4d91dff7f6ec70dc3eef9bcd9291,12.516595679254204,0,0.0,0,NavFnAStar,ab1a2673a4b5c09a61643909082c2a0b815993eef4cc11c443d6b03737a29d96,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d57faa82841d2d3646a736ea173781bf1cf4d91dff7f6ec70dc3eef9bcd9291,0,1,northwest_southeast,True,36.027705443282976,14.836591663271049,12.516595679254204,1,0.008893803000319167
0.219,3.596398179810188,0.191093532752505,0.06336303479892313,,0.5656038848056963,0.10606601875848895,0.11464466264901119,0,978,3.9894008980008597,pstmo,0.05,967,21cd73476906b6ff111fbf0cbf4e7968ffee2a46fddf6b4b67b9b925b4ad8d13,12.37348546894459,0,0.0,0,NavFnAStar,ab1a2673a4b5c09a61643909082c2a0b815993eef4cc11c443d6b03737a29d96,249,354,182,"[[-5, 3], [-2.40175, 2.43095], [0.486406, 0.414228], [2.57855, -1.51801], [3.23745, -2.90147], [3.5327, -3.16497], [4.60509, -3.20253], [5, -3]]",498,0.075,0.0706466,0.15,0,8,0,7,"[{'index': 0, 'x': -2.40175, 'y': 2.43095, 'turn_angle': -0.393957, 'incoming_length': 2.65983, 'outgoing_length': 3.52259, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.100217, 'equivalent_radius_max': 10.0217, 'trim_min': 0.02, 'trim_max': 2, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 10.0217, 'selected_trim': 2, 'selected_control_distance': 0.655896, 'selected_control_fraction': 0.327948, 'selected_score': 0.184513}, {'index': 1, 'x': 0.486406, 'y': 0.414228, 'turn_angle': -0.13612, 'incoming_length': 3.52259, 'outgoing_length': 2.84792, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.293404, 'equivalent_radius_max': 29.3404, 'trim_min': 0.02, 'trim_max': 2, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 13.3645, 'selected_trim': 0.911, 'selected_control_distance': 0.31885, 'selected_control_fraction': 0.35, 'selected_score': 0.0869856}, {'index': 2, 'x': 2.57855, 'y': -1.51801, 'turn_angle': -0.380623, 'incoming_length': 2.84792, 'outgoing_length': 1.53235, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.103819, 'equivalent_radius_max': 7.95436, 'trim_min': 0.02, 'trim_max': 1.53235, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 4.81414, 'selected_trim': 0.927412, 'selected_control_distance': 0.304272, 'selected_control_fraction': 0.328087, 'selected_score': 0.0674115}, {'index': 3, 'x': 3.23745, 'y': -2.90147, 'turn_angle': 0.397672, 'incoming_length': 1.53235, 'outgoing_length': 0.395732, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0992563, 'equivalent_radius_max': 1.96394, 'trim_min': 0.02, 'trim_max': 0.395732, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.472194, 'selected_trim': 0.0951463, 'selected_control_distance': 0.0333012, 'selected_control_fraction': 0.35, 'selected_score': 0.48912}, {'index': 4, 'x': 3.5327, 'y': -3.16497, 'turn_angle': 0.693629, 'incoming_length': 0.395732, 'outgoing_length': 1.07304, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0553369, 'equivalent_radius_max': 1.09493, 'trim_min': 0.02, 'trim_max': 0.395732, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 16, 'states': 10, 'selected_radius': 0.289245, 'selected_trim': 0.10454, 'selected_control_distance': 0.0365889, 'selected_control_fraction': 0.35, 'selected_score': 0.679572}, {'index': 5, 'x': 4.60509, 'y': -3.20253, 'turn_angle': 0.508877, 'incoming_length': 1.07304, 'outgoing_length': 0.443818, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0769008, 'equivalent_radius_max': 1.7065, 'trim_min': 0.02, 'trim_max': 0.443818, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 1.7065, 'selected_trim': 0.443818, 'selected_control_distance': 0.144921, 'selected_control_fraction': 0.326532, 'selected_score': 0.302505}]",6,60,240,none,6,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 12.3735, 'max_curvature_1pm': 3.9894, 'curvature_energy_1pm': 3.5964, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.656168,498,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 12.3735, 'max_curvature_1pm': 3.9894, 'curvature_energy_1pm': 3.5964, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.656168,False,True,no_los_quality_not_worse,0.218863,252,0.301684,967,0,0,498,"{'angular acceleration iteration did not converge': 2, 'shape_angular acceleration iteration did not converge': 6, 'shape_transition requires a reversing inner wheel': 23, 'transition requires a reversing inner wheel': 11}",0.10388,joint_d_q,0.05,,direct_metric,211,5d57faa82841d2d3646a736ea173781bf1cf4d91dff7f6ec70dc3eef9bcd9291,0,1,northwest_southeast,True,3.596398179810188,3.9894008980008597,12.37348546894459,1,0.2363293700000213
0.0,58.02553738023892,1.1102230246251565e-16,2.7539437105351313e-17,,0.402795046811255,0.1449222268733815,0.17079994476667312,0,186,18.197223950477856,raw,0.05,176,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,4.394234894293079,0,0.0,0,NavFnAStar,d1278f37a9031713f02f16637cd5616073c28eff9ba73a244f78aeed7fdd319b,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,0,1,center_block_detour,True,58.02553738023892,18.197223950477856,4.394234894293079,1,0.0037600319992634468
0.08700000000000001,1.526401433573408,0.12759705627628126,0.06977137822118888,,0.2772406988892052,0.1449222268733815,0.1449222268733815,0,205,1.116483784226967,pstmo,0.05,194,df37d7cc88aaf7faabcd3b28f34ca98289c2593c4665d00803c03252e27574ef,4.181874818494947,0,0.0,0,NavFnAStar,d1278f37a9031713f02f16637cd5616073c28eff9ba73a244f78aeed7fdd319b,85,100,28,"[[-2.2, -0.6], [-0.928803, 0.510459], [0.49857, 0.31856], [1.2, -0.6]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -0.928803, 'y': 0.510459, 'turn_angle': -0.851651, 'incoming_length': 1.68792, 'outgoing_length': 1.44022, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0440938, 'equivalent_radius_max': 3.17523, 'trim_min': 0.02, 'trim_max': 1.44022, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 1.1987, 'selected_trim': 0.543704, 'selected_control_distance': 0.190297, 'selected_control_fraction': 0.35, 'selected_score': 0.513729}, {'index': 1, 'x': 0.49857, 'y': 0.31856, 'turn_angle': -0.784995, 'incoming_length': 1.44022, 'outgoing_length': 1.15575, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0483118, 'equivalent_radius_max': 2.79182, 'trim_min': 0.02, 'trim_max': 1.15575, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 11, 'states': 10, 'selected_radius': 1.07713, 'selected_trim': 0.445906, 'selected_control_distance': 0.143307, 'selected_control_fraction': 0.321384, 'selected_score': 0.518685}]",2,20,80,none,2,3,152,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.32892, 'max_curvature_1pm': 3.03722, 'curvature_energy_1pm': 3.02845, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.584473,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.18187, 'max_curvature_1pm': 1.11648, 'curvature_energy_1pm': 1.5264, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",149,0.533877,True,True,los_quality_improvement,0.0881323,252,0.516207,194,0,0,176,"{'shape_angular acceleration iteration did not converge': 2, 'shape_swept_footprint': 30, 'shape_transition requires a reversing inner wheel': 13, 'swept_footprint': 11, 'transition requires a reversing inner wheel': 6}",0.0250476,joint_d_q,0.05,,direct_metric,35,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,0,1,center_block_detour,True,1.526401433573408,1.116483784226967,4.181874818494947,1,0.0942405570003757
0.0,53.6832241675558,2.220446049250313e-16,5.60985871800214e-17,,0.3894449871347737,0.1449222268733815,0.17079994476667312,0,201,14.222162952811257,raw,0.05,183,7e9fdfcc85a7bff9b05c554505979a35d82b17bea37b671f3026012d5a4fe375,4.594915540244387,0,0.0,0,NavFnAStar,3d0f35c2c4e164e695abfdba520672b55abf5dc7f0869207e58450ab1d48b0e1,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7e9fdfcc85a7bff9b05c554505979a35d82b17bea37b671f3026012d5a4fe375,0,1,screen_detour,True,53.6832241675558,14.222162952811257,4.594915540244387,1,0.004196337999019306
0.111,6.875839454612676,0.053586009650907075,0.023280772454464044,,0.38998474489576473,0.21959563989254183,0.23390290478282266,0,310,3.884888513917842,pstmo,0.05,299,cece588f46ba016c4684677952a2043b515d89dddb51944f363a06e35907d395,4.507908730442844,0,0.0,0,NavFnAStar,3d0f35c2c4e164e695abfdba520672b55abf5dc7f0869207e58450ab1d48b0e1,92,109,206,"[[1.2, 1.4], [1.24608, 2.06658], [1.58759, 2.78426], [1.94507, 3.0706], [2.39439, 3.0882], [2.71166, 3.02721], [2.94142, 2.8011], [3.04549, 2.16745], [3.5, 1.4]]",183,0.075,0.0349983,0.15,0,9,0,8,"[{'index': 0, 'x': 1.24608, 'y': 2.06658, 'turn_angle': -0.37513, 'incoming_length': 0.668168, 'outgoing_length': 0.794796, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.105376, 'equivalent_radius_max': 3.52046, 'trim_min': 0.02, 'trim_max': 0.668168, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 3.34971, 'selected_trim': 0.63576, 'selected_control_distance': 0.222516, 'selected_control_fraction': 0.35, 'selected_score': 0.162004}, {'index': 1, 'x': 1.58759, 'y': 2.78426, 'turn_angle': -0.451319, 'incoming_length': 0.794796, 'outgoing_length': 0.458023, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0871196, 'equivalent_radius_max': 1.99514, 'trim_min': 0.02, 'trim_max': 0.458023, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.468724, 'selected_trim': 0.107605, 'selected_control_distance': 0.035218, 'selected_control_fraction': 0.32729, 'selected_score': 0.532716}, {'index': 2, 'x': 1.94507, 'y': 3.0706, 'turn_angle': -0.636191, 'incoming_length': 0.458023, 'outgoing_length': 0.449665, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0607391, 'equivalent_radius_max': 1.36561, 'trim_min': 0.02, 'trim_max': 0.449665, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.321714, 'selected_trim': 0.105933, 'selected_control_distance': 0.0370765, 'selected_control_fraction': 0.35, 'selected_score': 0.667786}, {'index': 3, 'x': 2.39439, 'y': 3.0882, 'turn_angle': -0.229049, 'incoming_length': 0.449665, 'outgoing_length': 0.323075, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.173871, 'equivalent_radius_max': 2.80866, 'trim_min': 0.02, 'trim_max': 0.323075, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.700829, 'selected_trim': 0.080615, 'selected_control_distance': 0.0265477, 'selected_control_fraction': 0.329315, 'selected_score': 0.314759}, {'index': 4, 'x': 2.71166, 'y': 3.02721, 'turn_angle': -0.587475, 'incoming_length': 0.323075, 'outgoing_length': 0.322358, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0661184, 'equivalent_radius_max': 1.06569, 'trim_min': 0.02, 'trim_max': 0.322358, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.515925, 'selected_trim': 0.156061, 'selected_control_distance': 0.050771, 'selected_control_fraction': 0.325328, 'selected_score': 0.574259}, {'index': 5, 'x': 2.94142, 'y': 2.8011, 'turn_angle': -0.630625, 'incoming_length': 0.322358, 'outgoing_length': 0.642144, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0613129, 'equivalent_radius_max': 0.988235, 'trim_min': 0.02, 'trim_max': 0.322358, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.293043, 'selected_trim': 0.0955894, 'selected_control_distance': 0.0334563, 'selected_control_fraction': 0.35, 'selected_score': 0.68832}, {'index': 6, 'x': 3.04549, 'y': 2.16745, 'turn_angle': 0.371894, 'incoming_length': 0.642144, 'outgoing_length': 0.891939, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.106315, 'equivalent_radius_max': 3.41348, 'trim_min': 0.02, 'trim_max': 0.642144, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.767748, 'selected_trim': 0.144429, 'selected_control_distance': 0.047398, 'selected_control_fraction': 0.328175, 'selected_score': 0.383873}]",7,70,280,none,7,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.50791, 'max_curvature_1pm': 3.88489, 'curvature_energy_1pm': 6.87584, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.640144,183,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.24226, 'max_curvature_1pm': 2.52001, 'curvature_energy_1pm': 4.82898, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.638539,False,True,no_los_quality_not_worse,0.108037,252,0.474817,299,0,0,183,"{'angular acceleration iteration did not converge': 2, 'shape_angular acceleration iteration did not converge': 8, 'shape_transition requires a reversing inner wheel': 31, 'transition requires a reversing inner wheel': 15}",0.0896673,joint_d_q,0.05,,direct_metric,241,7e9fdfcc85a7bff9b05c554505979a35d82b17bea37b671f3026012d5a4fe375,0,1,screen_detour,True,6.875839454612676,3.884888513917842,4.507908730442844,1,0.1156198080007016
