algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,5.684338328531508e-11,2.183756817139993e-22,1.540303297071021e-23,,1.1282437246660393,0.6646446708446498,0.9146446745699401,0,400,2.384185791012931e-05,raw,0.05,398,7fa8a097d989150308cbb8c2a465dbf52ae5f4afeef6943f889c63920ee5190c,10.000000000000007,0,0.0,0,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7fa8a097d989150308cbb8c2a465dbf52ae5f4afeef6943f889c63920ee5190c,0,1,central_cross_west_east,True,5.684338328531508e-11,2.384185791012931e-05,10.000000000000007,1,0.008449601000393159
0.003,0.0,5.960464477539063e-08,5.930736280492328e-08,,1.125572396351809,0.6646446708446498,0.9146446745699401,0,278,0.0,pstmo,0.05,201,706b704736f170d546f9a9d8fb9c47f6ae21740ce6296086740e4f4c25c02c08,10.000000000000007,0,0.0,0,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,0,0,"[[-5, 0], [5, 0]]",398,0.075,5.96046e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 10, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,398,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 10, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.00428787,252,0,201,0,0,398,{},0.00152086,joint_d_q,0.05,,direct_metric,0,7fa8a097d989150308cbb8c2a465dbf52ae5f4afeef6943f889c63920ee5190c,0,1,central_cross_west_east,True,0.0,0.0,10.000000000000007,1,0.011584396999751334
0.0,5.6843383285462087e-11,0.0,0.0,,1.0599317103495767,0.6146446700995918,0.6646446708446498,0,469,2.384185791016065e-05,raw,0.05,398,4cf2861a651941e0f0b1f82e0e1cef426c204890f3f1341f51e52d6457f7ba5f,10.000000000000007,0,0.0,0,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4cf2861a651941e0f0b1f82e0e1cef426c204890f3f1341f51e52d6457f7ba5f,0,1,central_cross_east_west,True,5.6843383285462087e-11,2.384185791016065e-05,10.000000000000007,1,0.00956107499951031
0.0,0.0,5.960464477539063e-08,5.930736280492324e-08,,1.125572396351809,0.6646446708446498,0.9146446745699401,0,278,0.0,pstmo,0.05,201,479cf1be68e61c0d5dce860d455a1ea8b77d8b6babb0bf590dd0854ee63b33aa,10.000000000000007,0,0.0,0,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,201,0,0,"[[5, 0], [-5, 0]]",398,0.075,5.96046e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 10, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,398,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 10, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.00174259,252,0,201,0,0,398,{},0.000516827,joint_d_q,0.05,,direct_metric,0,4cf2861a651941e0f0b1f82e0e1cef426c204890f3f1341f51e52d6457f7ba5f,0,1,central_cross_east_west,True,0.0,0.0,10.000000000000007,1,0.008584221999626607
0.0,7.99360069510589e-12,0.0,0.0,,0.9615430836502865,0.6146446700995918,0.6646446708446498,0,273,8.940696716308851e-06,raw,0.05,238,c7fe2a271df1c4fc1423a8c374f1771b72868d1d9ee419225377f9402fd2010a,5.999999999999987,0,0.0,0,NavFnAStar,da6214e870e8e649c9c3a89cb07caed63e5c05641e03dd601c171cff56f2d82d,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c7fe2a271df1c4fc1423a8c374f1771b72868d1d9ee419225377f9402fd2010a,0,1,west_service_lane,True,7.99360069510589e-12,8.940696716308851e-06,5.999999999999987,1,0.0062033639987930655
0.0,0.0,2.2351741790771484e-08,2.2166246891349556e-08,,1.0357297515405657,0.6646446708446498,0.814644673079824,0,168,0.0,pstmo,0.05,121,35082b7d5b07485498c65a58ce4f72c134d575cc303ef09b4dfcf81016e9b75c,5.999999999999987,0,0.0,0,NavFnAStar,da6214e870e8e649c9c3a89cb07caed63e5c05641e03dd601c171cff56f2d82d,121,0,0,"[[-4.5, -3], [-4.5, 3]]",238,0.075,2.23517e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,238,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.00105858,252,0,121,0,0,238,{},0.00024613,joint_d_q,0.05,,direct_metric,0,c7fe2a271df1c4fc1423a8c374f1771b72868d1d9ee419225377f9402fd2010a,0,1,west_service_lane,True,0.0,0.0,5.999999999999987,1,0.010420126000099117
0.0,5.684338328545883e-11,3.469446951953614e-18,3.154042683594195e-19,,0.5648489561252337,0.41464466711935954,0.41464466711935954,0,273,2.384185791016065e-05,raw,0.05,238,da13d31ee2189c58df74a97f4149e836f000b350d61b4d4575119aa1bbf0e948,5.999999999999987,0,0.0,0,NavFnAStar,9d1df56cc9c8f5bf1dbfc4f320dbfa33b2e00f9150aefc98694f94e5deec520c,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,da13d31ee2189c58df74a97f4149e836f000b350d61b4d4575119aa1bbf0e948,0,1,picking_aisle_a,True,5.684338328545883e-11,2.384185791016065e-05,5.999999999999987,1,0.0052247410003474215
0.003,0.0,5.960464477539063e-08,5.910999171273303e-08,,0.6084370147255387,0.5146446686094757,0.5146446686094757,0,168,0.0,pstmo,0.05,121,a8bc75e5bc1b19b596421bea50d7ca314506dc731d25a0f548bed519502df9ed,5.999999999999987,0,0.0,0,NavFnAStar,9d1df56cc9c8f5bf1dbfc4f320dbfa33b2e00f9150aefc98694f94e5deec520c,121,0,0,"[[-2, -3], [-2, 3]]",238,0.075,5.96046e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,238,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.00110756,252,0,121,0,0,238,{},0.000278603,joint_d_q,0.05,,direct_metric,0,da13d31ee2189c58df74a97f4149e836f000b350d61b4d4575119aa1bbf0e948,0,1,picking_aisle_a,True,0.0,0.0,5.999999999999987,1,0.006194093000885914
0.0,1.278976123923973e-10,0.0,0.0,,0.5648489561252337,0.41464466711935954,0.41464466711935954,0,273,3.576278686524876e-05,raw,0.05,238,9e1d4b0401bd5cfe830bdda86bdf737c25d38e152655e3bfa59398a17a7ccda8,5.999999999999987,0,0.0,0,NavFnAStar,cf47d53e78e26d3a29e8cfa0e8cbd079cfb0157a2aad05a1bf39cc4e96f4de3b,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e1d4b0401bd5cfe830bdda86bdf737c25d38e152655e3bfa59398a17a7ccda8,0,1,picking_aisle_b,True,1.278976123923973e-10,3.576278686524876e-05,5.999999999999987,1,0.009076684998944984
0.003,0.0,8.940696716308594e-08,8.86649875690981e-08,,0.6084370147255387,0.5146446686094757,0.5146446686094757,0,168,0.0,pstmo,0.05,121,a2015fe67e644625dbdaadecb510c4eeb98e218f9de7188ae9b0589bf04658f5,5.999999999999987,0,0.0,0,NavFnAStar,cf47d53e78e26d3a29e8cfa0e8cbd079cfb0157a2aad05a1bf39cc4e96f4de3b,121,0,0,"[[0, 3], [0, -3]]",238,0.075,8.9407e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,238,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.00120651,252,0,121,0,0,238,{},0.000404735,joint_d_q,0.05,,direct_metric,0,9e1d4b0401bd5cfe830bdda86bdf737c25d38e152655e3bfa59398a17a7ccda8,0,1,picking_aisle_b,True,0.0,0.0,5.999999999999987,1,0.0073037080001086
