algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,7.993601965654422e-12,3.469446951953614e-18,3.031269876292146e-19,,0.8690815339592559,0.3646446663743015,0.41464466711935954,0,293,8.940696716308851e-06,raw,0.05,258,0c6915c77e8d303cdcda3dc1561edf33dc6afdaea32f04cf97067543dfdc9b25,6.499999999999985,0,0.0,0,NavFnAStar,30db1901b9797e1c31c57dbced13ff6cf0b96f37e004ca76385699d896de1f29,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0c6915c77e8d303cdcda3dc1561edf33dc6afdaea32f04cf97067543dfdc9b25,0,1,west_service_lane,True,7.993601965654422e-12,8.940696716308851e-06,6.499999999999985,1,0.0065202469995711
0.003,0.0,2.2351741790771484e-08,2.2180461510844732e-08,,0.9592774435966023,0.41464466711935954,0.5646446693545337,0,177,0.0,pstmo,0.05,131,d6627654f26decc48294c54c3b82bdc42f1be71865d1b8d70d06b012dc82c109,6.499999999999985,0,0.0,0,NavFnAStar,30db1901b9797e1c31c57dbced13ff6cf0b96f37e004ca76385699d896de1f29,131,0,0,"[[-4.5, -3.25], [-4.5, 3.25]]",258,0.075,2.23517e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6.5, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 65}",0.18869,258,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6.5, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 65}",0,0.18869,False,True,no_los_quality_not_worse,0.00234841,252,0,131,0,0,258,{},0.00129076,joint_d_q,0.05,,direct_metric,0,0c6915c77e8d303cdcda3dc1561edf33dc6afdaea32f04cf97067543dfdc9b25,0,1,west_service_lane,True,0.0,0.0,6.499999999999985,1,0.01019095300034678
0.0,5.684336295668853e-11,3.469446951953614e-18,3.5226896578006256e-19,,0.4610891122558803,0.41464466711935954,0.41464466711935954,0,225,2.384185791016065e-05,raw,0.05,190,7d5f5bc37c97e4540b87cf511b404d2e4202bce6fbcba22a62e1b0eb764fbd04,4.79999999999999,0,0.0,0,NavFnAStar,3704564af346cb328a33a5c90094abf98683c7475ec6a7f285e41789f8030bad,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7d5f5bc37c97e4540b87cf511b404d2e4202bce6fbcba22a62e1b0eb764fbd04,0,1,picking_aisle_a,True,5.684336295668853e-11,2.384185791016065e-05,4.79999999999999,1,0.00461122299930139
0.003,0.0,5.960464477539063e-08,5.898696308804984e-08,,0.5146446686094758,0.5146446686094757,0.5146446686094757,0,138,0.0,pstmo,0.05,97,2d38511830226d4f9ac2570ccfe95e1266a60a906d90bcc59e620d3d985665c0,4.799999999999991,0,0.0,0,NavFnAStar,3704564af346cb328a33a5c90094abf98683c7475ec6a7f285e41789f8030bad,97,0,0,"[[-2, -2.4], [-2, 2.4]]",190,0.075,5.96046e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.8, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,190,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.8, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.000976764,252,0,97,0,0,190,{},0.000287175,joint_d_q,0.05,,direct_metric,0,7d5f5bc37c97e4540b87cf511b404d2e4202bce6fbcba22a62e1b0eb764fbd04,0,1,picking_aisle_a,True,0.0,0.0,4.799999999999991,1,0.005096225000670529
0.003,1.2789756665182654e-10,3.469446951953614e-18,3.522689672564047e-19,,0.4610891122558803,0.41464466711935954,0.41464466711935954,0,225,3.57627868651279e-05,raw,0.05,190,73bf5a31dad76d8dede9193314db08587b8ebb9dd9707111b89e0f544199988a,4.79999999999999,0,0.0,0,NavFnAStar,5824115a57effd5359a8e4392dcc7471551e20e48b2550409aa7c49a0da8a75c,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73bf5a31dad76d8dede9193314db08587b8ebb9dd9707111b89e0f544199988a,0,1,picking_aisle_b,True,1.2789756665182654e-10,3.57627868651279e-05,4.79999999999999,1,0.005411374000686919
0.003,0.0,8.940696716308594e-08,8.848044463207284e-08,,0.5146446686094758,0.5146446686094757,0.5146446686094757,0,138,0.0,pstmo,0.05,97,c5766c08352f36bd0d56972c26c2a18038a6ccb26cf00d7524851fa21bdaa0c2,4.799999999999991,0,0.0,0,NavFnAStar,5824115a57effd5359a8e4392dcc7471551e20e48b2550409aa7c49a0da8a75c,97,0,0,"[[0, -2.4], [0, 2.4]]",190,0.075,8.9407e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.8, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,190,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.8, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.00158336,252,0,97,0,0,190,{},0.00033172,joint_d_q,0.05,,direct_metric,0,73bf5a31dad76d8dede9193314db08587b8ebb9dd9707111b89e0f544199988a,0,1,picking_aisle_b,True,0.0,0.0,4.799999999999991,1,0.009996139999202569
0.0,2.273734518269965e-10,3.469446951953614e-18,3.5226896578006256e-19,,0.4610891122558803,0.41464466711935954,0.41464466711935954,0,225,4.768371582034672e-05,raw,0.05,190,b25ee60f81c0e14f3ed6f97db6292424af3111ff98e6e89d865b5cdb0b0287bd,4.79999999999999,0,0.0,0,NavFnAStar,1c7d3eb64de23f420f284bb120988618a3bd124deacfc4553d92f14b55330d13,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b25ee60f81c0e14f3ed6f97db6292424af3111ff98e6e89d865b5cdb0b0287bd,0,1,picking_aisle_c,True,2.273734518269965e-10,4.768371582034672e-05,4.79999999999999,1,0.006767447999664
0.003,0.0,1.1920928955078125e-07,1.1797392617610234e-07,,0.5146446686094758,0.5146446686094757,0.5146446686094757,0,138,0.0,pstmo,0.05,97,7ba4731630d837b1cd032290fcb39c706a2828781f61723e1ddaac2afa8db092,4.799999999999991,0,0.0,0,NavFnAStar,1c7d3eb64de23f420f284bb120988618a3bd124deacfc4553d92f14b55330d13,97,0,0,"[[2, -2.4], [2, 2.4]]",190,0.075,1.19209e-07,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.8, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0.15,190,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 4.8, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 0}",0,0.15,False,True,no_los_quality_not_worse,0.00128447,252,0,97,0,0,190,{},0.000366584,joint_d_q,0.05,,direct_metric,0,b25ee60f81c0e14f3ed6f97db6292424af3111ff98e6e89d865b5cdb0b0287bd,0,1,picking_aisle_c,True,0.0,0.0,4.799999999999991,1,0.006205145000421908
0.0,3.9168649631800603e-10,0.0,0.0,,0.8690815339592559,0.3646446663743015,0.41464466711935954,0,293,6.258487701423671e-05,raw,0.05,258,0ee9e00bcbb9b4f6d731f1933a464eb51ed1aa138093ba4f1db70b45823f172f,6.499999999999985,0,0.0,0,NavFnAStar,3305b61e94a5c4bc1aba11baa849f19215aefdac8e2a0e376387c0372b1a3b32,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0ee9e00bcbb9b4f6d731f1933a464eb51ed1aa138093ba4f1db70b45823f172f,0,1,east_service_lane,True,3.9168649631800603e-10,6.258487701423671e-05,6.499999999999985,1,0.006016354000166757
0.0,0.0,1.564621925354004e-07,1.5526323057591887e-07,,0.9592774435966023,0.41464466711935954,0.5646446693545337,0,177,0.0,pstmo,0.05,131,a4e7a5ad6a5abc3335b01229c7abedac138c39805a5922638cd4f342d56a7f0f,6.499999999999985,0,0.0,0,NavFnAStar,3305b61e94a5c4bc1aba11baa849f19215aefdac8e2a0e376387c0372b1a3b32,131,0,0,"[[4.5, 3.25], [4.5, -3.25]]",258,0.075,1.56462e-07,0.15,0,2,0,1,[],0,0,0,none,0,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6.5, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 65}",0.18869,258,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 6.5, 'max_curvature_1pm': 0, 'curvature_energy_1pm': 0, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 65}",0,0.18869,False,True,no_los_quality_not_worse,0.00138593,252,0,131,0,0,258,{},0.000383319,joint_d_q,0.05,,direct_metric,0,0ee9e00bcbb9b4f6d731f1933a464eb51ed1aa138093ba4f1db70b45823f172f,0,1,east_service_lane,True,0.0,0.0,6.499999999999985,1,0.007497483000406646
