algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,125.5648674190683,4.440892098500626e-16,5.584491901795352e-17,,0.4665304849038798,0.16464466339406925,0.2146446641391273,0,587,22.23731861949807,raw,0.05,562,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,14.06990166378934,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,125.5648674190683,22.23731861949807,14.06990166378934,1,0.01056367700039118
0.081,4.557850323742172,0.06455312232620843,0.021516440694278157,,0.5840264235991519,0.2146446641391273,0.25619225950049973,0,525,3.194843292237232,pstmo,0.05,491,bc368654ee4bd3ca644ce3186559d7052abb1be844eeda4dff6821ef60dc30d3,13.944432688884302,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,280,215,153,"[[-4.5, -2.4], [-3.55104, -3.15507], [-3.21443, -3.28151], [3.40149, -3.21752], [3.75018, -2.74962], [4.27882, 1.4094], [4.5, 2.4]]",562,0.075,0.0713415,0.15,0,7,0,6,"[{'index': 0, 'x': -3.55104, 'y': -3.15507, 'turn_angle': 0.312774, 'incoming_length': 1.21271, 'outgoing_length': 0.359572, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.126844, 'equivalent_radius_max': 2.28047, 'trim_min': 0.02, 'trim_max': 0.359572, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.880613, 'selected_trim': 0.13885, 'selected_control_distance': 0.0456422, 'selected_control_fraction': 0.328716, 'selected_score': 0.314542}, {'index': 1, 'x': -3.21443, 'y': -3.28151, 'turn_angle': 0.368995, 'incoming_length': 0.359572, 'outgoing_length': 6.61623, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.10717, 'equivalent_radius_max': 1.92676, 'trim_min': 0.02, 'trim_max': 0.359572, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.471088, 'selected_trim': 0.0879144, 'selected_control_distance': 0.0288539, 'selected_control_fraction': 0.328204, 'selected_score': 0.460624}, {'index': 2, 'x': 3.40149, 'y': -3.21752, 'turn_angle': 0.920681, 'incoming_length': 6.61623, 'outgoing_length': 0.583538, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0403329, 'equivalent_radius_max': 1.17679, 'trim_min': 0.02, 'trim_max': 0.583538, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 16, 'states': 10, 'selected_radius': 0.38127, 'selected_trim': 0.189061, 'selected_control_distance': 0.0661715, 'selected_control_fraction': 0.35, 'selected_score': 0.742503}, {'index': 3, 'x': 3.75018, 'y': -2.74962, 'turn_angle': 0.514016, 'incoming_length': 0.583538, 'outgoing_length': 4.19248, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0760976, 'equivalent_radius_max': 2.22029, 'trim_min': 0.02, 'trim_max': 0.583538, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.504937, 'selected_trim': 0.132708, 'selected_control_distance': 0.0433236, 'selected_control_fraction': 0.326459, 'selected_score': 0.561461}, {'index': 4, 'x': 4.27882, 'y': 1.4094, 'turn_angle': -0.0932515, 'incoming_length': 4.19248, 'outgoing_length': 1.015, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.428637, 'equivalent_radius_max': 21.7533, 'trim_min': 0.02, 'trim_max': 1.015, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 21.7533, 'selected_trim': 1.015, 'selected_control_distance': 0.355249, 'selected_control_fraction': 0.35, 'selected_score': 0.00545515}]",5,50,200,none,5,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.9444, 'max_curvature_1pm': 3.19484, 'curvature_energy_1pm': 4.55785, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 202}",0.627332,562,"{'valid': True, 'safe': True, 'raw_fallback': True, 'length_m': 14.0699, 'max_curvature_1pm': 22.2373, 'curvature_energy_1pm': 125.565, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 251}",0,1.33049,False,True,no_los_quality_not_worse,0.0803456,252,0.416917,491,0,0,562,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 6, 'shape_transition requires a reversing inner wheel': 19, 'transition requires a reversing inner wheel': 8}",0.0523153,joint_d_q,0.05,,direct_metric,175,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,4.557850323742172,3.194843292237232,13.944432688884302,1,0.09546774499904132
0.003,30.538653349676423,4.440892098500626e-16,3.6213987092314623e-17,,0.4149689556968361,0.17677669793081488,0.2574601203080526,0,584,11.406812986899268,raw,0.05,562,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,14.033639667604042,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,30.538653349676423,11.406812986899268,14.033639667604042,1,0.010710026001106598
0.10800000000000001,4.693554208838184,0.1365680211591965,0.033380898883857785,,0.48336118197659217,0.23390290478282266,0.25619225950049973,0,666,3.395566432810808,pstmo,0.05,651,1756e0f836e4ae512d02a758c6a38c517714a6e7b29492dd8285813257b86817,13.930597045538647,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,280,226,185,"[[-4.5, -2.4], [-3.9008, -0.716392], [-3.85543, 2.60814], [-3.57201, 3.07523], [-3.16886, 3.18166], [3.19879, 3.18264], [3.53846, 3.11134], [4.5, 2.4]]",562,0.075,0.0651717,0.15,0,8,0,7,"[{'index': 0, 'x': -3.9008, 'y': -0.716392, 'turn_angle': 0.328272, 'incoming_length': 1.78706, 'outgoing_length': 3.32484, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.120754, 'equivalent_radius_max': 10.7897, 'trim_min': 0.02, 'trim_max': 1.78706, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 10.7897, 'selected_trim': 1.78706, 'selected_control_distance': 0.587197, 'selected_control_fraction': 0.328583, 'selected_score': 0.0770462}, {'index': 1, 'x': -3.85543, 'y': 2.60814, 'turn_angle': -0.531733, 'incoming_length': 3.32484, 'outgoing_length': 0.546346, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0734449, 'equivalent_radius_max': 2.00632, 'trim_min': 0.02, 'trim_max': 0.546346, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.460019, 'selected_trim': 0.125269, 'selected_control_distance': 0.0408631, 'selected_control_fraction': 0.326202, 'selected_score': 0.56989}, {'index': 2, 'x': -3.57201, 'y': 3.07523, 'turn_angle': -0.767313, 'incoming_length': 0.546346, 'outgoing_length': 0.416968, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0495468, 'equivalent_radius_max': 1.03297, 'trim_min': 0.02, 'trim_max': 0.416968, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.344574, 'selected_trim': 0.13909, 'selected_control_distance': 0.0486816, 'selected_control_fraction': 0.35, 'selected_score': 0.719345}, {'index': 3, 'x': -3.16886, 'y': 3.18166, 'turn_angle': -0.257947, 'incoming_length': 0.416968, 'outgoing_length': 6.36765, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.15421, 'equivalent_radius_max': 3.21502, 'trim_min': 0.02, 'trim_max': 0.416968, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.460291, 'selected_trim': 0.0596968, 'selected_control_distance': 0.019648, 'selected_control_fraction': 0.32913, 'selected_score': 0.433429}, {'index': 4, 'x': 3.19879, 'y': 3.18264, 'turn_angle': -0.207072, 'incoming_length': 6.36765, 'outgoing_length': 0.347073, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.192478, 'equivalent_radius_max': 3.3402, 'trim_min': 0.02, 'trim_max': 0.347073, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 0.507251, 'selected_trim': 0.0527073, 'selected_control_distance': 0.017364, 'selected_control_fraction': 0.329441, 'selected_score': 0.371407}, {'index': 5, 'x': 3.53846, 'y': 3.11134, 'turn_angle': -0.430017, 'incoming_length': 0.347073, 'outgoing_length': 1.19606, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0915816, 'equivalent_radius_max': 1.58928, 'trim_min': 0.02, 'trim_max': 0.347073, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.840429, 'selected_trim': 0.183537, 'selected_control_distance': 0.0601167, 'selected_control_fraction': 0.327546, 'selected_score': 0.397309}]",6,60,240,none,6,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.9306, 'max_curvature_1pm': 3.39557, 'curvature_energy_1pm': 4.69355, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.618113,562,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.6996, 'max_curvature_1pm': 3.33104, 'curvature_energy_1pm': 4.28232, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.654496,False,True,no_los_quality_not_worse,0.109981,252,0.428071,651,0,0,562,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 7, 'shape_transition requires a reversing inner wheel': 18, 'transition requires a reversing inner wheel': 8}",0.0839833,joint_d_q,0.05,,direct_metric,215,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,4.693554208838184,3.395566432810808,13.930597045538647,1,0.12384565100001055
0.006,25.664991235682187,1.1102230246251565e-16,1.2523007787387207e-17,,0.4974294375926615,0.1449222268733815,0.2146446641391273,0,567,13.67248242051459,raw,0.05,274,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,13.919838025877462,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,25.664991235682187,13.67248242051459,13.919838025877462,1,0.014468851999481558
0.12300000000000001,2.6854270086889134,0.16008045601328635,0.07150996411077784,,0.4054861403997798,0.1449222268733815,0.1449222268733815,0,467,2.199474321400492,pstmo,0.05,434,9cb750377267ede2c98f06463ec63d7c0abcc09c847e3f1e17f081d76d33c143,13.71167797328545,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,276,128,59,"[[-4.5, -2.4], [-3.22772, -3.15788], [3.525, -3.075], [3.94925, -1.97799], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.22772, 'y': -3.15788, 'turn_angle': 0.549515, 'incoming_length': 1.4809, 'outgoing_length': 6.75323, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0709505, 'equivalent_radius_max': 5.25354, 'trim_min': 0.02, 'trim_max': 1.4809, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 1.98203, 'selected_trim': 0.558708, 'selected_control_distance': 0.195548, 'selected_control_fraction': 0.35, 'selected_score': 0.344466}, {'index': 1, 'x': 3.525, 'y': -3.075, 'turn_angle': 1.1895, 'incoming_length': 6.75323, 'outgoing_length': 1.17619, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0295657, 'equivalent_radius_max': 1.73875, 'trim_min': 0.02, 'trim_max': 1.17619, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 8, 'states': 10, 'selected_radius': 0.54232, 'selected_trim': 0.366858, 'selected_control_distance': 0.113122, 'selected_control_fraction': 0.308354, 'selected_score': 0.751649}, {'index': 2, 'x': 3.94925, 'y': -1.97799, 'turn_angle': 0.243877, 'incoming_length': 1.17619, 'outgoing_length': 4.41249, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.163203, 'equivalent_radius_max': 9.59793, 'trim_min': 0.02, 'trim_max': 1.17619, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 2.05015, 'selected_trim': 0.251239, 'selected_control_distance': 0.0827136, 'selected_control_fraction': 0.329223, 'selected_score': 0.256303}]",3,30,120,none,3,4,444,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8787, 'max_curvature_1pm': 3.9609, 'curvature_energy_1pm': 4.77881, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.628115,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7117, 'max_curvature_1pm': 2.19947, 'curvature_energy_1pm': 2.68543, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",440,0.607432,True,True,los_quality_improvement,0.122482,252,0.450806,434,0,0,274,"{'shape_angular acceleration iteration did not converge': 1, 'shape_swept_footprint': 40, 'shape_transition requires a reversing inner wheel': 13, 'swept_footprint': 15, 'transition requires a reversing inner wheel': 6}",0.04746,joint_d_q,0.05,,direct_metric,66,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,2.6854270086889134,2.199474321400492,13.71167797328545,1,0.13433371499922941
0.006,4.535312068225989,4.440892098500626e-16,4.9569171808876124e-17,,0.35803324055731967,0.17677669793081488,0.2146446641391273,0,533,2.377645564495028,raw,0.05,271,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,13.977148192216665,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,4.535312068225989,2.377645564495028,13.977148192216665,1,0.011943579998842324
0.099,4.500460853552226,0.17223831678087712,0.03804708103188912,,0.40948650723035684,0.18825146149581692,0.18825146149581692,0,574,3.961653334791802,pstmo,0.05,557,f0193854cda24aff164c430ef31e12d3244c1e51fd8a1d9f4ef06f0d0b90c176,13.871632324703178,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,279,251,228,"[[-4.5, -2.4], [-3.82081, -1.35], [-3.79351, 2.49996], [-3.69896, 2.84641], [-3.49641, 3.04896], [-2.99999, 3.14886], [3.1, 3.14351], [3.45, 3.04921], [4.5, 2.4]]",271,0.075,0.0665456,0.15,0,9,0,8,"[{'index': 0, 'x': -3.82081, 'y': -1.35, 'turn_angle': 0.56706, 'incoming_length': 1.25052, 'outgoing_length': 3.85006, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0686388, 'equivalent_radius_max': 4.2917, 'trim_min': 0.02, 'trim_max': 1.25052, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 4.2917, 'selected_trim': 1.25052, 'selected_control_distance': 0.407243, 'selected_control_fraction': 0.32566, 'selected_score': 0.166268}, {'index': 1, 'x': -3.79351, 'y': 2.49996, 'turn_angle': -0.259334, 'incoming_length': 3.85006, 'outgoing_length': 0.359123, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.153376, 'equivalent_radius_max': 2.75404, 'trim_min': 0.02, 'trim_max': 0.359123, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 0.803541, 'selected_trim': 0.104781, 'selected_control_distance': 0.0344855, 'selected_control_fraction': 0.32912, 'selected_score': 0.334028}, {'index': 2, 'x': -3.69896, 'y': 2.84641, 'turn_angle': -0.518972, 'incoming_length': 0.359123, 'outgoing_length': 0.286442, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0753377, 'equivalent_radius_max': 1.07899, 'trim_min': 0.02, 'trim_max': 0.286442, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.426618, 'selected_trim': 0.113255, 'selected_control_distance': 0.036965, 'selected_control_fraction': 0.326388, 'selected_score': 0.599701}, {'index': 3, 'x': -3.49641, 'y': 3.04896, 'turn_angle': -0.586803, 'incoming_length': 0.286442, 'outgoing_length': 0.506371, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0661987, 'equivalent_radius_max': 0.948104, 'trim_min': 0.02, 'trim_max': 0.286442, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.286675, 'selected_trim': 0.0866105, 'selected_control_distance': 0.0303137, 'selected_control_fraction': 0.35, 'selected_score': 0.717504}, {'index': 4, 'x': -2.99999, 'y': 3.14886, 'turn_angle': -0.199472, 'incoming_length': 0.506371, 'outgoing_length': 6.1, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.199864, 'equivalent_radius_max': 5.06026, 'trim_min': 0.02, 'trim_max': 0.506371, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 1.17194, 'selected_trim': 0.117274, 'selected_control_distance': 0.0386397, 'selected_control_fraction': 0.329481, 'selected_score': 0.249993}, {'index': 5, 'x': 3.1, 'y': 3.14351, 'turn_angle': -0.262296, 'incoming_length': 6.1, 'outgoing_length': 0.36248, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.151624, 'equivalent_radius_max': 2.74804, 'trim_min': 0.02, 'trim_max': 0.36248, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 0.800727, 'selected_trim': 0.10562, 'selected_control_distance': 0.0347596, 'selected_control_fraction': 0.3291, 'selected_score': 0.365026}, {'index': 6, 'x': 3.45, 'y': 3.04921, 'turn_angle': -0.290593, 'incoming_length': 0.36248, 'outgoing_length': 1.2345, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.136679, 'equivalent_radius_max': 2.47718, 'trim_min': 0.02, 'trim_max': 0.36248, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.487754, 'selected_trim': 0.0713721, 'selected_control_distance': 0.0249802, 'selected_control_fraction': 0.35, 'selected_score': 0.470811}]",7,70,280,none,7,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8716, 'max_curvature_1pm': 3.96165, 'curvature_energy_1pm': 4.50046, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 228}",0.654796,271,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7223, 'max_curvature_1pm': 4.85609, 'curvature_energy_1pm': 5.23207, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.686645,False,True,no_los_quality_not_worse,0.0998254,252,0.414762,557,0,0,271,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 6, 'shape_transition requires a reversing inner wheel': 22, 'transition requires a reversing inner wheel': 9}",0.0704599,joint_d_q,0.05,,direct_metric,252,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,4.500460853552226,3.961653334791802,13.871632324703178,1,0.11266138199971465
0.006,9.499945297408113,4.440892098500626e-16,4.716307709341703e-17,,0.47836007011193754,0.21959563989254183,0.25619225950049973,0,334,3.503879151970223,raw,0.05,159,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,14.104165262679045,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,9.499945297408113,3.503879151970223,14.104165262679045,1,0.01169563300027221
0.156,2.6035360944426835,0.36942561782550337,0.12138792743673238,,0.357854581994623,0.1449222268733815,0.16464466339406925,0,446,2.0973032772648823,pstmo,0.05,433,66086ede3578be9c7250d413fbd55097dad3766f55f1af76f7db2f42f55bb1af,13.716160532810164,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,276,122,74,"[[-4.5, -2.4], [-3.65862, 2.98309], [-2.95995, 3.13762], [3.58782, 3.06623], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.65862, 'y': 2.98309, 'turn_angle': -1.19808, 'incoming_length': 5.44845, 'outgoing_length': 0.715557, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0292943, 'equivalent_radius_max': 1.04809, 'trim_min': 0.02, 'trim_max': 0.715557, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 0.627835, 'selected_trim': 0.42864, 'selected_control_distance': 0.150024, 'selected_control_fraction': 0.35, 'selected_score': 0.732655}, {'index': 1, 'x': -2.95995, 'y': 3.13762, 'turn_angle': -0.228576, 'incoming_length': 0.715557, 'outgoing_length': 6.54816, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.174234, 'equivalent_radius_max': 6.23371, 'trim_min': 0.02, 'trim_max': 0.715557, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 1.38613, 'selected_trim': 0.159111, 'selected_control_distance': 0.0523982, 'selected_control_fraction': 0.329318, 'selected_score': 0.290584}, {'index': 2, 'x': 3.58782, 'y': 3.06623, 'turn_angle': -0.619917, 'incoming_length': 6.54816, 'outgoing_length': 1.12957, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.062445, 'equivalent_radius_max': 3.5268, 'trim_min': 0.02, 'trim_max': 1.12957, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 1.94619, 'selected_trim': 0.623328, 'selected_control_distance': 0.218165, 'selected_control_fraction': 0.35, 'selected_score': 0.364226}]",3,30,120,none,3,4,207,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.9996, 'max_curvature_1pm': 2.98661, 'curvature_energy_1pm': 5.57974, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 202}",0.634809,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7162, 'max_curvature_1pm': 2.0973, 'curvature_energy_1pm': 2.60354, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",203,0.601432,True,True,los_quality_improvement,0.154988,252,0.462488,433,0,0,159,"{'shape_angular acceleration iteration did not converge': 2, 'shape_swept_footprint': 26, 'shape_transition requires a reversing inner wheel': 11, 'swept_footprint': 7, 'transition requires a reversing inner wheel': 5}",0.0367151,joint_d_q,0.05,,direct_metric,81,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,2.6035360944426835,2.0973032772648823,13.716160532810164,1,0.16546453599949018
