algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,193.58502356839998,4.440892098500626e-16,6.904334226865165e-17,,0.4226844507865317,0.17677669793081488,0.2146446641391273,0,596,18.43873273443626,raw,0.05,576,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,14.651809137099276,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,193.58502356839998,18.43873273443626,14.651809137099276,1,0.019709156000317307
0.219,2.528284213736406,0.25905331124580216,0.1238526940216641,,0.3405053189319137,0.1449222268733815,0.1449222268733815,0,436,1.254300110453038,pstmo,0.05,426,76aed827ceb4841bece67397c6cc1573ae6a5db84bde2b76e9771d88ff9ddbf0,13.883073924810967,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,279,200,57,"[[-5, -3], [-2.24989, -2.0129], [-1.59847, 2.14521], [0.70286, 3.40787], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.24989, 'y': -2.0129, 'turn_angle': 1.07079, 'incoming_length': 2.9219, 'outgoing_length': 4.20883, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0337163, 'equivalent_radius_max': 1.34865, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 1.06923, 'selected_trim': 0.63425, 'selected_control_distance': 0.221988, 'selected_control_fraction': 0.35, 'selected_score': 0.586328}, {'index': 1, 'x': -1.59847, 'y': 2.14521, 'turn_angle': -0.913579, 'incoming_length': 4.20883, 'outgoing_length': 2.62496, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0406954, 'equivalent_radius_max': 1.62782, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 0.973128, 'selected_trim': 0.47825, 'selected_control_distance': 0.167387, 'selected_control_fraction': 0.35, 'selected_score': 0.575189}, {'index': 2, 'x': 0.70286, 'y': 3.40787, 'turn_angle': -0.596452, 'incoming_length': 2.62496, 'outgoing_length': 4.31645, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0650632, 'equivalent_radius_max': 2.60253, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 1.5241, 'selected_trim': 0.4685, 'selected_control_distance': 0.163975, 'selected_control_fraction': 0.35, 'selected_score': 0.40121}]",3,30,120,none,3,4,906,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 14.3633, 'max_curvature_1pm': 3.8643, 'curvature_energy_1pm': 12.4572, 'pivot_rotation_rad': 1.03417, 'peak_proximity_cost': 228}",0.719002,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8831, 'max_curvature_1pm': 1.2543, 'curvature_energy_1pm': 2.52828, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",902,0.576393,True,True,los_quality_improvement,0.217041,252,0.520909,426,0,0,576,"{'shape_angular acceleration iteration did not converge': 1, 'shape_swept_footprint': 32, 'shape_transition requires a reversing inner wheel': 18, 'swept_footprint': 10, 'transition requires a reversing inner wheel': 9}",0.0434634,joint_d_q,0.05,,direct_metric,69,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,2.528284213736406,1.254300110453038,13.883073924810967,1,0.2281926800005749
0.003,70.26278929843387,4.440892098500626e-16,5.0967702326223156e-17,,0.4386192003576109,0.16464466339406925,0.2146446641391273,0,585,13.045374804327867,raw,0.05,572,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,14.311653522013033,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,70.26278929843387,13.045374804327867,14.311653522013033,1,0.04124376599975221
0.15000000000000002,2.605607195525375,0.2120713303782076,0.09991486901330873,,0.3292872819045617,0.1449222268733815,0.1449222268733815,0,483,1.4113392214987102,pstmo,0.05,473,3aad8bb3fe91b2eee1e1dbd7e19e15b620fca3cc93d720fccac312af4577dda4,13.88458991207599,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,279,200,46,"[[-5, -3], [-2.29363, -2.02471], [-1.58507, 2.20045], [0.709773, 3.40773], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.29363, 'y': -2.02471, 'turn_angle': 1.05876, 'incoming_length': 2.87674, 'outgoing_length': 4.28417, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0341831, 'equivalent_radius_max': 1.36733, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 11, 'states': 10, 'selected_radius': 0.900725, 'selected_trim': 0.527, 'selected_control_distance': 0.18445, 'selected_control_fraction': 0.35, 'selected_score': 0.62392}, {'index': 1, 'x': -1.58507, 'y': 2.20045, 'turn_angle': -0.920347, 'incoming_length': 4.28417, 'outgoing_length': 2.59303, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0403498, 'equivalent_radius_max': 1.61399, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 1.04355, 'selected_trim': 0.51725, 'selected_control_distance': 0.1644, 'selected_control_fraction': 0.317834, 'selected_score': 0.555336}, {'index': 2, 'x': 0.709773, 'y': 3.40773, 'turn_angle': -0.579045, 'incoming_length': 2.59303, 'outgoing_length': 4.30956, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0671382, 'equivalent_radius_max': 2.68553, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 1.53998, 'selected_trim': 0.45875, 'selected_control_distance': 0.160562, 'selected_control_fraction': 0.35, 'selected_score': 0.394643}]",3,30,120,none,3,4,906,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 14.1138, 'max_curvature_1pm': 3.54568, 'curvature_energy_1pm': 3.66676, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.650409,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8846, 'max_curvature_1pm': 1.41134, 'curvature_energy_1pm': 2.60561, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",902,0.586249,True,True,los_quality_improvement,0.150829,252,0.524633,473,0,0,572,"{'shape_angular acceleration iteration did not converge': 5, 'shape_swept_footprint': 40, 'shape_transition requires a reversing inner wheel': 18, 'swept_footprint': 14, 'transition requires a reversing inner wheel': 9}",0.0462892,joint_d_q,0.05,,direct_metric,57,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,2.605607195525375,1.4113392214987102,13.88458991207599,1,0.1634786440008611
0.006,38.978975011993995,4.440892098500626e-16,8.287869596705818e-17,,0.42371085436151035,0.1449222268733815,0.2146446641391273,0,556,13.816020116667039,raw,0.05,273,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,14.17896020420002,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,38.978975011993995,13.816020116667039,14.17896020420002,1,0.011625047000052291
0.126,3.2873772523115394,0.30769279035202146,0.11388907596734935,,0.32302477031430316,0.1449222268733815,0.1449222268733815,0,500,2.2340489051984695,pstmo,0.05,490,328568a60d307a17e6c1c013c08b93ca1ca152c08ca6762be9dd46c2c15f6374,13.88308994792647,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,279,219,80,"[[-5, -3], [-0.825829, -3.39346], [-0.175, -3.225], [1.73713, -1.92649], [2.375, 2.075], [5, 3]]",6,0.075,0,0.15,0,6,0,0,"[{'index': 0, 'x': -0.825829, 'y': -3.39346, 'turn_angle': 0.347271, 'incoming_length': 4.19267, 'outgoing_length': 0.672279, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.114024, 'equivalent_radius_max': 3.83279, 'trim_min': 0.02, 'trim_max': 0.672279, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 2.99607, 'selected_trim': 0.525516, 'selected_control_distance': 0.183931, 'selected_control_fraction': 0.35, 'selected_score': 0.247585}, {'index': 1, 'x': -0.175, 'y': -3.225, 'turn_angle': 0.343267, 'incoming_length': 0.672279, 'outgoing_length': 2.31135, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.115381, 'equivalent_radius_max': 3.8784, 'trim_min': 0.02, 'trim_max': 0.672279, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.491683, 'selected_trim': 0.0852279, 'selected_control_distance': 0.0298298, 'selected_control_fraction': 0.35, 'selected_score': 0.534941}, {'index': 2, 'x': 1.73713, 'y': -1.92649, 'turn_angle': 0.816163, 'incoming_length': 2.31135, 'outgoing_length': 4.05202, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0462586, 'equivalent_radius_max': 1.85034, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 1.21891, 'selected_trim': 0.527, 'selected_control_distance': 0.18445, 'selected_control_fraction': 0.35, 'selected_score': 0.501856}, {'index': 3, 'x': 2.375, 'y': 2.075, 'turn_angle': -1.07392, 'incoming_length': 4.05202, 'outgoing_length': 2.78321, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0335961, 'equivalent_radius_max': 1.34384, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 11, 'states': 10, 'selected_radius': 0.655964, 'selected_trim': 0.3905, 'selected_control_distance': 0.136675, 'selected_control_fraction': 0.35, 'selected_score': 0.700591}]",4,40,160,none,4,5,552,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 14.0239, 'max_curvature_1pm': 3.79287, 'curvature_energy_1pm': 4.42465, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.66516,6,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8831, 'max_curvature_1pm': 2.23405, 'curvature_energy_1pm': 3.28738, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",547,0.6205,True,True,los_quality_improvement,0.125582,252,0.496243,490,0,0,273,"{'shape_angular acceleration iteration did not converge': 5, 'shape_swept_footprint': 40, 'shape_transition requires a reversing inner wheel': 16, 'swept_footprint': 15, 'transition requires a reversing inner wheel': 8}",0.0470897,joint_d_q,0.05,,direct_metric,99,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,3.2873772523115394,2.2340489051984695,13.88308994792647,1,0.1395080099991901
0.012,8.247731069623203,1.1102230246251565e-16,1.8793190426225067e-17,,0.3594264613058574,0.2146446641391273,0.2146446641391273,0,535,2.3776448004976283,raw,0.05,269,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,14.428028677732053,0,0.0,0,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,True,8.247731069623203,2.3776448004976283,14.428028677732053,1,0.01676192300146795
0.192,3.3363945378509485,0.4091286182958191,0.1620717047938887,,0.3482790980543732,0.1449222268733815,0.1449222268733815,0,513,1.7369146981654506,pstmo,0.05,499,5e28dc4be616ff4d95fc6b23d2f377533f6a75a2aaa5e54f802237857911abbf,13.860498667373035,0,0.0,0,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,279,300,81,"[[-5, -3], [-2.35008, -2.04354], [-1.63051, 2.03862], [0.65, 3.38764], [4.65, 3.16077], [5, 3]]",6,0.075,0,0.15,0,6,0,0,"[{'index': 0, 'x': -2.35008, 'y': -2.04354, 'turn_angle': 1.04993, 'incoming_length': 2.81725, 'outgoing_length': 4.1451, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.034532, 'equivalent_radius_max': 1.38128, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 0.691072, 'selected_trim': 0.40025, 'selected_control_distance': 0.12556, 'selected_control_fraction': 0.313703, 'selected_score': 0.676423}, {'index': 1, 'x': -1.63051, 'y': 2.03862, 'turn_angle': -0.862139, 'incoming_length': 4.1451, 'outgoing_length': 2.64964, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0434862, 'equivalent_radius_max': 1.73945, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 0.870268, 'selected_trim': 0.40025, 'selected_control_distance': 0.140088, 'selected_control_fraction': 0.35, 'selected_score': 0.589943}, {'index': 2, 'x': 0.65, 'y': 3.38764, 'turn_angle': -0.590836, 'incoming_length': 2.64964, 'outgoing_length': 4.00643, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0657196, 'equivalent_radius_max': 2.62878, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 1.25114, 'selected_trim': 0.38075, 'selected_control_distance': 0.133263, 'selected_control_fraction': 0.35, 'selected_score': 0.437959}, {'index': 3, 'x': 4.65, 'y': 3.16077, 'turn_angle': -0.373933, 'incoming_length': 4.00643, 'outgoing_length': 0.385157, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.105722, 'equivalent_radius_max': 2.03597, 'trim_min': 0.02, 'trim_max': 0.385157, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 2.03597, 'selected_trim': 0.385157, 'selected_control_distance': 0.126391, 'selected_control_fraction': 0.328155, 'selected_score': 0.193967}]",4,40,160,none,4,5,447,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 14.2213, 'max_curvature_1pm': 2.68885, 'curvature_energy_1pm': 7.87255, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 251}",0.671578,6,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8605, 'max_curvature_1pm': 1.73691, 'curvature_energy_1pm': 3.33639, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",442,0.608667,True,True,los_quality_improvement,0.173783,252,0.474573,499,0,0,269,"{'shape_angular acceleration iteration did not converge': 4, 'shape_swept_footprint': 31, 'shape_transition requires a reversing inner wheel': 21, 'swept_footprint': 13, 'transition requires a reversing inner wheel': 10}",0.0449454,joint_d_q,0.05,,direct_metric,104,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,True,3.3363945378509485,1.7369146981654506,13.860498667373035,1,0.20504057700054545
0.015000000000000001,11.74661485855469,4.440892098500626e-16,7.117807217824894e-17,,0.4708463681966987,0.2146446641391273,0.2146446641391273,0,356,4.13093085411922,raw,0.05,162,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,14.324293623728634,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,11.74661485855469,4.13093085411922,14.324293623728634,1,0.01638857900070434
0.186,2.914050417184197,0.23656483515603383,0.11998824732284398,,0.33629254132197905,0.1449222268733815,0.1449222268733815,0,449,1.4974278346601546,pstmo,0.05,439,6ecfd0b8e7d86ba52e16320ae6a11e8f43d9a39a3b71bdebdf5a05595857bcaf,13.883770119577605,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,279,210,45,"[[-5, -3], [-2.30715, -2.03754], [-1.58863, 2.15663], [0.62525, 3.37915], [1.80064, 3.32797], [5, 3]]",6,0.075,0,0.15,0,6,1,0,"[{'index': 0, 'x': -2.30715, 'y': -2.03754, 'turn_angle': 1.05786, 'incoming_length': 2.85968, 'outgoing_length': 4.25527, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0342183, 'equivalent_radius_max': 1.36873, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 11, 'states': 10, 'selected_radius': 0.851608, 'selected_trim': 0.49775, 'selected_control_distance': 0.174212, 'selected_control_fraction': 0.35, 'selected_score': 0.637012}, {'index': 1, 'x': -1.58863, 'y': 2.15663, 'turn_angle': -0.896593, 'incoming_length': 4.25527, 'outgoing_length': 2.52899, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0415838, 'equivalent_radius_max': 1.66335, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 12, 'states': 10, 'selected_radius': 0.933557, 'selected_trim': 0.449, 'selected_control_distance': 0.143012, 'selected_control_fraction': 0.318511, 'selected_score': 0.576517}, {'index': 2, 'x': 0.62525, 'y': 3.37915, 'turn_angle': -0.548051, 'incoming_length': 2.52899, 'outgoing_length': 1.17651, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0711499, 'equivalent_radius_max': 2.84599, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 1.11172, 'selected_trim': 0.3125, 'selected_control_distance': 0.109375, 'selected_control_fraction': 0.35, 'selected_score': 0.449455}, {'index': 3, 'x': 1.80064, 'y': 3.32797, 'turn_angle': -0.0586373, 'incoming_length': 1.17651, 'outgoing_length': 3.21612, 'pivot_safe': True, 'pass_through': True, 'equivalent_radius_min': 0, 'equivalent_radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'trim_evaluations': 0, 'evaluations': 0, 'safe_feasible': 0, 'states': 1, 'selected_radius': 0, 'selected_trim': 0, 'selected_control_distance': 0, 'selected_control_fraction': 0, 'selected_score': 0}]",4,31,120,none,3,5,308,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 14.2097, 'max_curvature_1pm': 3.01753, 'curvature_energy_1pm': 5.61265, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.665254,6,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8838, 'max_curvature_1pm': 1.49743, 'curvature_energy_1pm': 2.91405, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",303,0.595981,True,True,los_quality_improvement,0.182998,252,0.554328,439,1,0,162,"{'shape_angular acceleration iteration did not converge': 3, 'shape_swept_footprint': 41, 'shape_transition requires a reversing inner wheel': 18, 'swept_footprint': 15, 'transition requires a reversing inner wheel': 9}",0.0308316,joint_d_q,0.05,,direct_metric,58,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,2.914050417184197,1.4974278346601546,13.883770119577605,1,0.19549099799951364
