algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,84.24691990058868,2.220446049250313e-16,3.4349331780431376e-17,,0.45833614915043486,0.16464466339406925,0.2146446641391273,0,343,28.879270465756857,raw,0.05,311,05afec10d3c2ff3c78196a7bbc648e441c0f6c4b10ab67aea805f3e435f73f22,7.875649677732762,0,0.0,0,NavFnAStar,c96d8379f3aeb1cf177584548c1c7e769f7df30a4958e3049851991ece954c67,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05afec10d3c2ff3c78196a7bbc648e441c0f6c4b10ab67aea805f3e435f73f22,0,1,cross_aisle_transfer,True,84.24691990058868,28.879270465756857,7.875649677732762,1,0.007036491000690148
0.099,1.4456252948034813,0.38438887529752735,0.1659668937692569,,0.3734719706308589,0.1449222268733815,0.1449222268733815,0,311,1.1777928982579178,pstmo,0.05,304,a73b79a3899559d5b0a1f72c4bbac987069bc16320738ed95db7fe9511ffcfb4,7.425555366393632,0,0.0,0,NavFnAStar,c96d8379f3aeb1cf177584548c1c7e769f7df30a4958e3049851991ece954c67,150,100,29,"[[-2, -2.8], [-1.51716, -0.70556], [1.72135, 1.14607], [2, 2.8]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -1.51716, 'y': -0.70556, 'turn_angle': -0.824827, 'incoming_length': 2.14938, 'outgoing_length': 3.73048, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0457139, 'equivalent_radius_max': 1.82856, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 16, 'states': 10, 'selected_radius': 1.71713, 'selected_trim': 0.75125, 'selected_control_distance': 0.262937, 'selected_control_fraction': 0.35, 'selected_score': 0.432735}, {'index': 1, 'x': 1.72135, 'y': 1.14607, 'turn_angle': 0.884493, 'incoming_length': 3.73048, 'outgoing_length': 1.67723, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0422362, 'equivalent_radius_max': 1.68945, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 9, 'states': 10, 'selected_radius': 1.03056, 'selected_trim': 0.488, 'selected_control_distance': 0.1708, 'selected_control_fraction': 0.35, 'selected_score': 0.555382}]",2,20,80,none,2,3,288,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.69331, 'max_curvature_1pm': 2.6833, 'curvature_energy_1pm': 3.87264, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.592858,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.42556, 'max_curvature_1pm': 1.17779, 'curvature_energy_1pm': 1.44563, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",285,0.530077,True,True,los_quality_improvement,0.0970678,252,0.494058,304,0,0,311,"{'shape_angular acceleration iteration did not converge': 2, 'shape_swept_footprint': 29, 'shape_transition requires a reversing inner wheel': 10, 'swept_footprint': 10, 'transition requires a reversing inner wheel': 5}",0.0269201,joint_d_q,0.05,,direct_metric,39,05afec10d3c2ff3c78196a7bbc648e441c0f6c4b10ab67aea805f3e435f73f22,0,1,cross_aisle_transfer,True,1.4456252948034813,1.1777928982579178,7.425555366393632,1,0.10594853600014176
0.003,52.666043764096905,2.220446049250313e-16,3.121773541233816e-17,,0.47992595897837464,0.16464466339406925,0.2146446641391273,0,332,13.16510215708896,raw,0.05,305,5c3c27c882642aa407d8b0c199a5609a6f0426a36597bd477de1765e5c78afb1,7.647300389169314,0,0.0,0,NavFnDijkstra,92f64f5b18a98f201e55e769c8eeda795775cb3ea34e9f1003cf979982c7b651,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5c3c27c882642aa407d8b0c199a5609a6f0426a36597bd477de1765e5c78afb1,0,1,cross_aisle_transfer,True,52.666043764096905,13.16510215708896,7.647300389169314,1,0.011934623000342981
0.066,1.5595789026967253,0.17661440182205274,0.07072657491219639,,0.3175715824692797,0.1449222268733815,0.1449222268733815,0,317,1.0697768098718914,pstmo,0.05,310,71341655b6354eed84dfa3328d37a182819f3cf04ce5a5ae2dba8f07545620ad,7.398905373794787,0,0.0,0,NavFnDijkstra,92f64f5b18a98f201e55e769c8eeda795775cb3ea34e9f1003cf979982c7b651,149,100,28,"[[-2, -2.8], [-1.55278, -0.882669], [1.71476, 1.14115], [2, 2.8]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -1.55278, 'y': -0.882669, 'turn_angle': -0.787099, 'incoming_length': 1.9688, 'outgoing_length': 3.84351, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0481684, 'equivalent_radius_max': 1.92673, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 1.10486, 'selected_trim': 0.45875, 'selected_control_distance': 0.160562, 'selected_control_fraction': 0.35, 'selected_score': 0.516711}, {'index': 1, 'x': 1.71476, 'y': 1.14115, 'turn_angle': 0.84597, 'incoming_length': 3.84351, 'outgoing_length': 1.6832, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0444289, 'equivalent_radius_max': 1.77716, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 1.14904, 'selected_trim': 0.51725, 'selected_control_distance': 0.181037, 'selected_control_fraction': 0.35, 'selected_score': 0.521861}]",2,20,80,none,2,3,293,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.46749, 'max_curvature_1pm': 2.95863, 'curvature_energy_1pm': 2.41745, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.612126,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.39891, 'max_curvature_1pm': 1.06978, 'curvature_energy_1pm': 1.55958, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",290,0.538007,True,True,los_quality_improvement,0.0655095,252,0.519286,310,0,0,305,"{'shape_angular acceleration iteration did not converge': 4, 'shape_swept_footprint': 27, 'shape_transition requires a reversing inner wheel': 9, 'swept_footprint': 9, 'transition requires a reversing inner wheel': 4}",0.0263275,joint_d_q,0.05,,direct_metric,40,5c3c27c882642aa407d8b0c199a5609a6f0426a36597bd477de1765e5c78afb1,0,1,cross_aisle_transfer,True,1.5595789026967253,1.0697768098718914,7.398905373794787,1,0.07351738900069904
0.003,23.59906382623194,2.220446049250313e-16,4.248168915151328e-17,,0.4858313156102255,0.1449222268733815,0.1764778602726078,0,300,10.56635122491502,raw,0.05,138,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,7.5479897866829075,0,0.0,0,ThetaStar,fb05dea419505c5e6927b89601a96b65ece25689a5b0c7c4bab5693e352192d8,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,0,1,cross_aisle_transfer,True,23.59906382623194,10.56635122491502,7.5479897866829075,1,0.007038211000690353
0.078,1.6196287318806002,0.1738616629160313,0.08249449659595502,,0.31117305648525867,0.1449222268733815,0.1449222268733815,0,306,1.2194432044094436,pstmo,0.05,299,c32a3c0d7e854b214442347517b4b6a83b354b07fea0570ab4bb81b422025532,7.38216354570976,0,0.0,0,ThetaStar,fb05dea419505c5e6927b89601a96b65ece25689a5b0c7c4bab5693e352192d8,149,100,37,"[[-2, -2.8], [-1.575, -0.975], [1.73713, 1.17351], [2, 2.8]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -1.575, 'y': -0.975, 'turn_angle': -0.766551, 'incoming_length': 1.87383, 'outgoing_length': 3.94794, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0496012, 'equivalent_radius_max': 1.98405, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 0.968464, 'selected_trim': 0.3905, 'selected_control_distance': 0.136675, 'selected_control_fraction': 0.35, 'selected_score': 0.541703}, {'index': 1, 'x': 1.73713, 'y': 1.17351, 'turn_angle': 0.835116, 'incoming_length': 3.94794, 'outgoing_length': 1.6476, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0450809, 'equivalent_radius_max': 1.80324, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 14, 'states': 10, 'selected_radius': 1.1659, 'selected_trim': 0.51725, 'selected_control_distance': 0.181037, 'selected_control_fraction': 0.35, 'selected_score': 0.516098}]",2,20,80,none,2,3,135,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.43038, 'max_curvature_1pm': 2.67465, 'curvature_energy_1pm': 2.25831, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.603629,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.38216, 'max_curvature_1pm': 1.21944, 'curvature_energy_1pm': 1.61963, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",132,0.546562,True,True,los_quality_improvement,0.0785232,252,0.528901,299,0,0,138,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 2, 'shape_swept_footprint': 29, 'shape_transition requires a reversing inner wheel': 7, 'swept_footprint': 9, 'transition requires a reversing inner wheel': 3}",0.0262962,joint_d_q,0.05,,direct_metric,42,86c0fec4036278df23f064844c1f0f7af6c0b0c992699d18869cf0c976ddbf72,0,1,cross_aisle_transfer,True,1.6196287318806002,1.2194432044094436,7.38216354570976,1,0.08583375499983958
0.003,5.382961679799618,2.220446049250313e-16,3.203432735084718e-17,,0.4010963990162556,0.2146446641391273,0.2146446641391273,0,272,2.2994144342154526,raw,0.05,137,cc0ecf0017a72da480d65110187e446c0d92de60b1d659107dd78c8d29474526,7.699847732625692,0,0.0,0,Smac2D,1965a41fa15696aeb49a2166c2d0c6c449b4d835e335955b70c1665f16d27353,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc0ecf0017a72da480d65110187e446c0d92de60b1d659107dd78c8d29474526,0,1,cross_aisle_transfer,True,5.382961679799618,2.2994144342154526,7.699847732625692,1,0.007491284000934684
0.099,1.774027047030434,0.47510685932572455,0.1923543878772405,,0.33091020673208066,0.1449222268733815,0.1449222268733815,0,246,1.39039725738015,pstmo,0.05,241,013ac970787993d6b63786c012fd8cf34c9879cf62a820513025777ad9bd2c6b,7.367750906365142,0,0.0,0,Smac2D,1965a41fa15696aeb49a2166c2d0c6c449b4d835e335955b70c1665f16d27353,149,100,31,"[[-2, -2.8], [-1.58862, -1], [1.6789, 1.15195], [2, 2.8]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -1.58862, 'y': -1, 'turn_angle': -0.763723, 'incoming_length': 1.84641, 'outgoing_length': 3.9125, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0498042, 'equivalent_radius_max': 1.99217, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 1.04527, 'selected_trim': 0.41975, 'selected_control_distance': 0.146913, 'selected_control_fraction': 0.35, 'selected_score': 0.523457}, {'index': 1, 'x': 1.6789, 'y': 1.15195, 'turn_angle': 0.795983, 'incoming_length': 3.9125, 'outgoing_length': 1.67903, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0475706, 'equivalent_radius_max': 1.90282, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 13, 'states': 10, 'selected_radius': 0.859244, 'selected_trim': 0.36125, 'selected_control_distance': 0.126438, 'selected_control_fraction': 0.35, 'selected_score': 0.577219}]",2,20,80,none,2,3,136,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.52778, 'max_curvature_1pm': 2.70058, 'curvature_energy_1pm': 3.54805, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0.633663,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.36775, 'max_curvature_1pm': 1.3904, 'curvature_energy_1pm': 1.77403, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",133,0.554956,True,True,los_quality_improvement,0.0992606,252,0.550338,241,0,0,137,"{'shape_angular acceleration iteration did not converge': 2, 'shape_swept_footprint': 26, 'shape_transition requires a reversing inner wheel': 8, 'swept_footprint': 10, 'transition requires a reversing inner wheel': 4}",0.0252793,joint_d_q,0.05,,direct_metric,44,cc0ecf0017a72da480d65110187e446c0d92de60b1d659107dd78c8d29474526,0,1,cross_aisle_transfer,True,1.774027047030434,1.39039725738015,7.367750906365142,1,0.10644500699891069
0.003,6.188961979405489,2.220446049250313e-16,3.7306121897701683e-17,,0.5090353919264113,0.2808724311428359,0.28480087705617874,0,195,3.4493510756782158,raw,0.05,90,e7949e24ca771d34c2ad531e06ebf5afcfd4d59fde6fa9b73b33fb952479fc10,7.7077211950650355,0,0.0,0,SmacHybrid,9326f39a9528070904c4223926923f296284640324a5be5b915f0d01c3369592,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7949e24ca771d34c2ad531e06ebf5afcfd4d59fde6fa9b73b33fb952479fc10,0,1,cross_aisle_transfer,True,6.188961979405489,3.4493510756782158,7.7077211950650355,1,0.004708894999566837
0.093,1.184960932809471,0.18459962060215263,0.09816182587545937,,0.3253632302785667,0.1449222268733815,0.1449222268733815,0,402,0.7965741379226419,pstmo,0.05,395,575c4edcdc48ae4c7ae5907718a0f2edfbc73bae168d15e23cd48868df5d4356,7.412030004971083,0,0.0,0,SmacHybrid,9326f39a9528070904c4223926923f296284640324a5be5b915f0d01c3369592,150,100,47,"[[-2, -2.8], [-1.57197, -0.880599], [1.89578, 1.24431], [2, 2.8]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -1.57197, 'y': -0.880599, 'turn_angle': -0.801635, 'incoming_length': 1.96655, 'outgoing_length': 4.06701, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0471969, 'equivalent_radius_max': 1.88787, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 15, 'states': 10, 'selected_radius': 1.63478, 'selected_trim': 0.69275, 'selected_control_distance': 0.242463, 'selected_control_fraction': 0.35, 'selected_score': 0.437332}, {'index': 1, 'x': 1.89578, 'y': 1.24431, 'turn_angle': 0.954155, 'incoming_length': 4.06701, 'outgoing_length': 1.55918, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0386921, 'equivalent_radius_max': 1.54768, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 1.52882, 'selected_trim': 0.79025, 'selected_control_distance': 0.250374, 'selected_control_fraction': 0.316829, 'selected_score': 0.477675}]",2,20,80,none,2,3,92,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.57175, 'max_curvature_1pm': 1.83409, 'curvature_energy_1pm': 2.25411, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 214}",0.564493,4,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 7.41203, 'max_curvature_1pm': 0.796574, 'curvature_energy_1pm': 1.18496, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",89,0.507057,True,True,los_quality_improvement,0.0950595,252,0.457504,395,0,0,90,"{'shape_angular acceleration iteration did not converge': 2, 'shape_swept_footprint': 11, 'shape_transition requires a reversing inner wheel': 10, 'swept_footprint': 3, 'transition requires a reversing inner wheel': 5}",0.0260718,joint_d_q,0.05,,direct_metric,57,e7949e24ca771d34c2ad531e06ebf5afcfd4d59fde6fa9b73b33fb952479fc10,0,1,cross_aisle_transfer,True,1.184960932809471,0.7965741379226419,7.412030004971083,1,0.1039448249994166
