algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_completed,pstmo_los_enabled,pstmo_los_error,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_no_los_completed,pstmo_los_no_los_error,pstmo_los_no_los_quality,pstmo_los_no_los_score,pstmo_los_output_points,pstmo_los_quality,pstmo_los_safety_rejections,pstmo_los_score,pstmo_los_selected,pstmo_los_selection_enabled,pstmo_los_selection_reason,pstmo_los_selection_runtime_s,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,125.5648674190683,4.440892098500626e-16,5.584491901795352e-17,,0.4665304849038798,0.16464466339406925,0.2146446641391273,0,587,22.23731861949807,raw,0.05,562,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,14.06990166378934,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,125.5648674190683,22.23731861949807,14.06990166378934,1,0.010463946000527358
0.21000000000000002,4.994246568862949,0.06498390857250554,0.021292301881980693,,0.5669819432484299,0.2146446641391273,0.25619225950049973,0,492,3.7015275958084484,pstmo,0.05,458,cd5dde3a1ebd6f96c2647c586f37f28ee2d8b9bcae13e2f23713e1ff83e2bd16,13.945549302700819,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,280,212,239,"[[-4.5, -2.4], [-3.55104, -3.15507], [-3.21443, -3.28151], [3.40149, -3.21752], [3.75018, -2.74962], [4.27882, 1.4094], [4.5, 2.4]]",562,0.075,0.0713415,0.15,0,7,0,6,"[{'index': 0, 'x': -3.55104, 'y': -3.15507, 'turn_angle': 0.312774, 'incoming_length': 1.21271, 'outgoing_length': 0.359572, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.126844, 'equivalent_radius_max': 2.28047, 'trim_min': 0.02, 'trim_max': 0.359572, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.880613, 'selected_trim': 0.13885, 'selected_control_distance': 0.0456422, 'selected_control_fraction': 0.328716, 'selected_score': 0.314542}, {'index': 1, 'x': -3.21443, 'y': -3.28151, 'turn_angle': 0.368995, 'incoming_length': 0.359572, 'outgoing_length': 6.61623, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.10717, 'equivalent_radius_max': 1.92676, 'trim_min': 0.02, 'trim_max': 0.359572, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.380108, 'selected_trim': 0.0709358, 'selected_control_distance': 0.0319211, 'selected_control_fraction': 0.45, 'selected_score': 0.555535}, {'index': 2, 'x': 3.40149, 'y': -3.21752, 'turn_angle': 0.920681, 'incoming_length': 6.61623, 'outgoing_length': 0.583538, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0403329, 'equivalent_radius_max': 1.17679, 'trim_min': 0.02, 'trim_max': 0.583538, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 16, 'states': 10, 'selected_radius': 0.38127, 'selected_trim': 0.189061, 'selected_control_distance': 0.0661715, 'selected_control_fraction': 0.35, 'selected_score': 0.742503}, {'index': 3, 'x': 3.75018, 'y': -2.74962, 'turn_angle': 0.514016, 'incoming_length': 0.583538, 'outgoing_length': 4.19248, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0760976, 'equivalent_radius_max': 2.22029, 'trim_min': 0.02, 'trim_max': 0.583538, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.504937, 'selected_trim': 0.132708, 'selected_control_distance': 0.0433236, 'selected_control_fraction': 0.326459, 'selected_score': 0.561461}, {'index': 4, 'x': 4.27882, 'y': 1.4094, 'turn_angle': -0.0932515, 'incoming_length': 4.19248, 'outgoing_length': 1.015, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.428637, 'equivalent_radius_max': 17.1455, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 20, 'states': 10, 'selected_radius': 17.1455, 'selected_trim': 0.8, 'selected_control_distance': 0.28, 'selected_control_fraction': 0.35, 'selected_score': 0.00691573}]",5,50,400,none,5,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.9455, 'max_curvature_1pm': 3.70153, 'curvature_energy_1pm': 4.99425, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 202}",0.639722,562,"{'valid': True, 'safe': True, 'raw_fallback': True, 'length_m': 14.0699, 'max_curvature_1pm': 22.2373, 'curvature_energy_1pm': 125.565, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 251}",0,1.33049,False,True,no_los_quality_not_worse,0.210389,252,0.436191,458,0,0,562,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 7, 'shape_transition requires a reversing inner wheel': 97, 'transition requires a reversing inner wheel': 8}",0.175178,joint_d_q,0.05,,direct_metric,295,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,4.994246568862949,3.7015275958084484,13.945549302700819,1,0.22375272099998256
0.0,30.538653349676423,4.440892098500626e-16,3.6213987092314623e-17,,0.4149689556968361,0.17677669793081488,0.2574601203080526,0,584,11.406812986899268,raw,0.05,562,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,14.033639667604042,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,30.538653349676423,11.406812986899268,14.033639667604042,1,0.009687712999948417
0.228,5.777253865372586,0.0614485958318021,0.020996632063365304,,0.42043255028824933,0.23390290478282266,0.2474873771031409,0,505,4.658691236381551,pstmo,0.05,490,0be61c9bb37a5f3500b508286d36a0d544000e2a659012b65f33c6acaa0dec5b,13.952109328024804,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,281,226,292,"[[-4.5, -2.4], [-3.9008, -0.716392], [-3.85543, 2.60814], [-3.57201, 3.07523], [-3.16886, 3.18166], [3.19879, 3.18264], [3.53846, 3.11134], [4.5, 2.4]]",562,0.075,0.0651717,0.15,0,8,0,7,"[{'index': 0, 'x': -3.9008, 'y': -0.716392, 'turn_angle': 0.328272, 'incoming_length': 1.78706, 'outgoing_length': 3.32484, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.120754, 'equivalent_radius_max': 4.83015, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 19, 'states': 10, 'selected_radius': 4.83015, 'selected_trim': 0.8, 'selected_control_distance': 0.262867, 'selected_control_fraction': 0.328583, 'selected_score': 0.0985067}, {'index': 1, 'x': -3.85543, 'y': 2.60814, 'turn_angle': -0.531733, 'incoming_length': 3.32484, 'outgoing_length': 0.546346, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0734449, 'equivalent_radius_max': 2.00632, 'trim_min': 0.02, 'trim_max': 0.546346, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.460019, 'selected_trim': 0.125269, 'selected_control_distance': 0.0408631, 'selected_control_fraction': 0.326202, 'selected_score': 0.56989}, {'index': 2, 'x': -3.57201, 'y': 3.07523, 'turn_angle': -0.767313, 'incoming_length': 0.546346, 'outgoing_length': 0.416968, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0495468, 'equivalent_radius_max': 1.03297, 'trim_min': 0.02, 'trim_max': 0.416968, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.442917, 'selected_trim': 0.178787, 'selected_control_distance': 0.0804542, 'selected_control_fraction': 0.45, 'selected_score': 0.700149}, {'index': 3, 'x': -3.16886, 'y': 3.18166, 'turn_angle': -0.257947, 'incoming_length': 0.416968, 'outgoing_length': 6.36765, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.15421, 'equivalent_radius_max': 3.21502, 'trim_min': 0.02, 'trim_max': 0.416968, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 20, 'states': 10, 'selected_radius': 0.460291, 'selected_trim': 0.0596968, 'selected_control_distance': 0.019648, 'selected_control_fraction': 0.32913, 'selected_score': 0.433429}, {'index': 4, 'x': 3.19879, 'y': 3.18264, 'turn_angle': -0.207072, 'incoming_length': 6.36765, 'outgoing_length': 0.347073, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.192478, 'equivalent_radius_max': 3.3402, 'trim_min': 0.02, 'trim_max': 0.347073, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 20, 'states': 10, 'selected_radius': 0.349865, 'selected_trim': 0.0363537, 'selected_control_distance': 0.0163591, 'selected_control_fraction': 0.45, 'selected_score': 0.476375}, {'index': 5, 'x': 3.53846, 'y': 3.11134, 'turn_angle': -0.430017, 'incoming_length': 0.347073, 'outgoing_length': 1.19606, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0915816, 'equivalent_radius_max': 1.58928, 'trim_min': 0.02, 'trim_max': 0.347073, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.54089, 'selected_trim': 0.118122, 'selected_control_distance': 0.0531549, 'selected_control_fraction': 0.45, 'selected_score': 0.538766}]",6,60,480,none,6,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.9521, 'max_curvature_1pm': 4.65869, 'curvature_energy_1pm': 5.77725, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.645795,562,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7038, 'max_curvature_1pm': 3.35531, 'curvature_energy_1pm': 4.38086, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.656134,False,True,no_los_quality_not_worse,0.227144,252,0.469519,490,0,0,562,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 16, 'shape_transition requires a reversing inner wheel': 112, 'transition requires a reversing inner wheel': 8}",0.194518,joint_d_q,0.05,,direct_metric,351,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,5.777253865372586,4.658691236381551,13.952109328024804,1,0.2651641290012776
0.006,25.664991235682187,1.1102230246251565e-16,1.2523007787387207e-17,,0.4974294375926615,0.1449222268733815,0.2146446641391273,0,567,13.67248242051459,raw,0.05,274,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,13.919838025877462,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,25.664991235682187,13.67248242051459,13.919838025877462,1,0.012340507999397232
0.20700000000000002,2.7123136188865677,0.1601542118989092,0.07190592965832579,,0.3949147877271024,0.1449222268733815,0.1449222268733815,0,548,2.3465513954903074,pstmo,0.05,515,bce5d8f8010bd2c11549f88537099dac8c45a4f73816b1b5c8e2fa0abdc80fa3,13.714574611808914,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,276,154,88,"[[-4.5, -2.4], [-3.22772, -3.15788], [3.525, -3.075], [3.94925, -1.97799], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.22772, 'y': -3.15788, 'turn_angle': 0.549515, 'incoming_length': 1.4809, 'outgoing_length': 6.75323, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0709505, 'equivalent_radius_max': 2.83802, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 16, 'states': 10, 'selected_radius': 2.0079, 'selected_trim': 0.566, 'selected_control_distance': 0.1981, 'selected_control_fraction': 0.35, 'selected_score': 0.342463}, {'index': 1, 'x': 3.525, 'y': -3.075, 'turn_angle': 1.1895, 'incoming_length': 6.75323, 'outgoing_length': 1.17619, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0295657, 'equivalent_radius_max': 1.18263, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 14, 'states': 10, 'selected_radius': 0.548443, 'selected_trim': 0.371, 'selected_control_distance': 0.12985, 'selected_control_fraction': 0.35, 'selected_score': 0.760892}, {'index': 2, 'x': 3.94925, 'y': -1.97799, 'turn_angle': 0.243877, 'incoming_length': 1.17619, 'outgoing_length': 4.41249, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.163203, 'equivalent_radius_max': 6.52813, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 18, 'states': 10, 'selected_radius': 6.05076, 'selected_trim': 0.7415, 'selected_control_distance': 0.244119, 'selected_control_fraction': 0.329223, 'selected_score': 0.188284}]",3,30,240,none,3,4,444,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8814, 'max_curvature_1pm': 4.2858, 'curvature_energy_1pm': 5.17021, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 177}",0.636434,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7146, 'max_curvature_1pm': 2.34655, 'curvature_energy_1pm': 2.71231, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",440,0.610968,True,True,los_quality_improvement,0.207043,252,0.430546,515,0,0,274,"{'shape_angular acceleration iteration did not converge': 5, 'shape_swept_footprint': 78, 'shape_transition requires a reversing inner wheel': 51, 'swept_footprint': 8, 'transition requires a reversing inner wheel': 4}",0.0747664,joint_d_q,0.05,,direct_metric,106,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,2.7123136188865677,2.3465513954903074,13.714574611808914,1,0.21723026799918443
0.006,4.535312068225989,4.440892098500626e-16,4.9569171808876124e-17,,0.35803324055731967,0.17677669793081488,0.2146446641391273,0,533,2.377645564495028,raw,0.05,271,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,13.977148192216665,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,4.535312068225989,2.377645564495028,13.977148192216665,1,0.012181928999780212
0.531,4.614244530262514,0.11073579058930985,0.024654317459127655,,0.3704115651984217,0.18825146149581692,0.18825146149581692,0,501,3.948187352488583,pstmo,0.05,484,1219c4965d9e5ccbaca7570647294c0a30e7fcd73ff7374089e07f20086266e6,13.89472033352171,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,279,251,348,"[[-4.5, -2.4], [-3.82081, -1.35], [-3.79351, 2.49996], [-3.69896, 2.84641], [-3.49641, 3.04896], [-2.99999, 3.14886], [3.1, 3.14351], [3.45, 3.04921], [4.5, 2.4]]",271,0.075,0.0665456,0.15,0,9,0,8,"[{'index': 0, 'x': -3.82081, 'y': -1.35, 'turn_angle': 0.56706, 'incoming_length': 1.25052, 'outgoing_length': 3.85006, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0686388, 'equivalent_radius_max': 2.74555, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 18, 'states': 10, 'selected_radius': 2.74555, 'selected_trim': 0.8, 'selected_control_distance': 0.260528, 'selected_control_fraction': 0.32566, 'selected_score': 0.214773}, {'index': 1, 'x': -3.79351, 'y': 2.49996, 'turn_angle': -0.259334, 'incoming_length': 3.85006, 'outgoing_length': 0.359123, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.153376, 'equivalent_radius_max': 2.75404, 'trim_min': 0.02, 'trim_max': 0.359123, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 20, 'states': 10, 'selected_radius': 0.803541, 'selected_trim': 0.104781, 'selected_control_distance': 0.0344855, 'selected_control_fraction': 0.32912, 'selected_score': 0.334028}, {'index': 2, 'x': -3.69896, 'y': 2.84641, 'turn_angle': -0.518972, 'incoming_length': 0.359123, 'outgoing_length': 0.286442, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0753377, 'equivalent_radius_max': 1.07899, 'trim_min': 0.02, 'trim_max': 0.286442, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.426618, 'selected_trim': 0.113255, 'selected_control_distance': 0.036965, 'selected_control_fraction': 0.326388, 'selected_score': 0.599701}, {'index': 3, 'x': -3.49641, 'y': 3.04896, 'turn_angle': -0.586803, 'incoming_length': 0.286442, 'outgoing_length': 0.506371, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0661987, 'equivalent_radius_max': 0.948104, 'trim_min': 0.02, 'trim_max': 0.286442, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.286675, 'selected_trim': 0.0866105, 'selected_control_distance': 0.0303137, 'selected_control_fraction': 0.35, 'selected_score': 0.717504}, {'index': 4, 'x': -2.99999, 'y': 3.14886, 'turn_angle': -0.199472, 'incoming_length': 0.506371, 'outgoing_length': 6.1, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.199864, 'equivalent_radius_max': 5.06026, 'trim_min': 0.02, 'trim_max': 0.506371, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 20, 'states': 10, 'selected_radius': 1.17194, 'selected_trim': 0.117274, 'selected_control_distance': 0.0386397, 'selected_control_fraction': 0.329481, 'selected_score': 0.249993}, {'index': 5, 'x': 3.1, 'y': 3.14351, 'turn_angle': -0.262296, 'incoming_length': 6.1, 'outgoing_length': 0.36248, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.151624, 'equivalent_radius_max': 2.74804, 'trim_min': 0.02, 'trim_max': 0.36248, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 20, 'states': 10, 'selected_radius': 0.800727, 'selected_trim': 0.10562, 'selected_control_distance': 0.0347596, 'selected_control_fraction': 0.3291, 'selected_score': 0.365026}, {'index': 6, 'x': 3.45, 'y': 3.04921, 'turn_angle': -0.290593, 'incoming_length': 0.36248, 'outgoing_length': 1.2345, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.136679, 'equivalent_radius_max': 2.47718, 'trim_min': 0.02, 'trim_max': 0.36248, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.487754, 'selected_trim': 0.0713721, 'selected_control_distance': 0.0249802, 'selected_control_fraction': 0.35, 'selected_score': 0.470811}]",7,70,560,none,7,0,0,True,False,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.8947, 'max_curvature_1pm': 3.94819, 'curvature_energy_1pm': 4.61424, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 228}",0.656143,271,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7118, 'max_curvature_1pm': 4.13531, 'curvature_energy_1pm': 4.43625, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",0,0.669022,False,True,no_los_quality_not_worse,0.531186,252,0.421691,484,0,0,271,"{'angular acceleration iteration did not converge': 2, 'common_window_boundary_state_not_converged': 2, 'shape_angular acceleration iteration did not converge': 9, 'shape_transition requires a reversing inner wheel': 126, 'transition requires a reversing inner wheel': 8}",0.492938,joint_d_q,0.05,,direct_metric,421,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,4.614244530262514,3.948187352488583,13.89472033352171,1,0.5421089740011666
0.009000000000000001,9.499945297408113,4.440892098500626e-16,4.716307709341703e-17,,0.47836007011193754,0.21959563989254183,0.25619225950049973,0,334,3.503879151970223,raw,0.05,159,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,14.104165262679045,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,9.499945297408113,3.503879151970223,14.104165262679045,1,0.013230280999778188
0.43500000000000005,2.6717653836518314,0.3694256178255038,0.12131458431327617,,0.3595941315225958,0.1449222268733815,0.16464466339406925,0,435,2.1334727108898037,pstmo,0.05,422,20b92ee921450488cf93ac2ba98d8d6d177a43d58f43bb4d0a723432a5b8453c,13.718946684740004,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,276,120,108,"[[-4.5, -2.4], [-3.65862, 2.98309], [-2.95995, 3.13762], [3.58782, 3.06623], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.65862, 'y': 2.98309, 'turn_angle': -1.19808, 'incoming_length': 5.44845, 'outgoing_length': 0.715557, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0292943, 'equivalent_radius_max': 1.04809, 'trim_min': 0.02, 'trim_max': 0.715557, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 14, 'states': 10, 'selected_radius': 0.6151, 'selected_trim': 0.419945, 'selected_control_distance': 0.146981, 'selected_control_fraction': 0.35, 'selected_score': 0.737198}, {'index': 1, 'x': -2.95995, 'y': 3.13762, 'turn_angle': -0.228576, 'incoming_length': 0.715557, 'outgoing_length': 6.54816, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.174234, 'equivalent_radius_max': 6.23371, 'trim_min': 0.02, 'trim_max': 0.715557, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 20, 'states': 10, 'selected_radius': 1.38613, 'selected_trim': 0.159111, 'selected_control_distance': 0.0523982, 'selected_control_fraction': 0.329318, 'selected_score': 0.290584}, {'index': 2, 'x': 3.58782, 'y': 3.06623, 'turn_angle': -0.619917, 'incoming_length': 6.54816, 'outgoing_length': 1.12957, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.062445, 'equivalent_radius_max': 2.4978, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 80, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.76719, 'selected_trim': 0.566, 'selected_control_distance': 0.183822, 'selected_control_fraction': 0.324773, 'selected_score': 0.37878}]",3,30,240,none,3,4,207,True,True,,,False,0.15,True,,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 14.0027, 'max_curvature_1pm': 2.97146, 'curvature_energy_1pm': 5.61478, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 202}",0.63487,5,"{'valid': True, 'safe': True, 'raw_fallback': False, 'length_m': 13.7189, 'max_curvature_1pm': 2.13347, 'curvature_energy_1pm': 2.67177, 'pivot_rotation_rad': 0, 'peak_proximity_cost': 253}",203,0.603981,True,True,los_quality_improvement,0.436326,252,0.468854,422,0,0,159,"{'shape_angular acceleration iteration did not converge': 3, 'shape_swept_footprint': 65, 'shape_transition requires a reversing inner wheel': 55, 'swept_footprint': 3, 'transition requires a reversing inner wheel': 5}",0.05481,joint_d_q,0.05,,direct_metric,117,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,2.6717653836518314,2.1334727108898037,13.718946684740004,1,0.4462598979989707
