algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_enabled,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_output_points,pstmo_los_safety_rejections,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,193.58502356839998,4.440892098500626e-16,6.904334226865165e-17,,0.4226844507865317,0.17677669793081488,0.2146446641391273,0,596,18.43873273443626,raw,0.05,576,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,14.651809137099276,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,193.58502356839998,18.43873273443626,14.651809137099276,1,0.022123917000044457
0.07200000000000001,2.123368340228375,0.23499728950791138,0.12910257855166934,,0.32397345015432966,0.07644806095482698,0.10606601875848895,0,446,1.0158436391130428,pstmo,0.05,437,148c4ded312e0a1698d0bd924817d30443d0b52a38084b6c23fac6082ec37c0c,13.816099810885625,0,0.0,0,NavFnAStar,205fbc0df22e53322af4a20c383dcd007795a590a8574468dccee5198ca702f1,278,72,36,"[[-5, -3], [-2.19213, -1.93126], [-1.5469, 2.19816], [0.852783, 3.41265], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.19213, 'y': -1.93126, 'turn_angle': 1.05211, 'incoming_length': 3.00438, 'outgoing_length': 4.17953, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0580627, 'trim_max': 0.870941, 'evaluations': 20, 'safe_feasible': 13, 'states': 6, 'selected_radius': 1.24625, 'selected_trim': 0.723607, 'selected_score': 0.547712}, {'index': 1, 'x': -1.5469, 'y': 2.19816, 'turn_angle': -0.947277, 'incoming_length': 4.17953, 'outgoing_length': 2.6895, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0512552, 'trim_max': 0.768828, 'evaluations': 20, 'safe_feasible': 14, 'states': 6, 'selected_radius': 1.3075, 'selected_trim': 0.670162, 'selected_score': 0.515505}, {'index': 2, 'x': 0.852783, 'y': 3.41265, 'turn_angle': -0.567693, 'incoming_length': 2.6895, 'outgoing_length': 4.1677, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0291724, 'trim_max': 0.437585, 'evaluations': 20, 'safe_feasible': 16, 'states': 6, 'selected_radius': 1.465, 'selected_trim': 0.427375, 'selected_score': 0.400726}]",3,18,60,none,3,4,893,True,,False,0.1,5,889,252,0.487981,437,0,0,576,"{'swept_footprint': 9, 'transition requires a reversing inner wheel': 8}",0.0713426,adaptive,0.05,,43,54f0e297b75fefc5fda788a06a865b413c06d35c25e149531638dd1af60c953e,0,1,southwest_northeast_weave,True,2.123368340228375,1.0158436391130428,13.816099810885625,1,0.12123706100010168
0.0,70.26278929843387,4.440892098500626e-16,5.0967702326223156e-17,,0.4386192003576109,0.16464466339406925,0.2146446641391273,0,585,13.045374804327867,raw,0.05,572,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,14.311653522013033,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,70.26278929843387,13.045374804327867,14.311653522013033,1,0.048845005000202946
0.066,2.280722711243599,0.2319924157051529,0.11110793976665358,,0.32656660574849244,0.07644806095482698,0.10606601875848895,0,435,1.2910101904632674,pstmo,0.05,426,a565f4952cf305bf852667bce046619056e450c2517cdb07fcf86198ab597178,13.804562038852135,0,0.0,0,NavFnDijkstra,33898b204e17ae487156403a77a330eb5e1278c2b0327937421224dcc6ed0278,278,72,37,"[[-5, -3], [-2.29436, -1.97546], [-1.52467, 2.24464], [0.859687, 3.41273], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.29436, 'y': -1.97546, 'turn_angle': 1.02841, 'incoming_length': 2.89312, 'outgoing_length': 4.28972, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0564893, 'trim_max': 0.847339, 'evaluations': 20, 'safe_feasible': 12, 'states': 6, 'selected_radius': 0.975, 'selected_trim': 0.55077, 'selected_score': 0.599132}, {'index': 1, 'x': -1.52467, 'y': 2.24464, 'turn_angle': -0.934858, 'incoming_length': 4.28972, 'outgoing_length': 2.65511, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0504736, 'trim_max': 0.757104, 'evaluations': 20, 'safe_feasible': 14, 'states': 6, 'selected_radius': 1.395, 'selected_trim': 0.704106, 'selected_score': 0.498812}, {'index': 2, 'x': 0.859687, 'y': 3.41273, 'turn_angle': -0.554891, 'incoming_length': 2.65511, 'outgoing_length': 4.16083, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0284791, 'trim_max': 0.427186, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.465, 'selected_trim': 0.417218, 'selected_score': 0.397141}]",3,18,60,none,3,4,895,True,,False,0.1,5,891,252,0.498362,426,0,0,572,"{'swept_footprint': 9, 'transition requires a reversing inner wheel': 8}",0.0646495,adaptive,0.05,,43,e30d968aa220e217e36151f98a35c57ea4dfbef5efee5a4b34cf07383b972337,0,1,southwest_northeast_weave,True,2.280722711243599,1.2910101904632674,13.804562038852135,1,0.10197079099998518
0.009000000000000001,38.978975011993995,4.440892098500626e-16,8.287869596705818e-17,,0.42371085436151035,0.1449222268733815,0.2146446641391273,0,556,13.816020116667039,raw,0.05,273,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,14.17896020420002,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,38.978975011993995,13.816020116667039,14.17896020420002,1,0.01849637299983442
0.048,2.2383886402394033,0.32176274172860975,0.13053404344339745,,0.31322131747137144,0.07644806095482698,0.10606601875848895,0,518,1.2587931113335358,pstmo,0.05,508,ae4a66932831959cffb5c934ede637486268f13570d2df26772e3d5506b2a5e7,13.802093112405542,0,0.0,0,ThetaStar,461a2ae78408bc9f2d97f3f22e02bc50272936ae009e4d2aa6b56c349d3205e7,278,72,37,"[[-5, -3], [-0.475, -3.375], [1.74925, -1.87799], [2.425, 2.125], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -0.475, 'y': -3.375, 'turn_angle': 0.675087, 'incoming_length': 4.54051, 'outgoing_length': 2.68111, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0350975, 'trim_max': 0.526463, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.526463, 'selected_score': 0.424525}, {'index': 1, 'x': 1.74925, 'y': -1.87799, 'turn_angle': 0.81116, 'incoming_length': 2.68111, 'outgoing_length': 4.05962, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0429386, 'trim_max': 0.644079, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.4825, 'selected_trim': 0.636565, 'selected_score': 0.459127}, {'index': 2, 'x': 2.425, 'y': 2.125, 'turn_angle': -1.076, 'incoming_length': 4.05962, 'outgoing_length': 2.7196, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0596713, 'trim_max': 0.895069, 'evaluations': 20, 'safe_feasible': 10, 'states': 6, 'selected_radius': 1.01, 'selected_trim': 0.60268, 'selected_score': 0.600562}]",3,18,60,none,3,4,368,True,,False,0.1,5,364,252,0.494738,508,0,0,273,"{'swept_footprint': 8, 'transition requires a reversing inner wheel': 7}",0.0470085,adaptive,0.05,,45,c43474303408407dc14f1f754b0202543c51744c234848de10d70d816f0f643c,0,1,southwest_northeast_weave,True,2.2383886402394033,1.2587931113335358,13.802093112405542,1,0.09180378399969413
0.015000000000000001,8.247731069623203,1.1102230246251565e-16,1.8793190426225067e-17,,0.3594264613058574,0.2146446641391273,0.2146446641391273,0,535,2.3776448004976283,raw,0.05,269,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,14.428028677732053,0,0.0,0,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,True,8.247731069623203,2.3776448004976283,14.428028677732053,1,0.022086632000082318
0.042,2.297265920286045,0.335076553131577,0.1635539891322771,,0.31686743703047204,0.07644806095482698,0.10606601875848895,0,441,1.195249526869486,pstmo,0.05,432,02d9cad4b7d7537a957b53a426c0188deda26df6c41a11930d7a0e6b8dcb09fd,13.78067471550958,0,0.0,0,Smac2D,75ffa89198a68d098f52c9550329e83fd925a99b488ac5bb1381985171f3cddf,277,72,31,"[[-5, -3], [-2.25031, -1.94805], [-1.58862, 2.08051], [0.8, 3.3979], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.25031, 'y': -1.94805, 'turn_angle': 1.04261, 'incoming_length': 2.94404, 'outgoing_length': 4.08254, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0574294, 'trim_max': 0.861442, 'evaluations': 20, 'safe_feasible': 13, 'states': 6, 'selected_radius': 1.05375, 'selected_trim': 0.605163, 'selected_score': 0.583997}, {'index': 1, 'x': -1.58862, 'y': 2.08051, 'turn_angle': -0.903988, 'incoming_length': 4.08254, 'outgoing_length': 2.72782, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0485517, 'trim_max': 0.728275, 'evaluations': 20, 'safe_feasible': 14, 'states': 6, 'selected_radius': 1.2375, 'selected_trim': 0.600827, 'selected_score': 0.518346}, {'index': 2, 'x': 0.8, 'y': 3.3979, 'turn_angle': -0.598468, 'incoming_length': 2.72782, 'outgoing_length': 4.21881, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0308497, 'trim_max': 0.462746, 'evaluations': 20, 'safe_feasible': 13, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.462746, 'selected_score': 0.404716}]",3,18,60,none,3,4,433,True,,False,0.1,5,429,252,0.502353,432,0,0,269,"{'swept_footprint': 13, 'transition requires a reversing inner wheel': 7}",0.0430645,adaptive,0.05,,40,d05e4c46b3105eee9503e2302070d8bbe213137980bdeb488be4e91ca8662964,0,1,southwest_northeast_weave,True,2.297265920286045,1.195249526869486,13.78067471550958,1,0.08332954500019696
0.027000000000000003,11.74661485855469,4.440892098500626e-16,7.117807217824894e-17,,0.4708463681966987,0.2146446641391273,0.2146446641391273,0,356,4.13093085411922,raw,0.05,162,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,14.324293623728634,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,11.74661485855469,4.13093085411922,14.324293623728634,1,0.04321511299986014
0.033,2.0937951032066633,0.23974659702016646,0.11812744777130814,,0.3242387414372158,0.07644806095482698,0.10606601875848895,0,445,1.025578598055821,pstmo,0.05,436,5b1748a8136684849698051ee7166f833748c713a0043ed88ad23e371b5fb9da,13.803766888590284,0,0.0,0,SmacHybrid,62667a1f79e858d428b495fc17bf9624e6fd92f883c64015f17cf579575a6a6a,278,72,36,"[[-5, -3], [-2.24543, -1.97017], [-1.5299, 2.22662], [0.807292, 3.39508], [5, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -2.24543, 'y': -1.97017, 'turn_angle': 1.04415, 'incoming_length': 2.94079, 'outgoing_length': 4.25736, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0575323, 'trim_max': 0.862985, 'evaluations': 20, 'safe_feasible': 12, 'states': 6, 'selected_radius': 1.22875, 'selected_trim': 0.706928, 'selected_score': 0.549285}, {'index': 1, 'x': -1.5299, 'y': 2.22662, 'turn_angle': -0.938328, 'incoming_length': 4.25736, 'outgoing_length': 2.61299, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0506915, 'trim_max': 0.760372, 'evaluations': 20, 'safe_feasible': 14, 'states': 6, 'selected_radius': 1.325, 'selected_trim': 0.671662, 'selected_score': 0.510706}, {'index': 2, 'x': 0.807292, 'y': 3.39508, 'turn_angle': -0.55755, 'incoming_length': 2.61299, 'outgoing_length': 4.21128, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0286228, 'trim_max': 0.429343, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.429343, 'selected_score': 0.39356}]",3,18,60,none,3,4,263,True,,False,0.1,5,259,252,0.484517,436,0,0,162,"{'swept_footprint': 8, 'transition requires a reversing inner wheel': 8}",0.0320411,adaptive,0.05,,44,2935e40286c2913e62c311916250c1dd57b3b932cb39b6585aa12f5842eecad4,0,1,southwest_northeast_weave,True,2.0937951032066633,1.025578598055821,13.803766888590284,1,0.0689292279998881
