algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_enabled,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_output_points,pstmo_los_safety_rejections,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.006,297.3188139439051,4.440892098500626e-16,8.529048180489552e-17,,0.4914849176259022,0.16464466339406925,0.2146446641391273,0,538,34.43220781990577,raw,0.05,524,261ccf8b856830e0a249f29461cda04be828c06ac0280aa14d945fa39e0684d9,12.990832133193832,0,0.0,0,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261ccf8b856830e0a249f29461cda04be828c06ac0280aa14d945fa39e0684d9,0,1,office_long_diagonal,True,297.3188139439051,34.43220781990577,12.990832133193832,1,0.030829847000404698
0.084,13.967241388681403,0.2376264707815231,0.10816693988392641,,0.43348635558520277,0.10606601875848895,0.10606601875848895,0,285,11.231278937620187,pstmo,0.05,256,01665c828666ea551c0d81a7f4cf12c44b9fbd690e7c2ac87b1d6c8b5c5f0f8d,12.520477466607122,3,0.6457654000027141,1.6654968956925966,NavFnAStar,ec25efedaac90fc66686f98df92b82438386ae646472bce608f91bee403f02b9,252,72,46,"[[-5.2, -3], [0.148989, 0.587058], [0.920226, 1.90265], [4.04442, 3.20443], [5.2, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': 0.148989, 'y': 0.587058, 'turn_angle': 0.449841, 'incoming_length': 6.44039, 'outgoing_length': 1.52499, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0228792, 'trim_max': 0.343187, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}, {'index': 1, 'x': 0.920226, 'y': 1.90265, 'turn_angle': -0.645765, 'incoming_length': 1.52499, 'outgoing_length': 3.38455, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0334592, 'trim_max': 0.501888, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}, {'index': 2, 'x': 4.04442, 'y': 3.20443, 'turn_angle': -0.569891, 'incoming_length': 3.38455, 'outgoing_length': 1.17353, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0292916, 'trim_max': 0.439374, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}]",3,18,60,all_pivot,0,4,501,True,,False,0.1,5,497,252,0,256,0,3,524,"{'angular acceleration iteration did not converge': 2, 'swept_footprint': 1, 'transition requires a reversing inner wheel': 5}",0.0840858,adaptive,0.05,unsafe_sweep_350_351,52,261ccf8b856830e0a249f29461cda04be828c06ac0280aa14d945fa39e0684d9,0,1,office_long_diagonal,True,3.4545802406413927e-25,6.418476861114136e-13,12.523458810265044,4,0.100911539000208
0.003,103.66811640652823,4.440892098500626e-16,8.540604447164055e-17,,0.4946080246618778,0.16464466339406925,0.2146446641391273,0,527,15.508163521282723,raw,0.05,513,1ed3cfb73065490cb0278004c5bde5f64f7e0200e050b823b2622b178836137a,12.783751343216109,0,0.0,0,NavFnDijkstra,f4523c94a56a5016b8b305775fd23a48c6b0aea365dde5ec1fbe9d3018a9544d,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ed3cfb73065490cb0278004c5bde5f64f7e0200e050b823b2622b178836137a,0,1,office_long_diagonal,True,103.66811640652823,15.508163521282723,12.783751343216109,1,0.019924669999909383
0.063,0.8118485931747478,0.21730985232459132,0.08886306529956085,,0.39726132314105383,0.10606601875848895,0.11464466264901119,0,406,0.781322585217915,pstmo,0.05,396,c8c8af23477efb49504300bca1f25a40a794101638562a0b70b2bcc6f3ec1944,12.404327689047097,0,0.0,0,NavFnDijkstra,f4523c94a56a5016b8b305775fd23a48c6b0aea365dde5ec1fbe9d3018a9544d,250,72,50,"[[-5.2, -3], [-0.986665, -0.169139], [1.19226, 2.05808], [4.01678, 3.18673], [5.2, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -0.986665, 'y': -0.169139, 'turn_angle': 0.204754, 'incoming_length': 5.07602, 'outgoing_length': 3.11581, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0102736, 'trim_max': 0.154105, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.154105, 'selected_score': 0.125021}, {'index': 1, 'x': 1.19226, 'y': 2.05808, 'turn_angle': -0.416206, 'incoming_length': 3.11581, 'outgoing_length': 3.04167, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.021116, 'trim_max': 0.31674, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.31674, 'selected_score': 0.351402}, {'index': 2, 'x': 4.01678, 'y': 3.18673, 'turn_angle': -0.536678, 'incoming_length': 3.04167, 'outgoing_length': 1.19786, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0274971, 'trim_max': 0.412456, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.412456, 'selected_score': 0.387698}]",3,18,60,none,3,4,529,True,,False,0.1,5,525,252,0.288041,396,0,0,513,"{'angular acceleration iteration did not converge': 5, 'transition requires a reversing inner wheel': 3}",0.0644627,adaptive,0.05,,52,1ed3cfb73065490cb0278004c5bde5f64f7e0200e050b823b2622b178836137a,0,1,office_long_diagonal,True,0.8118485931747478,0.781322585217915,12.404327689047097,1,0.10405046200003198
0.009000000000000001,54.38592215635246,4.440892098500626e-16,6.036776943385647e-17,,0.4720168463483055,0.1449222268733815,0.17079994476667312,0,451,13.635730032280904,raw,0.05,220,81a14af9baf7bd0a3c4abfece2dbcb96533e499289224970d2a7d079f59adf32,12.685865191803058,0,0.0,0,ThetaStar,780309a2bf273b22c782f2d999993c7264a839ae330163c4d1c3f71949fcb3c3,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81a14af9baf7bd0a3c4abfece2dbcb96533e499289224970d2a7d079f59adf32,0,1,office_long_diagonal,True,54.38592215635246,13.635730032280904,12.685865191803058,1,0.01975158499999452
0.048,4.839385225241667,0.2152051727122315,0.09345115613460131,,0.41801901445793505,0.10606601875848895,0.10606601875848895,0,276,5.538146032024163,pstmo,0.05,254,01a4b2c9d362539dbbd9442dada3f83f6b1dd90132cc766d3a6053c3110373b3,12.410088442786853,3,0.535410264502707,1.1007318013799217,ThetaStar,780309a2bf273b22c782f2d999993c7264a839ae330163c4d1c3f71949fcb3c3,250,72,45,"[[-5.2, -3], [-1.23964, -0.339645], [1.15094, 2.00254], [3.975, 3.175], [5.2, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -1.23964, 'y': -0.339645, 'turn_angle': 0.183662, 'incoming_length': 4.77094, 'outgoing_length': 3.34674, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00920899, 'trim_max': 0.138135, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}, {'index': 1, 'x': 1.15094, 'y': 2.00254, 'turn_angle': -0.38166, 'incoming_length': 3.34674, 'outgoing_length': 3.05778, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0193181, 'trim_max': 0.289771, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}, {'index': 2, 'x': 3.975, 'y': 3.175, 'turn_angle': -0.53541, 'incoming_length': 3.05778, 'outgoing_length': 1.23744, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0274289, 'trim_max': 0.411434, 'evaluations': 20, 'safe_feasible': 15, 'states': 6, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}]",3,18,60,all_pivot,0,4,246,True,,False,0.1,5,242,252,0,254,0,3,220,"{'angular acceleration iteration did not converge': 4, 'swept_footprint': 3, 'transition requires a reversing inner wheel': 4}",0.0463622,adaptive,0.05,unsafe_sweep_271_272,49,81a14af9baf7bd0a3c4abfece2dbcb96533e499289224970d2a7d079f59adf32,0,1,office_long_diagonal,True,2.148975365070615e-25,5.44703171456718e-13,12.412903258324002,4,0.07418228999995335
0.015000000000000001,8.67100024015589,4.440892098500626e-16,8.714134103598625e-17,,0.4502901106859763,0.2146446641391273,0.2146446641391273,0,440,2.2832376693384853,raw,0.05,216,a2168dc7abd265f02f2eebbd43c4ee9ddbca09ae59ec570861cdc5aaab58c13a,12.803944391627233,0,0.0,0,Smac2D,94fc41f12e573701b374464d877f0d4bf81f69d1fb99b045260528c9d28e154f,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a2168dc7abd265f02f2eebbd43c4ee9ddbca09ae59ec570861cdc5aaab58c13a,0,1,office_long_diagonal,True,8.67100024015589,2.2832376693384853,12.803944391627233,1,0.028709603999686806
0.060000000000000005,0.8564756528153505,0.4198944673349256,0.14587937286004987,,0.3446863373574341,0.10606601875848895,0.10606601875848895,0,388,1.3071926274377084,pstmo,0.05,378,cc34afcb1862627eb701f7ad6d8ddfc807105d5fc66293effb73599738ae3ebc,12.36852230937251,0,0.0,0,Smac2D,94fc41f12e573701b374464d877f0d4bf81f69d1fb99b045260528c9d28e154f,249,48,50,"[[-5.2, -3], [-1.7, -0.649961], [0.50562, 1.34985], [1.00029, 1.87255], [3.85, 3.14792], [5.2, 3]]",6,0.075,0,0.15,0,6,1,0,"[{'index': 0, 'x': -1.7, 'y': -0.649961, 'turn_angle': 0.145199, 'incoming_length': 4.21577, 'outgoing_length': 2.97725, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.00727273, 'trim_max': 0.109091, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.15, 'selected_trim': 0.0836364, 'selected_score': 0.202941}, {'index': 1, 'x': 0.50562, 'y': 1.34985, 'turn_angle': 0.0764392, 'incoming_length': 2.97725, 'outgoing_length': 0.719658, 'pivot_safe': True, 'pass_through': True, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'evaluations': 0, 'safe_feasible': 0, 'states': 1, 'selected_radius': 0, 'selected_trim': 0, 'selected_score': 0}, {'index': 2, 'x': 1.00029, 'y': 1.87255, 'turn_angle': -0.392127, 'incoming_length': 0.719658, 'outgoing_length': 3.12209, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0198615, 'trim_max': 0.297922, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.297922, 'selected_score': 0.343592}, {'index': 3, 'x': 3.85, 'y': 3.14792, 'turn_angle': -0.529948, 'incoming_length': 3.12209, 'outgoing_length': 1.35808, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0271355, 'trim_max': 0.407032, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.407032, 'selected_score': 0.385785}]",4,19,60,none,3,5,359,True,,False,0.1,6,354,252,0.310773,378,1,0,216,"{'angular acceleration iteration did not converge': 5, 'transition requires a reversing inner wheel': 3}",0.0605826,adaptive,0.05,,52,a2168dc7abd265f02f2eebbd43c4ee9ddbca09ae59ec570861cdc5aaab58c13a,0,1,office_long_diagonal,True,0.8564756528153505,1.3071926274377084,12.36852230937251,1,0.07791793500018684
0.012,13.073351820307751,4.440892098500626e-16,9.561089586523424e-17,,0.44124535164063655,0.11464466264901119,0.16464466339406925,0,337,3.730006637642104,raw,0.05,145,137dc417d3d3d2c68f99748beed91c75997fe46681988227499aa9abaf76b26f,12.719722959946527,0,0.0,0,SmacHybrid,e98a86bf7e0da398fc2611467944728fda2c0ec506d4d3f0869c217772f8cc26,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137dc417d3d3d2c68f99748beed91c75997fe46681988227499aa9abaf76b26f,0,1,office_long_diagonal,True,13.073351820307751,3.730006637642104,12.719722959946527,1,0.01795428700006596
0.033,0.7988817656066239,0.18962951731664948,0.09106147966744256,,0.39568326432840806,0.10606601875848895,0.11464466264901119,0,402,0.7785535456180056,pstmo,0.05,392,91dc2a8f455135cdf0105ef405f6b7db975f909a2196126008e7f6761538a74f,12.406178923201471,0,0.0,0,SmacHybrid,e98a86bf7e0da398fc2611467944728fda2c0ec506d4d3f0869c217772f8cc26,250,72,50,"[[-5.2, -3], [-1.01516, -0.198168], [1.20167, 2.087], [3.95425, 3.16084], [5.2, 3]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -1.01516, 'y': -0.198168, 'turn_angle': 0.2106, 'incoming_length': 5.03618, 'outgoing_length': 3.18376, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0105691, 'trim_max': 0.158537, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.158537, 'selected_score': 0.127396}, {'index': 1, 'x': 1.20167, 'y': 2.087, 'turn_angle': -0.428614, 'incoming_length': 3.18376, 'outgoing_length': 2.95463, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0217649, 'trim_max': 0.326474, 'evaluations': 20, 'safe_feasible': 17, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.326474, 'selected_score': 0.355354}, {'index': 2, 'x': 3.95425, 'y': 3.16084, 'turn_angle': -0.500364, 'incoming_length': 2.95463, 'outgoing_length': 1.25609, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0255536, 'trim_max': 0.383304, 'evaluations': 20, 'safe_feasible': 18, 'states': 6, 'selected_radius': 1.5, 'selected_trim': 0.383304, 'selected_score': 0.377215}]",3,18,60,none,3,4,162,True,,False,0.1,5,158,252,0.286655,392,0,0,145,"{'angular acceleration iteration did not converge': 5, 'transition requires a reversing inner wheel': 3}",0.0315169,adaptive,0.05,,52,137dc417d3d3d2c68f99748beed91c75997fe46681988227499aa9abaf76b26f,0,1,office_long_diagonal,True,0.7988817656066239,0.7785535456180056,12.406178923201471,1,0.06441999599974224
