algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_final_invariants_verified,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_input_points,pstmo_los_output_points,pstmo_los_rejection_reason,pstmo_los_runtime_s,pstmo_los_safety_rejections,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pipeline_execution_count,pstmo_pivots,pstmo_preprocessed_polyline,pstmo_preprocessing_mode,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,58.02553738023892,1.1102230246251565e-16,2.7539437105351313e-17,,0.402795046811255,0.1449222268733815,0.17079994476667312,0,186,18.197223950477856,raw,0.05,176,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,4.394234894293079,0,0.0,0,NavFnAStar,d1278f37a9031713f02f16637cd5616073c28eff9ba73a244f78aeed7fdd319b,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,0,1,center_block_detour,True,58.02553738023892,18.197223950477856,4.394234894293079,1,0.011733682999874873
0.069,3.028450948365995,0.06953308277688013,0.029216677402410095,,0.3563236970810817,0.2146446641391273,0.23390290478282266,0,183,3.0372166927758806,pstmo,0.05,173,fcc3a9450c18dda51b0cc8561f39ea569c49ccfd8e1a257afc5f696370414584,4.328920244651113,0,0.0,0,NavFnAStar,d1278f37a9031713f02f16637cd5616073c28eff9ba73a244f78aeed7fdd319b,88,116,119,"[[-2.2, -0.6], [-1.26606, 0.392273], [-0.906222, 0.521187], [0.0931951, 0.494897], [0.422687, 0.382903], [1.2, -0.6]]",176,0.075,0.0699814,0.15,0,6,0,5,"[{'index': 0, 'x': -1.26606, 'y': 0.392273, 'turn_angle': -0.471669, 'incoming_length': 1.36266, 'outgoing_length': 0.382238, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0832271, 'equivalent_radius_max': 1.59063, 'trim_min': 0.02, 'trim_max': 0.382238, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.535447, 'selected_trim': 0.128671, 'selected_control_distance': 0.0420798, 'selected_control_fraction': 0.327034, 'selected_score': 0.511773}, {'index': 1, 'x': -0.906222, 'y': 0.521187, 'turn_angle': -0.370305, 'incoming_length': 0.382238, 'outgoing_length': 0.999762, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.106782, 'equivalent_radius_max': 2.0408, 'trim_min': 0.02, 'trim_max': 0.382238, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 1.07379, 'selected_trim': 0.201119, 'selected_control_distance': 0.0660054, 'selected_control_fraction': 0.328191, 'selected_score': 0.32639}, {'index': 2, 'x': 0.0931951, 'y': 0.494897, 'turn_angle': -0.301348, 'incoming_length': 0.999762, 'outgoing_length': 0.348005, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.131731, 'equivalent_radius_max': 2.29215, 'trim_min': 0.02, 'trim_max': 0.348005, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.995898, 'selected_trim': 0.151202, 'selected_control_distance': 0.0497166, 'selected_control_fraction': 0.328809, 'selected_score': 0.315842}, {'index': 3, 'x': 0.422687, 'y': 0.382903, 'turn_angle': -0.574022, 'incoming_length': 0.348005, 'outgoing_length': 1.25312, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0677597, 'equivalent_radius_max': 1.17904, 'trim_min': 0.02, 'trim_max': 0.348005, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.345579, 'selected_trim': 0.102001, 'selected_control_distance': 0.0332063, 'selected_control_fraction': 0.325548, 'selected_score': 0.663196}]",4,40,160,True,4,0,0,6,6,,0,0,252,0.4543,173,0,1,0,"[[-2.2, -0.6], [-1.26606, 0.392273], [-0.906222, 0.521187], [0.0931951, 0.494897], [0.422687, 0.382903], [1.2, -0.6]]",condition_only,176,"{'shape_angular acceleration iteration did not converge': 6, 'shape_transition requires a reversing inner wheel': 14, 'transition requires a reversing inner wheel': 6}",0.0698848,joint_d_q,0.05,,direct_metric,140,0cb59d1376a6add4171f20e3846f48ea526ca4782c0d1bdc9972a591f5eb39ed,0,1,center_block_detour,True,3.028450948365995,3.0372166927758806,4.328920244651113,1,0.0754678649991547
0.0,11.90958899284719,1.1102230246251565e-16,2.792863028992468e-17,,0.4218258873337236,0.1449222268733815,0.18825146149581692,0,183,10.120043669264355,raw,0.05,173,3c98b58fe10472057e68d9a360ef7e6c8952010048f5cd80fc0cd4b0a2dfe292,4.34725043091983,0,0.0,0,NavFnDijkstra,eae88b90a83ac708703f5bdc3a3f4a0406882c3cf223ebba53142397ddce7f0f,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c98b58fe10472057e68d9a360ef7e6c8952010048f5cd80fc0cd4b0a2dfe292,0,1,center_block_detour,True,11.90958899284719,10.120043669264355,4.34725043091983,1,0.004547458999695664
0.08700000000000001,1.69218493009331,0.13380947530861823,0.0509004851428811,,0.2915303536344885,0.12275854577833645,0.12275854577833645,0,284,1.5744022788311878,pstmo,0.05,274,a606617766c20fa26082e952713df639a024d40389c30b2b4694b0f14bbdf2fa,4.227935164528202,0,0.0,0,NavFnDijkstra,eae88b90a83ac708703f5bdc3a3f4a0406882c3cf223ebba53142397ddce7f0f,86,53,91,"[[-2.2, -0.6], [-1.2697, 0.383095], [-0.0398566, 0.486423], [0.477796, 0.350003], [1.2, -0.6]]",173,0.075,0.0724358,0.15,0,5,0,4,"[{'index': 0, 'x': -1.2697, 'y': 0.383095, 'turn_angle': -0.729161, 'incoming_length': 1.35349, 'outgoing_length': 1.23417, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0524052, 'equivalent_radius_max': 2.09621, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 2.09621, 'selected_trim': 0.8, 'selected_control_distance': 0.258112, 'selected_control_fraction': 0.32264, 'selected_score': 0.373368}, {'index': 1, 'x': -0.0398566, 'y': 0.486423, 'turn_angle': -0.341497, 'incoming_length': 1.23417, 'outgoing_length': 0.535327, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.115991, 'equivalent_radius_max': 3.10465, 'trim_min': 0.02, 'trim_max': 0.535327, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 0.713723, 'selected_trim': 0.123065, 'selected_control_distance': 0.0404227, 'selected_control_fraction': 0.328465, 'selected_score': 0.406315}, {'index': 2, 'x': 0.477796, 'y': 0.350003, 'turn_angle': -0.663115, 'incoming_length': 0.535327, 'outgoing_length': 1.19335, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0580946, 'equivalent_radius_max': 1.55498, 'trim_min': 0.02, 'trim_max': 0.535327, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.806537, 'selected_trim': 0.277663, 'selected_control_distance': 0.0971822, 'selected_control_fraction': 0.35, 'selected_score': 0.512513}]",3,30,120,True,3,0,0,5,5,,0,0,252,0.430732,274,0,1,0,"[[-2.2, -0.6], [-1.2697, 0.383095], [-0.0398566, 0.486423], [0.477796, 0.350003], [1.2, -0.6]]",condition_only,173,"{'shape_angular acceleration iteration did not converge': 1, 'shape_transition requires a reversing inner wheel': 15, 'transition requires a reversing inner wheel': 6}",0.0870752,joint_d_q,0.05,,direct_metric,104,3c98b58fe10472057e68d9a360ef7e6c8952010048f5cd80fc0cd4b0a2dfe292,0,1,center_block_detour,True,1.69218493009331,1.5744022788311878,4.227935164528202,1,0.10042711099958979
0.0,22.597984974626282,1.1102230246251565e-16,3.454086271737816e-17,,0.4038669344671536,0.10606601875848895,0.1449222268733815,0,164,12.139905518011037,raw,0.05,78,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,4.309711055715877,0,0.0,0,ThetaStar,1fec13ffaf47a7b7659aa52136ff83947653df345df1c2445a0caacf95e3c5fd,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,0,1,center_block_detour,True,22.597984974626282,12.139905518011037,4.309711055715877,1,0.0032887499992284575
0.066,1.693346541527715,0.14876451493788315,0.04720941270832524,,0.31106296348840623,0.10606601875848895,0.10606601875848895,0,284,2.1295658455617072,pstmo,0.05,256,37b34e102ec4b16b2ea2d6f2e125038126d657a08f478687a51635ae0ec97446,4.193319105418675,0,0.0,0,ThetaStar,1fec13ffaf47a7b7659aa52136ff83947653df345df1c2445a0caacf95e3c5fd,85,53,92,"[[-2.2, -0.6], [-1.175, -1.575], [-0.775, -1.675], [0.375, -1.625], [1.2, -0.6]]",78,0.075,0.0304005,0.15,0,5,0,4,"[{'index': 0, 'x': -1.175, 'y': -1.575, 'turn_angle': 0.515425, 'incoming_length': 1.41466, 'outgoing_length': 0.412311, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0758802, 'equivalent_radius_max': 1.56431, 'trim_min': 0.02, 'trim_max': 0.412311, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.522409, 'selected_trim': 0.137693, 'selected_control_distance': 0.0449484, 'selected_control_fraction': 0.326439, 'selected_score': 0.569688}, {'index': 1, 'x': -0.775, 'y': -1.675, 'turn_angle': 0.28843, 'incoming_length': 0.412311, 'outgoing_length': 1.15109, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.137719, 'equivalent_radius_max': 2.83916, 'trim_min': 0.02, 'trim_max': 0.412311, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 1.21829, 'selected_trim': 0.176924, 'selected_control_distance': 0.0581921, 'selected_control_fraction': 0.32891, 'selected_score': 0.289643}, {'index': 2, 'x': 0.375, 'y': -1.625, 'turn_angle': 0.849637, 'incoming_length': 1.15109, 'outgoing_length': 1.31577, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0442121, 'equivalent_radius_max': 1.76848, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.76848, 'selected_trim': 0.8, 'selected_control_distance': 0.255824, 'selected_control_fraction': 0.319781, 'selected_score': 0.428251}]",3,30,120,True,3,0,0,5,5,,0,0,252,0.429194,256,0,1,0,"[[-2.2, -0.6], [-1.175, -1.575], [-0.775, -1.675], [0.375, -1.625], [1.2, -0.6]]",condition_only,78,"{'shape_angular acceleration iteration did not converge': 3, 'shape_transition requires a reversing inner wheel': 12, 'transition requires a reversing inner wheel': 5}",0.0657167,joint_d_q,0.05,,direct_metric,105,d337f4e7fc04f25a60747d51155f1743db6eda91445ea3b7de1fde54e6473d30,0,1,center_block_detour,True,1.693346541527715,2.1295658455617072,4.193319105418675,1,0.07345829800033243
0.003,1.941535680687774,1.1102230246251565e-16,2.8293730096913596e-17,,0.38002399183296903,0.17677669793081488,0.18825146149581692,0,155,1.760237178582316,raw,0.05,72,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,4.248818657973814,0,0.0,0,Smac2D,f06ad7c5edf7b05db843f7d455e90e82a5f7e640a8e8e9e457a0f4d763480402,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,0,1,center_block_detour,True,1.941535680687774,1.760237178582316,4.248818657973814,1,0.004625462999683805
0.096,3.684846504534376,0.06854233108936926,0.037842296095996826,,0.3015144102204611,0.1449222268733815,0.16464466339406925,0,167,3.8490951578500407,pstmo,0.05,157,3d8b00786ba452dc25414c38721ab5579720af5c97cc975296436d30040ba6aa,4.191290930596289,0,0.0,0,Smac2D,f06ad7c5edf7b05db843f7d455e90e82a5f7e640a8e8e9e457a0f4d763480402,85,14,94,"[[-2.2, -0.6], [-1.2, 0.348958], [-0.4, 0.449931], [0.399993, 0.317763], [1.2, -0.6]]",72,0.075,0.0688652,0.15,0,5,0,4,"[{'index': 0, 'x': -1.2, 'y': 0.348958, 'turn_angle': -0.633663, 'incoming_length': 1.37859, 'outgoing_length': 0.806347, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0609986, 'equivalent_radius_max': 2.43994, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.298893, 'selected_trim': 0.098, 'selected_control_distance': 0.0343, 'selected_control_fraction': 0.35, 'selected_score': 0.709331}, {'index': 1, 'x': -0.4, 'y': 0.449931, 'turn_angle': -0.289284, 'incoming_length': 0.806347, 'outgoing_length': 0.810837, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.137307, 'equivalent_radius_max': 5.49227, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 19, 'states': 10, 'selected_radius': 1.2083, 'selected_trim': 0.176, 'selected_control_distance': 0.057887, 'selected_control_fraction': 0.328903, 'selected_score': 0.291129}, {'index': 2, 'x': 0.399993, 'y': 0.317763, 'turn_angle': -0.69011, 'incoming_length': 0.810837, 'outgoing_length': 1.2175, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0556429, 'equivalent_radius_max': 2.22572, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.489658, 'selected_trim': 0.176, 'selected_control_distance': 0.0569273, 'selected_control_fraction': 0.323451, 'selected_score': 0.671038}]",3,30,120,True,3,0,0,5,5,,0,0,252,0.557166,157,0,1,0,"[[-2.2, -0.6], [-1.2, 0.348958], [-0.4, 0.449931], [0.399993, 0.317763], [1.2, -0.6]]",condition_only,72,"{'shape_angular acceleration iteration did not converge': 3, 'shape_transition requires a reversing inner wheel': 13, 'transition requires a reversing inner wheel': 6}",0.0955925,joint_d_q,0.05,,direct_metric,104,3f4d12b59fd93cf6646587e7e5577184cdd7328b41967c339c2721362924e531,0,1,center_block_detour,True,3.684846504534376,3.8490951578500407,4.191290930596289,1,0.10190383999997721
0.003,6.286303454034907,1.1102230246251565e-16,2.7228176596153782e-17,,0.35508673831057547,0.1449222268733815,0.1449222268733815,0,111,3.7002565939676058,raw,0.05,52,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,4.309031538241532,0,0.0,0,SmacHybrid,7d54ca2618702b7879933a879b0c0a1d1db8f6cfb6f5740116a8769a58ffb436,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,0,1,center_block_detour,True,6.286303454034907,3.7002565939676058,4.309031538241532,1,0.0038520180005434668
0.099,2.6182884046673043,0.15934479835923396,0.058360742755178246,,0.2574560962271429,0.035355339586162986,0.035355339586162986,0,303,2.51520516806617,pstmo,0.05,299,5fed3741fa4e549e9119d42515fef6de84fe4991b920b1a724bce0d932bd9c26,4.163718449833776,0,0.0,0,SmacHybrid,7d54ca2618702b7879933a879b0c0a1d1db8f6cfb6f5740116a8769a58ffb436,85,108,119,"[[-2.2, -0.6], [-1.37523, 0.252928], [-0.698315, 0.486462], [0.276584, 0.400851], [0.938121, -0.482205], [1.2, -0.6]]",52,0.075,0.0676444,0.15,0,6,0,5,"[{'index': 0, 'x': -1.37523, 'y': 0.252928, 'turn_angle': -0.469971, 'incoming_length': 1.18648, 'outgoing_length': 0.716069, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0835393, 'equivalent_radius_max': 2.99099, 'trim_min': 0.02, 'trim_max': 0.716069, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.66503, 'selected_trim': 0.159214, 'selected_control_distance': 0.0520717, 'selected_control_fraction': 0.327056, 'selected_score': 0.509014}, {'index': 1, 'x': -0.698315, 'y': 0.486462, 'turn_angle': -0.419801, 'incoming_length': 0.716069, 'outgoing_length': 0.978651, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0938798, 'equivalent_radius_max': 3.36122, 'trim_min': 0.02, 'trim_max': 0.716069, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.420614, 'selected_trim': 0.0896069, 'selected_control_distance': 0.0293609, 'selected_control_fraction': 0.327664, 'selected_score': 0.555485}, {'index': 2, 'x': 0.276584, 'y': 0.400851, 'turn_angle': -0.840252, 'incoming_length': 0.978651, 'outgoing_length': 1.10337, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0447704, 'equivalent_radius_max': 1.79082, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.76899, 'selected_trim': 0.79025, 'selected_control_distance': 0.252899, 'selected_control_fraction': 0.320024, 'selected_score': 0.42635}, {'index': 3, 'x': 0.938121, 'y': -0.482205, 'turn_angle': 0.50515, 'incoming_length': 1.10337, 'outgoing_length': 0.287152, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0774934, 'equivalent_radius_max': 1.11262, 'trim_min': 0.02, 'trim_max': 0.287152, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.00911, 'selected_trim': 0.260437, 'selected_control_distance': 0.0850544, 'selected_control_fraction': 0.326584, 'selected_score': 0.36867}]",4,40,160,True,4,0,0,6,6,,0,0,252,0.46488,299,0,1,0,"[[-2.2, -0.6], [-1.37523, 0.252928], [-0.698315, 0.486462], [0.276584, 0.400851], [0.938121, -0.482205], [1.2, -0.6]]",condition_only,52,"{'shape_angular acceleration iteration did not converge': 3, 'shape_transition requires a reversing inner wheel': 19, 'transition requires a reversing inner wheel': 8}",0.0983394,joint_d_q,0.05,,direct_metric,138,c700d5269078b836743d799daaeece7817b72b7adc232b751db52c665a342f51,0,1,center_block_detour,True,2.6182884046673043,2.51520516806617,4.163718449833776,1,0.10537601200030622
