algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_final_invariants_verified,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_input_points,pstmo_los_output_points,pstmo_los_rejection_reason,pstmo_los_runtime_s,pstmo_los_safety_rejections,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pipeline_execution_count,pstmo_pivots,pstmo_preprocessed_polyline,pstmo_preprocessing_mode,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,45.44221061527057,4.440892098500626e-16,8.292516836764085e-17,,0.4291142598122478,0.16464466339406925,0.18825146149581692,0,191,10.710951044805608,raw,0.05,182,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,4.617014289107271,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,45.44221061527057,10.710951044805608,4.617014289107271,1,0.004202084999633371
0.057,2.9998635535813465,0.05677592244511784,0.02379609833170003,,0.4602125548836094,0.25619225950049973,0.25619225950049973,0,185,2.869628580078951,pstmo,0.05,182,72ad5a8f33a192f53c5539531d6eae1259f4c2d641b9256e16993914b480cf73,4.556725159524647,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,93,107,88,"[[-5, -3], [-2.91875, -2.76539], [-2.7127, -2.54802], [-2.2237, -0.837797], [-2, -0.5]]",182,0.075,0.0568044,0.15,0,5,0,4,"[{'index': 0, 'x': -2.91875, 'y': -2.76539, 'turn_angle': 0.699879, 'incoming_length': 2.09443, 'outgoing_length': 0.299521, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0548005, 'equivalent_radius_max': 0.820695, 'trim_min': 0.02, 'trim_max': 0.299521, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.399453, 'selected_trim': 0.145784, 'selected_control_distance': 0.0471252, 'selected_control_fraction': 0.323253, 'selected_score': 0.648684}, {'index': 1, 'x': -2.7127, 'y': -2.54802, 'turn_angle': 0.480174, 'incoming_length': 0.299521, 'outgoing_length': 1.77875, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0816963, 'equivalent_radius_max': 1.22349, 'trim_min': 0.02, 'trim_max': 0.299521, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.367144, 'selected_trim': 0.0898802, 'selected_control_distance': 0.0293839, 'selected_control_fraction': 0.326923, 'selected_score': 0.602046}, {'index': 2, 'x': -2.2237, 'y': -0.837797, 'turn_angle': -0.306442, 'incoming_length': 1.77875, 'outgoing_length': 0.405155, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.129507, 'equivalent_radius_max': 2.62353, 'trim_min': 0.02, 'trim_max': 0.405155, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 2.62353, 'selected_trim': 0.405155, 'selected_control_distance': 0.133202, 'selected_control_fraction': 0.328768, 'selected_score': 0.100015}]",3,30,120,True,3,0,0,5,5,,0,0,252,0.450249,182,0,1,0,"[[-5, -3], [-2.91875, -2.76539], [-2.7127, -2.54802], [-2.2237, -0.837797], [-2, -0.5]]",condition_only,182,"{'angular acceleration iteration did not converge': 2, 'shape_angular acceleration iteration did not converge': 6, 'shape_transition requires a reversing inner wheel': 11, 'transition requires a reversing inner wheel': 5}",0.0563241,joint_d_q,0.05,,direct_metric,103,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,2.9998635535813465,2.869628580078951,4.556725159524647,1,0.0628945130001739
0.003,40.33958545042524,1.1102230246251565e-16,1.145107615684086e-17,,0.4460433015490947,0.16464466339406925,0.20144806281747213,0,191,11.188063060003893,raw,0.05,184,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,4.605420970545901,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,40.33958545042524,11.188063060003893,4.605420970545901,1,0.005097378999380453
0.054000000000000006,2.6757086464182795,0.07184309772235087,0.03711209384414221,,0.40653359454717836,0.25619225950049973,0.26878279146075923,0,123,2.9591295399935356,pstmo,0.05,117,42a1f41cc35f062b53c4b650e403437e9c412401b6a5af93fe6458275d49c603,4.551203222666886,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,93,7,53,"[[-5, -3], [-2.91374, -2.75909], [-2.70457, -2.55229], [-2, -0.5]]",184,0.075,0.0719908,0.15,0,4,0,3,"[{'index': 0, 'x': -2.91374, 'y': -2.75909, 'turn_angle': 0.664742, 'incoming_length': 2.10012, 'outgoing_length': 0.294139, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0579414, 'equivalent_radius_max': 0.85214, 'trim_min': 0.02, 'trim_max': 0.294139, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.375621, 'selected_trim': 0.129655, 'selected_control_distance': 0.0420017, 'selected_control_fraction': 0.323948, 'selected_score': 0.654674}, {'index': 1, 'x': -2.70457, 'y': -2.55229, 'turn_angle': 0.460388, 'incoming_length': 0.294139, 'outgoing_length': 2.16987, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0853432, 'equivalent_radius_max': 1.25514, 'trim_min': 0.02, 'trim_max': 0.294139, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.436281, 'selected_trim': 0.102242, 'selected_control_distance': 0.0334512, 'selected_control_fraction': 0.327178, 'selected_score': 0.559416}]",2,20,80,True,2,0,0,4,4,,0,0,252,0.607045,117,0,1,0,"[[-5, -3], [-2.91374, -2.75909], [-2.70457, -2.55229], [-2, -0.5]]",condition_only,184,"{'shape_angular acceleration iteration did not converge': 2, 'shape_transition requires a reversing inner wheel': 8, 'transition requires a reversing inner wheel': 4}",0.0539785,joint_d_q,0.05,,direct_metric,70,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,2.6757086464182795,2.9591295399935356,4.551203222666886,1,0.061058629999934055
0.0,13.126093412718816,4.440892098500626e-16,6.712869648208185e-17,,0.4172105298861683,0.1449222268733815,0.2146446641391273,0,180,11.68881206015846,raw,0.05,88,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,4.544460201548347,0,0.0,0,ThetaStar,03c013c9c406e0b379af4e678b55a6003f06ff28122680f57659004b4cd16d66,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,0,1,lower_left_diagonal,True,13.126093412718816,11.68881206015846,4.544460201548347,1,0.0035785190002570744
0.066,2.6503032951190875,0.02260281607940406,0.006841631899363963,,0.39264308475387233,0.23390290478282266,0.2474873771031409,0,211,3.0680536524511495,pstmo,0.05,203,fca4c240ee18dde3ecafd633f83866520fc5733547f49008d01e57cbda411789,4.524930377263936,0,0.0,0,ThetaStar,03c013c9c406e0b379af4e678b55a6003f06ff28122680f57659004b4cd16d66,92,109,92,"[[-5, -3], [-4.425, -2.825], [-2.925, -2.725], [-2.675, -2.475], [-2, -0.5]]",88,0.075,0.0153225,0.15,0,5,0,4,"[{'index': 0, 'x': -4.425, 'y': -2.825, 'turn_angle': -0.228873, 'incoming_length': 0.601041, 'outgoing_length': 1.50333, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.174006, 'equivalent_radius_max': 5.22924, 'trim_min': 0.02, 'trim_max': 0.601041, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 3.83905, 'selected_trim': 0.441255, 'selected_control_distance': 0.154439, 'selected_control_fraction': 0.35, 'selected_score': 0.120181}, {'index': 1, 'x': -2.925, 'y': -2.725, 'turn_angle': 0.71883, 'incoming_length': 1.50333, 'outgoing_length': 0.353553, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.053229, 'equivalent_radius_max': 0.940964, 'trim_min': 0.02, 'trim_max': 0.353553, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.363936, 'selected_trim': 0.136744, 'selected_control_distance': 0.044149, 'selected_control_fraction': 0.32286, 'selected_score': 0.688172}, {'index': 2, 'x': -2.675, 'y': -2.475, 'turn_angle': 0.456072, 'incoming_length': 0.353553, 'outgoing_length': 2.08716, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0861799, 'equivalent_radius_max': 1.52346, 'trim_min': 0.02, 'trim_max': 0.353553, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.661092, 'selected_trim': 0.153421, 'selected_control_distance': 0.0502043, 'selected_control_fraction': 0.327232, 'selected_score': 0.468773}]",3,30,120,True,3,0,0,5,5,,0,0,252,0.425709,203,0,1,0,"[[-5, -3], [-4.425, -2.825], [-2.925, -2.725], [-2.675, -2.475], [-2, -0.5]]",condition_only,88,"{'shape_angular acceleration iteration did not converge': 3, 'shape_transition requires a reversing inner wheel': 8, 'transition requires a reversing inner wheel': 4}",0.068274,joint_d_q,0.05,,direct_metric,109,afca76601c5a42470af345ecd2ed233d5391b840f6762d0e59208d5e4b3a3f8f,0,1,lower_left_diagonal,True,2.6503032951190875,3.0680536524511495,4.524930377263936,1,0.07501911200051836
0.0,3.3377814842907765,4.440892098500626e-16,8.34676118839486e-17,,0.3906620615410496,0.2146446641391273,0.2146446641391273,0,171,1.9823505468039173,raw,0.05,87,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,4.5246497453112156,0,0.0,0,Smac2D,f361af1bc209f2f1cf65e180d1ff7df5057f0f8586258360e1e5be6e8e298411,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,0,1,lower_left_diagonal,True,3.3377814842907765,1.9823505468039173,4.5246497453112156,1,0.004429042000083427
0.069,3.017149630709304,0.056690521984697886,0.029141586376405838,,0.3907424481304512,0.16464466339406925,0.17677669793081488,0,255,3.7703990986001727,pstmo,0.05,248,4f43a5dceee953bf328554cba4e2c6997ac2523f26308b99717ddff041ebbcb1,4.473039284129362,0,0.0,0,Smac2D,f361af1bc209f2f1cf65e180d1ff7df5057f0f8586258360e1e5be6e8e298411,91,73,95,"[[-5, -3], [-4.3, -2.81027], [-3.20015, -2.78202], [-2.86137, -2.63051], [-2, -0.5]]",87,0.075,0.0567345,0.15,0,5,0,4,"[{'index': 0, 'x': -4.3, 'y': -2.81027, 'turn_angle': -0.239013, 'incoming_length': 0.725257, 'outgoing_length': 1.10021, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.166557, 'equivalent_radius_max': 6.03985, 'trim_min': 0.02, 'trim_max': 0.725257, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 20, 'states': 10, 'selected_radius': 6.03985, 'selected_trim': 0.725257, 'selected_control_distance': 0.238794, 'selected_control_fraction': 0.329254, 'selected_score': 0.101455}, {'index': 1, 'x': -3.20015, 'y': -2.78202, 'turn_angle': 0.394876, 'incoming_length': 1.10021, 'outgoing_length': 0.371113, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0999778, 'equivalent_radius_max': 1.85515, 'trim_min': 0.02, 'trim_max': 0.371113, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.802047, 'selected_trim': 0.160445, 'selected_control_distance': 0.0561558, 'selected_control_fraction': 0.35, 'selected_score': 0.41761}, {'index': 2, 'x': -2.86137, 'y': -2.63051, 'turn_angle': 0.766035, 'incoming_length': 0.371113, 'outgoing_length': 2.29805, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0496382, 'equivalent_radius_max': 0.921068, 'trim_min': 0.02, 'trim_max': 0.371113, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.311067, 'selected_trim': 0.125334, 'selected_control_distance': 0.0438668, 'selected_control_fraction': 0.35, 'selected_score': 0.754398}]",3,30,120,True,3,0,0,5,5,,0,0,252,0.424488,248,0,1,0,"[[-5, -3], [-4.3, -2.81027], [-3.20015, -2.78202], [-2.86137, -2.63051], [-2, -0.5]]",condition_only,87,"{'shape_angular acceleration iteration did not converge': 1, 'shape_transition requires a reversing inner wheel': 8, 'transition requires a reversing inner wheel': 4}",0.0672392,joint_d_q,0.05,,direct_metric,111,96c5596bf3743553ab28ba4f152755896532c820b0c3d035c0b75ee41c6445b8,0,1,lower_left_diagonal,True,3.017149630709304,3.7703990986001727,4.473039284129362,1,0.07383597400075814
0.0,4.995680699264864,4.440892098500626e-16,4.991408376245742e-17,,0.4911094843595594,0.2474873771031409,0.2474873771031409,0,124,3.4302539800883625,raw,0.05,56,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,4.633588115546325,0,0.0,0,SmacHybrid,86a5c6a32e56c182c375b37330549743a1d5e441e60796274cc39a3fbc81987a,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,0,1,lower_left_diagonal,True,4.995680699264864,3.4302539800883625,4.633588115546325,1,0.0035741199999392848
0.093,3.3737852976186846,0.07278514742243519,0.04186948842921562,,0.42969972226913183,0.18825146149581692,0.2146446641391273,0,188,3.7883740899246465,pstmo,0.05,184,e2021a1f9ec8c0433ace883718002ec34934bec6edc5edf5d67e6b0bd7ad47f5,4.571760616280192,0,0.0,0,SmacHybrid,86a5c6a32e56c182c375b37330549743a1d5e441e60796274cc39a3fbc81987a,93,106,88,"[[-5, -3], [-2.8498, -2.65836], [-2.2911, -2.06661], [-2.11358, -0.679361], [-2, -0.5]]",56,0.075,0.0749945,0.15,0,5,0,4,"[{'index': 0, 'x': -2.8498, 'y': -2.65836, 'turn_angle': 0.656557, 'incoming_length': 2.17718, 'outgoing_length': 0.81382, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0587194, 'equivalent_radius_max': 2.34878, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 17, 'states': 10, 'selected_radius': 0.745737, 'selected_trim': 0.254, 'selected_control_distance': 0.0823224, 'selected_control_fraction': 0.324104, 'selected_score': 0.541219}, {'index': 1, 'x': -2.2911, 'y': -2.06661, 'turn_angle': 0.629396, 'incoming_length': 0.81382, 'outgoing_length': 1.39856, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.061441, 'equivalent_radius_max': 2.45764, 'trim_min': 0.02, 'trim_max': 0.8, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.301061, 'selected_trim': 0.098, 'selected_control_distance': 0.0343, 'selected_control_fraction': 0.35, 'selected_score': 0.576636}, {'index': 2, 'x': -2.11358, 'y': -0.679361, 'turn_angle': -0.43725, 'incoming_length': 1.39856, 'outgoing_length': 0.212301, 'pivot_safe': True, 'pass_through': False, 'equivalent_radius_min': 0.0900187, 'equivalent_radius_max': 0.955554, 'trim_min': 0.02, 'trim_max': 0.212301, 'trim_evaluations': 20, 'evaluations': 40, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0.955554, 'selected_trim': 0.212301, 'selected_control_distance': 0.0695203, 'selected_control_fraction': 0.327461, 'selected_score': 0.291091}]",3,30,120,True,3,0,0,5,5,,0,0,252,0.469649,184,0,1,0,"[[-5, -3], [-2.8498, -2.65836], [-2.2911, -2.06661], [-2.11358, -0.679361], [-2, -0.5]]",condition_only,56,"{'shape_angular acceleration iteration did not converge': 1, 'shape_transition requires a reversing inner wheel': 15, 'transition requires a reversing inner wheel': 7}",0.0919667,joint_d_q,0.05,,direct_metric,104,57478dc275b32d211a9f6c085410e875a1826515caad9a7d65512c86b66c200c,0,1,lower_left_diagonal,True,3.3737852976186846,3.7883740899246465,4.571760616280192,1,0.09706655499940098
