algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_enabled,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_output_points,pstmo_los_safety_rejections,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.003,125.5648674190683,4.440892098500626e-16,5.584491901795352e-17,,0.4665304849038798,0.16464466339406925,0.2146446641391273,0,587,22.23731861949807,raw,0.05,562,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,14.06990166378934,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,125.5648674190683,22.23731861949807,14.06990166378934,1,0.011463964000540727
0.08700000000000001,125.5648674190683,4.440892098500626e-16,5.584491901795352e-17,,0.4665304849038798,0.16464466339406925,0.2146446641391273,0,587,22.23731861949807,pstmo,0.05,562,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,14.06990166378934,0,0.0,0,NavFnAStar,33b71f8f63ccef4f45175e8b2bf554feea80b54b759d965fdc9c7aa3d9334369,285,110,107,"[[-4.5, -2.4], [-3.01765, -3.25615], [3.58305, -3.03668], [3.91396, -1.49075], [4.5, 2.4]]",5,0.075,0,0.15,0,5,1,0,"[{'index': 0, 'x': -3.01765, 'y': -3.25615, 'turn_angle': 0.556992, 'incoming_length': 1.71183, 'outgoing_length': 6.60435, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0285927, 'trim_max': 0.42889, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 18, 'states': 10, 'selected_radius': 0, 'selected_trim': 0, 'selected_control_distance': 0, 'selected_control_fraction': 0, 'selected_score': 0}, {'index': 1, 'x': 3.58305, 'y': -3.03668, 'turn_angle': 1.32669, 'incoming_length': 6.60435, 'outgoing_length': 1.58094, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0781477, 'trim_max': 1.17222, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 11, 'states': 10, 'selected_radius': 0, 'selected_trim': 0, 'selected_control_distance': 0, 'selected_control_fraction': 0, 'selected_score': 0}, {'index': 2, 'x': 3.91396, 'y': -1.49075, 'turn_angle': 0.0613727, 'incoming_length': 1.58094, 'outgoing_length': 3.93464, 'pivot_safe': True, 'pass_through': True, 'radius_min': 0, 'radius_max': 0, 'trim_min': 0, 'trim_max': 0, 'trim_evaluations': 0, 'evaluations': 0, 'safe_feasible': 0, 'states': 1, 'selected_radius': 0, 'selected_trim': 0, 'selected_control_distance': 0, 'selected_control_fraction': 0, 'selected_score': 0}]",3,21,320,raw_input,0,4,874,True,,False,0.15,5,870,252,0,562,1,2,562,"{'shape_angular acceleration iteration did not converge': 6, 'shape_swept_footprint': 77, 'shape_transition requires a reversing inner wheel': 110, 'swept_footprint': 6, 'transition requires a reversing inner wheel': 5}",0.0860103,joint_d_q,0.05,unsafe_sweep_17_18;raw_input_fallback,127,134306531b367fe08089404922ce0b0abd8921557ac62b9f3ba1b50f686746d7,0,1,diagonal_replenishment,True,125.5648674190683,22.23731861949807,14.06990166378934,1,0.10214688500036573
0.003,30.538653349676423,4.440892098500626e-16,3.6213987092314623e-17,,0.4149689556968361,0.17677669793081488,0.2574601203080526,0,584,11.406812986899268,raw,0.05,562,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,14.033639667604042,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,30.538653349676423,11.406812986899268,14.033639667604042,1,0.01353922100042837
0.054000000000000006,4.291963396270226,0.3089641186254682,0.13851434634134957,,0.3538729419087251,0.1449222268733815,0.16464466339406925,0,386,3.3217891084343587,pstmo,0.05,373,1049e3268ea69c85cd8ea812ca7f4f086653dad31113209b40c2471403e2cfa0,13.699809570010192,0,0.0,0,NavFnDijkstra,e08a798f018378e424bc515c80525af78d37f614097831eef05d0610d61ad326,276,100,88,"[[-4.5, -2.4], [-3.60288, 3.03625], [3.64232, 3.0418], [4.5, 2.4]]",4,0.075,0,0.15,0,4,0,0,"[{'index': 0, 'x': -3.60288, 'y': 3.03625, 'turn_angle': -1.40648, 'incoming_length': 5.50978, 'outgoing_length': 7.24521, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0847841, 'trim_max': 1.27176, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 10, 'states': 10, 'selected_radius': 0.415, 'selected_trim': 0.351854, 'selected_control_distance': 0.122656, 'selected_control_fraction': 0.348601, 'selected_score': 0.820246}, {'index': 1, 'x': 3.64232, 'y': 3.0418, 'turn_angle': -0.643181, 'incoming_length': 7.24521, 'outgoing_length': 1.07122, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0333156, 'trim_max': 0.499733, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.3425, 'selected_trim': 0.447261, 'selected_control_distance': 0.156541, 'selected_control_fraction': 0.35, 'selected_score': 0.438229}]",2,20,320,none,2,3,382,True,,False,0.15,4,379,252,0.629238,373,0,0,562,"{'shape_angular acceleration iteration did not converge': 2, 'shape_swept_footprint': 104, 'shape_transition requires a reversing inner wheel': 111, 'swept_footprint': 7, 'transition requires a reversing inner wheel': 5}",0.0547244,joint_d_q,0.05,,103,45e158d3c9c4c0daa18501579c5eab1a4e6bdc513246b39b292e5af8592a6738,0,1,diagonal_replenishment,True,4.291963396270226,3.3217891084343587,13.699809570010192,1,0.06484161200023664
0.009000000000000001,25.664991235682187,1.1102230246251565e-16,1.2523007787387207e-17,,0.4974294375926615,0.1449222268733815,0.2146446641391273,0,567,13.67248242051459,raw,0.05,274,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,13.919838025877462,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,25.664991235682187,13.67248242051459,13.919838025877462,1,0.014441364999584039
0.084,3.25040168409878,0.15931131484267178,0.07058011604741063,,0.38823011616163944,0.1449222268733815,0.1449222268733815,0,492,3.4007682034778863,pstmo,0.05,459,ee247f222b89ec2686886ff693c45666a8e3a0594d4a6d1491045182a566d919,13.731448534894472,0,0.0,0,ThetaStar,0238b7b9a58238d8c6423beb5c45346ec7219c5557f945a806f5e702abc7ec2b,276,200,206,"[[-4.5, -2.4], [-3.22772, -3.15788], [3.525, -3.075], [3.94925, -1.97799], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.22772, 'y': -3.15788, 'turn_angle': 0.549515, 'incoming_length': 1.4809, 'outgoing_length': 6.75323, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0281887, 'trim_max': 0.42283, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.42283, 'selected_control_distance': 0.137815, 'selected_control_fraction': 0.325934, 'selected_score': 0.389956}, {'index': 1, 'x': 3.525, 'y': -3.075, 'turn_angle': 1.1895, 'incoming_length': 6.75323, 'outgoing_length': 1.17619, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.067646, 'trim_max': 1.01469, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 10, 'states': 10, 'selected_radius': 0.73, 'selected_trim': 0.493816, 'selected_control_distance': 0.222217, 'selected_control_fraction': 0.45, 'selected_score': 0.79894}, {'index': 2, 'x': 3.94925, 'y': -1.97799, 'turn_angle': 0.243877, 'incoming_length': 1.17619, 'outgoing_length': 4.41249, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0122547, 'trim_max': 0.18382, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 19, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.18382, 'selected_control_distance': 0.0605177, 'selected_control_fraction': 0.329223, 'selected_score': 0.288008}]",3,30,480,none,3,4,444,True,,False,0.15,5,440,252,0.492301,459,0,0,274,"{'angular acceleration iteration did not converge': 2, 'shape_angular acceleration iteration did not converge': 11, 'shape_swept_footprint': 90, 'shape_transition requires a reversing inner wheel': 136, 'swept_footprint': 7, 'transition requires a reversing inner wheel': 6}",0.082987,joint_d_q,0.05,,241,bac2baf3e8cd6fa90387db89eb0aef3c58edea49773f2bb98b53896210f49714,0,1,diagonal_replenishment,True,3.25040168409878,3.4007682034778863,13.731448534894472,1,0.09343752399945515
0.006,4.535312068225989,4.440892098500626e-16,4.9569171808876124e-17,,0.35803324055731967,0.17677669793081488,0.2146446641391273,0,533,2.377645564495028,raw,0.05,271,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,13.977148192216665,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,4.535312068225989,2.377645564495028,13.977148192216665,1,0.012201960999846051
0.099,3.732879257156896,0.5010840827930747,0.1701263273677191,,0.37209573497674275,0.1449222268733815,0.16464466339406925,0,366,3.1050772225961136,pstmo,0.05,354,2e64c4428c5519b372e40627552a292ad7f41f9f0a18f6078e636bf6fec29a86,13.711667030735988,0,0.0,0,Smac2D,b5307669a5c902bf44f6ea0746c08a3e6bfa52fa297959f91765384a9eee4401,276,137,144,"[[-4.5, -2.4], [-3.63051, 2.93862], [-3.09998, 3.14628], [3.45, 3.04921], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.63051, 'y': 2.93862, 'turn_angle': -1.03626, 'incoming_length': 5.40896, 'outgoing_length': 0.569727, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 0.99938, 'trim_min': 0.057008, 'trim_max': 0.569727, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 14, 'states': 10, 'selected_radius': 0.414783, 'selected_trim': 0.236459, 'selected_control_distance': 0.0849954, 'selected_control_fraction': 0.35945, 'selected_score': 0.785825}, {'index': 1, 'x': -3.09998, 'y': 3.14628, 'turn_angle': -0.387907, 'incoming_length': 0.569727, 'outgoing_length': 6.5507, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0196423, 'trim_max': 0.294634, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.43, 'selected_trim': 0.280885, 'selected_control_distance': 0.0921335, 'selected_control_fraction': 0.328012, 'selected_score': 0.349364}, {'index': 2, 'x': 3.45, 'y': 3.04921, 'turn_angle': -0.538948, 'incoming_length': 6.5507, 'outgoing_length': 1.2345, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0276192, 'trim_max': 0.414288, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 15, 'states': 10, 'selected_radius': 0.8, 'selected_trim': 0.220954, 'selected_control_distance': 0.0811775, 'selected_control_fraction': 0.367396, 'selected_score': 0.528872}]",3,30,480,none,3,4,340,True,,False,0.15,5,336,252,0.554687,354,0,0,271,"{'angular acceleration iteration did not converge': 1, 'shape_angular acceleration iteration did not converge': 8, 'shape_swept_footprint': 134, 'shape_transition requires a reversing inner wheel': 148, 'swept_footprint': 7, 'transition requires a reversing inner wheel': 6}",0.0989122,joint_d_q,0.05,,189,d489d69865e2c0426b7430c605526db78d4c2fa515530729db14c024922d190e,0,1,diagonal_replenishment,True,3.732879257156896,3.1050772225961136,13.711667030735988,1,0.10853423100070358
0.009000000000000001,9.499945297408113,4.440892098500626e-16,4.716307709341703e-17,,0.47836007011193754,0.21959563989254183,0.25619225950049973,0,334,3.503879151970223,raw,0.05,159,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,14.104165262679045,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,9.499945297408113,3.503879151970223,14.104165262679045,1,0.011817974999758007
0.10800000000000001,2.7763733031796636,0.3694256178255038,0.12111020807501381,,0.3393874171076544,0.1449222268733815,0.16464466339406925,0,479,2.5627565203699354,pstmo,0.05,466,dacccdc4e4c2f5ba1fa1b109d6c49c4616491e558624e983788dd84b5c55365c,13.725896771983496,0,0.0,0,SmacHybrid,4a199fd54cfad7d95b11b9cfec2e8470f4c92d6662a34104c92ed7a00fe9769d,276,164,218,"[[-4.5, -2.4], [-3.65862, 2.98309], [-2.95995, 3.13762], [3.58782, 3.06623], [4.5, 2.4]]",5,0.075,0,0.15,0,5,0,0,"[{'index': 0, 'x': -3.65862, 'y': 2.98309, 'turn_angle': -1.19808, 'incoming_length': 5.44845, 'outgoing_length': 0.715557, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.04809, 'trim_min': 0.0682727, 'trim_max': 0.715557, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 14, 'states': 10, 'selected_radius': 0.716257, 'selected_trim': 0.489007, 'selected_control_distance': 0.196906, 'selected_control_fraction': 0.402664, 'selected_score': 0.751414}, {'index': 1, 'x': -2.95995, 'y': 3.13762, 'turn_angle': -0.228576, 'incoming_length': 0.715557, 'outgoing_length': 6.54816, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0114788, 'trim_max': 0.172183, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 19, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.172183, 'selected_control_distance': 0.0567028, 'selected_control_fraction': 0.329318, 'selected_score': 0.281052}, {'index': 2, 'x': 3.58782, 'y': 3.06623, 'turn_angle': -0.619917, 'incoming_length': 6.54816, 'outgoing_length': 1.12957, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0320282, 'trim_max': 0.480423, 'trim_evaluations': 20, 'evaluations': 160, 'safe_feasible': 18, 'states': 10, 'selected_radius': 1.5, 'selected_trim': 0.480423, 'selected_control_distance': 0.156028, 'selected_control_fraction': 0.324773, 'selected_score': 0.408559}]",3,30,480,none,3,4,207,True,,False,0.15,5,203,252,0.480342,466,0,0,159,"{'shape_angular acceleration iteration did not converge': 10, 'shape_swept_footprint': 84, 'shape_transition requires a reversing inner wheel': 136, 'swept_footprint': 4, 'transition requires a reversing inner wheel': 5}",0.107021,joint_d_q,0.05,,250,33a5bf1367e88c77660c8c17611ac74f8d0136b7d3aa56780f90b76cce50bda0,0,1,diagonal_replenishment,True,2.7763733031796636,2.5627565203699354,13.725896771983496,1,0.1180711169999995
